id,title,qa_rigor,qa_reporting,qa_baseline,qa_repro,qa_total,qa_tier
REC_0155,Cooperative Navigation and Guidance of a Micro-Scale Aerial Vehicle by an Accompanying UAV using 3D LiDAR Relative Localization,4,3,1,1,9,Q-high
REC_0161,Sensor Fusion for Autonomous Indoor UAV Navigation in Confined Spaces,3,3,1,1,8,Q-high
REC_0165,UAV Cross-View Image Retrieval and Visual Geo-Localization in GNSS-Denied Environments,3,3,1,0,7,Q-medium
REC_0179,Wireless Local Positioning System for Controlled UAV Landing in GNSS-Denied Environment,1,3,0,0,4,Q-low
REC_0195,An Autonomous Continuous Positioning Method for Low-Altitude UAVs Based on Image Recognition in GNSS-Denied Environments,2,3,1,0,6,Q-medium
REC_0196,Navigation of Simultaneous Localization and Mapping by Fusing RGB-D Camera and IMU on UAV,2,2,1,1,6,Q-medium
REC_0202,Design of A Positioning System for UAV in GPS-denied Environment,1,2,0,0,3,Q-low
REC_0208,UAV Pose Estimation in GNSS-Denied Environment Assisted by Satellite Imagery Deep Learning Features,1,2,1,0,4,Q-low
REC_0211,SIA-KalmanNet: A Structurally Integrated Attention Kalman Filter for Multi-UAV Localization in Partially GNSS-Denied Environments,4,3,1,0,8,Q-high
REC_0213,A Multi-UAV System for Exploration and Target Finding in Cluttered and GPS-Denied Environments,2,3,0,1,6,Q-medium
REC_0215,GPS-Denied UAV-UGV Relative Positioning System via Vision-UWB Fusion,2,3,0,1,6,Q-medium
REC_0218,A Unified Error-State Kalman Filtering Framework for Multi-Sensor Navigation of Fixed-Wing UAVS in GNSS-Denied Scenarios,4,3,1,0,8,Q-high
REC_0239,Autonomous Flight Control Design Based on Multi-Sensor Fusion for a Low-Cost Quadrotor in GPS-Denied Environments,3,3,1,0,7,Q-medium
REC_0246,UAV Platforms for Autonomous Navigation in GPS-Denied Environments for Search and Rescue Missions,2,2,1,1,6,Q-medium
REC_0255,A stereo and rotating laser framework for UAV navigation in GPS denied environment,3,3,1,0,7,Q-medium
REC_0264,Autonomous UAV Navigation for Target Detection in Visually Degraded and GPS Denied Environments,1,3,1,1,6,Q-medium
REC_0271,Hybrid IMU-Aided Approach for Optimized Visual Odometry,3,3,1,0,7,Q-medium
REC_0274,Navigation and control of unmanned aerial vehicles in GPS-denied environments,2,2,0,0,4,Q-low
REC_0278,Navigation Methods for UAVs in GNSS-Denied Environments Using Artificial Intelligence,4,3,1,0,8,Q-high
REC_0281,UAV Tracking with Lidar as a Camera Sensor in GNSS-Denied Environments,3,3,0,1,7,Q-medium
REC_0289,Development of a Simulated UAV Platform for Sensor-Fusion-Based SLAM,2,2,0,0,4,Q-low
REC_0294,A Novel Approach to Computationally Lighter GNSS-Denied UAV Navigation Using Monocular Camera,2,2,0,0,4,Q-low
REC_0296,Optical flow sensor integrated navigation system for quadrotor in GPS-denied environment,1,2,0,1,4,Q-low
REC_0305,A method based on CNN-BiLSTM for UAV navigation error compensation in GNSS denied environment,1,2,0,0,3,Q-low
REC_0318,Cooperative Navigation Method Based on Adaptive CKF for UAVs In GPS Denied Areas,1,2,0,0,3,Q-low
REC_0332,Thermal-Inertial Localization for Autonomous Navigation of Aerial Robots through Obscurants,1,1,0,1,3,Q-low
REC_0343,Vision-Aided Multi-UAV Autonomous Flocking in GPS-Denied Environment,0,3,1,0,4,Q-low
REC_0345,Distance function based 6DOF localization for unmanned aerial vehicles in GPS denied environments,2,3,0,0,5,Q-medium
REC_0346,Autonomous Flight in Unknown GNSS-denied Environments for Disaster Examination,3,2,0,0,5,Q-medium
REC_0363,Enhanced UAV navigation in GNSS denied environment using repeated dynamics pattern recognition,1,3,0,0,4,Q-low
REC_0369,Autonomous Flight Control of a Nano Quadrotor Helicopter in a GPS-Denied Environment Using On-Board Vision,1,3,0,1,5,Q-medium
REC_0388,Multi-UAV Cooperative Navigation Based on Multisource Information Fusion: A Review,4,3,0,0,7,Q-medium
REC_0391,Multi-UAV Collaboration and IMU Fusion Localization Method in Partial GNSS-Denied Scenarios,2,3,0,0,5,Q-medium
REC_0409,Dust-Resilient Autonomous Navigation and Mapping for UAVs in GNSS-Denied Underground Tunnels,4,3,1,1,9,Q-high
REC_0426,Leonardo Drone Contest 2021: Politecnico di Milano team architecture,2,2,1,0,5,Q-medium
REC_0438,Vision-based object path following on a quadcopter for GPS-denied environments,2,3,0,0,5,Q-medium
REC_0444,Autonomous Aerial Swarming in GNSS-denied Environments with High Obstacle Density,2,2,0,0,4,Q-low
REC_0455,Airborne-Relay-based Algorithm for Locating Crashed UAVs in GPS-Denied Environments,1,2,0,0,3,Q-low
REC_0459,Safe Tightly-Constrained UAV Swarming in GNSS-denied Environments,3,3,0,0,6,Q-medium
REC_0464,Relative visual-inertial odometry for fixed-wing aircraft in GPS-denied environments,2,3,1,1,7,Q-medium
REC_0469,Design and Flight Test of an Aerial Manipulator for Applications in GPS-Denied Environments,3,3,0,0,6,Q-medium
REC_0475,P2P-DroneLoc: Peer-to-Peer Localization for GPS-Denied Drones using Camera and WiFi Fine Time Measurement,4,3,0,0,7,Q-medium
REC_0481,An Onboard Transformer-Based Physics-Informed System for UAV Trajectory Prediction and State Classification in GNSS-Denied Environments,4,3,1,0,8,Q-high
REC_0485,Multi-Sensor 6-DoF Localization For Aerial Robots In Complex GNSS-Denied Environments,2,2,1,1,6,Q-medium
REC_0489,UAV Vision Aided INS/Odometer Integration for Land Vehicle Autonomous Navigation,1,2,2,1,6,Q-medium
REC_0502,LD3DGS-SLAM: Long-Distance Monocular SLAM With 3-D Gaussian Splatting and GNSS-Aided Localization for UAVs,4,3,1,1,9,Q-high
REC_0503,Decimeter-Accuracy Positioning for Drones Using Two-Stage Trilateration in a GPS-Denied Environment,4,3,0,0,7,Q-medium
REC_0534,Integrated UWB-Vision Approach for Autonomous Docking of UAVs in GPS-denied Environments,4,3,1,0,8,Q-high
REC_0537,Indoor Navigation and Attitude Estimation for Uas Using Inertial Sensors and Extended Kalman Filtering,1,2,0,0,3,Q-low
REC_0544,Season-Invariant GNSS-Denied Visual Localization for UAVs,4,3,1,0,8,Q-high
REC_0572,GNSS-Independent Navigation of UAV through Utilization of Sensor Fusion and Intelligence System,0,2,1,0,3,Q-low
REC_0594,Google map aided visual navigation for UAVs in GPS-denied environment,2,3,1,0,6,Q-medium
REC_0598,Compact Passive Millimeter Wave Imager for Degraded Visual and GPS-Denied Navigation,2,3,0,0,5,Q-medium
REC_0617,Visual-Inertial Fusion for Indoor Autonomous Navigation of a Quadrotor Using ORB-SLAM,4,2,2,0,8,Q-high
REC_0620,Terrain Aided Planetary UAV Localization Based on Geo-referencing,2,3,2,1,8,Q-high
REC_0622,Micro-Drone Ego-Velocity and Height Estimation in GPS-Denied Environments Using an FMCW MIMO Radar,4,3,0,0,7,Q-medium
REC_0631,Invited Speaker 1: Navigation without GPS for Unmanned Aerial Vehicles,0,1,0,0,1,Q-low
REC_0639,A Vision-Based Approach to Autonomous Landing of an eVTOL Aircraft in GPS-Denied Environments,3,3,0,0,6,Q-medium
REC_0644,Autonomous Localization and Navigation for Drones Over Rivers,4,3,2,0,9,Q-high
REC_0647,Radiation Source Localization in GPS-Denied Environments Using Aerial Robots,1,3,0,1,5,Q-medium
REC_0652,Reinforcement Learning-Based Autonomous UAV Navigation in Indoor Environments Towards Human Detection,3,3,0,0,6,Q-medium
REC_0656,Vision-Based UAV Localization by Aerial and Satellite Image Matching,4,3,1,1,9,Q-high
REC_0687,On the scalability of experimentally determined aerodynamic model for model-based navigation on a delta-wing UAV,3,3,0,1,7,Q-medium
REC_0688,Single Vehicle Localization and Routing in GPS-Denied Environments Using Range-Only Measurements,4,3,0,0,7,Q-medium
REC_0701,Vision-Based Autonomous Drone Navigation Using Deep Reinforcement Learning,3,2,0,0,5,Q-medium
REC_0705,Recursive Extended Finite-Memory Positioning Algorithm for Robust UAV Positioning in GNSS-Denied Environment,4,2,1,1,8,Q-high
REC_0706,Towards Robust UAV Tracking in GNSS-Denied Environments: A Multi-LiDAR Multi-UAV Dataset,4,3,1,1,9,Q-high
REC_0713,Autonomous UAV Pipeline Landing via Depth-LiDAR Fusion in GNSS-Denied Refineries,4,3,1,0,8,Q-high
REC_0716,Cooperative Search Area optimization using Multiple Unmanned Aerial Vehicles in a GPS-denied Environment,1,2,0,0,3,Q-low
REC_0719,Autonomous landing of small unmanned aerial rotorcraft based on monocular vision in GPS-denied area,2,3,0,0,5,Q-medium
REC_0752,Cooperative localisation of UAVs in a GPS-denied environment using bearing measurements,3,3,1,0,7,Q-medium
REC_0814,Monocular Vision Aided Autonomous UAV Navigation in Indoor Corridor Environments,4,1,0,1,6,Q-medium
REC_0816,Feature 3D Gaussian Splatting for UAV-to-Ship Pose Estimation in GNSS-Denied Environments,4,3,0,1,8,Q-high
REC_0824,A Homography-Based Visual Servo Control Approach for an Underactuated Unmanned Aerial Vehicle in GPS-Denied Environments,4,3,1,0,8,Q-high
REC_0840,GPS-Denied Drone Navigation via Cross-Domain Keypoint Matching,1,2,1,0,4,Q-low
REC_0857,SwarmRaft: Leveraging Consensus for Robust Drone Swarm Coordination in GNSS-Degraded Environments,4,3,0,1,8,Q-high
REC_0859,A Multimode Visual-Inertial Navigation Method for Fixed-wing Aircraft Approach and Landing in GPS-denied and Low Visibility Environments,4,1,1,0,6,Q-medium
REC_0866,Autonomous Aerial Robots for Search and Rescue Missions,1,2,0,0,3,Q-low
REC_0870,"Recent Trends, Techniques, and Applications of AI Based Autonomous Drones",2,3,1,1,7,Q-medium
REC_0932,Development of a Plug-and-Play Infrared Landing System for Multirotor Unmanned Aerial Vehicles,2,3,0,0,5,Q-medium
REC_0951,PSS-LIO A Computationally Efficient LiDAR-Inertial Odometry Framework for UAV Building Inspection via Geometric Predictability and Structure Prior Learning,4,3,2,1,10,Q-high
REC_0960,Cooperative Visual Inertial Odometry for Heterogeneous Swarm of Drones Navigating in Noisy Environments,2,3,1,0,6,Q-medium
REC_0961,Multimodal Image Registration for GPS-denied UAV Navigation Based on Disentangled Representations,1,2,1,0,4,Q-low
REC_0973,Landmark Placement for Localization in a GPS-denied Environment,1,3,0,0,4,Q-low
REC_0981,Multi-sensor Data Analysis in Terms of Autonomous Drone Flight without GPS,0,3,1,1,5,Q-medium
REC_0986,Field Test Results of GNSS-denied Inertial Navigation aided by Phased-array Radio Systems for UAVs,2,3,0,0,5,Q-medium
REC_0993,"Fast, autonomous flight in GPS-denied and cluttered environments",4,3,1,1,9,Q-high
REC_0994,Automated localization of UAVs in GPS-denied indoor construction environments using fiducial markers,2,3,0,0,5,Q-medium
REC_1001,Perception and navigation for an autonomous quadrotor in GPS-denied environments,4,3,0,1,8,Q-high
REC_1006,A comprehensive survey on autonomous UAV navigation and control systems,2,2,1,1,6,Q-medium
REC_1007,Robust geo-localization of UAVSAR in GPS-Denied environments using deep cross-modality matching with google Earth imagery,4,3,1,0,8,Q-high
REC_1018,OPsCV: A Robust Framework for Aerial Navigation under Global Positioning System Denied Conditions,4,3,1,0,8,Q-high
REC_1025,A Survey on Radio Frequency based Precise Localisation Technology for UAV in GPS-denied Environment,2,3,1,1,7,Q-medium
REC_1028,Integrated navigation for autonomous drone in GPS and GPS-denied environments,2,2,0,0,4,Q-low
REC_1034,Uavs enhanced navigation in outdoor gnss denied environment using UWB and monocular camera systems,1,2,0,0,3,Q-low
REC_1049,"UAV tracking of mobile target in occluded, cluttered and GPS-denied environments",1,2,0,0,3,Q-low
REC_1103,Integrated navigation of aerial robot for GPS and GPS-denied environment,2,1,0,0,3,Q-low
REC_1105,3D SCENE RECONSTRUCTION AND PATH PLANNING METHOD FOR UAV IN GNSS-DENIED ENVIRONMENT,3,1,2,0,6,Q-medium
REC_1132,Minimalistic approach for monocular SLAM system applied to micro aerial vehicles in GPS-denied environments,1,3,0,0,4,Q-low
REC_1137,"Integrated guidance, navigation, and control system for a UAV in a GPS denied environment",3,1,0,0,4,Q-low
REC_1146,Micro-radar and UWB aided UAV navigation in GNSS denied environment,3,3,0,0,6,Q-medium
REC_1148,UAV-Based Structural Health Monitoring Using a Two-Stage CNN Model with Lighthouse Localization in GNSS-Denied Environments,4,3,1,0,8,Q-high
REC_1159,GPS-Denied Navigation Aided by Synthetic Aperture Radar Using the Range-Doppler Algorithm,3,2,0,0,5,Q-medium
REC_1192,Indoor UAV Localization Using a Tether,4,2,0,0,6,Q-medium
REC_1207,GPS-denied indoor and outdoor monocular vision aided navigation and control of unmanned aircraft,4,3,0,0,7,Q-medium
REC_1212,Autonomous drone hunter operating by deep learning and all-onboard computations in GPS-denied environments,2,2,0,0,4,Q-low
REC_1217,Vision based UAS navigation for RFI localization,2,2,1,1,6,Q-medium
REC_1245,Fusion of Optical Flow and Dead Reckoning Algorithms for UAV Navigation Without GPS,2,3,1,0,6,Q-medium
REC_1270,Navigation of UAV in GNSS denied area,1,3,1,1,6,Q-medium
REC_1285,Unmanned autonomous aerial navigation in GPS-denied environments,3,3,0,1,7,Q-medium
REC_1298,Cooperative Localization for GNSS-Denied Subterranean Navigation: A UAV–UGV Team Approach,2,3,1,1,7,Q-medium
REC_1306,UAV Visual Localization in GNSS-Denied Environments,2,3,0,0,5,Q-medium
REC_1307,An architecture for robust UAV navigation in GPS-denied areas,4,3,1,1,9,Q-high
REC_1308,Multi-sensor Data Fusion for Autonomous Unmanned Aerial Vehicle Navigation in GPS Denied Environments,3,3,0,0,6,Q-medium
REC_1313,A smart hybrid vision aided inertial navigation system approach for UAVs in a GNSS denied environment,2,2,0,0,4,Q-low
REC_1330,UAV VISUAL AUTOLOCALIZATON BASED on AUTOMATIC LANDMARK RECOGNITION,3,3,0,0,6,Q-medium
REC_1358,An experimental analysis of outdoor UAV localisation through diverse estimators and crowd-sensed data fusion,4,3,1,0,8,Q-high
REC_1366,Cooperative Localisation of a GPS-Denied UAV in 3-Dimensional Space Using Direction of Arrival Measurements,3,3,0,0,6,Q-medium
REC_1378,Optical Flow Sensor/INS/Magnetometer Integrated Navigation System for MAV in GPS-Denied Environment,2,2,0,0,4,Q-low
REC_1405,Angle Robustness Unmanned Aerial Vehicle Navigation in GNSS-Denied Scenarios,4,3,1,1,9,Q-high
REC_1417,Cellular Communication-Based Autonomous UAV Navigation with Obstacle Avoidance for Unknown Indoor Environments,1,2,1,0,4,Q-low
REC_1451,Vision Model-Based Real-Time Localization of Unmanned Aerial Vehicle for Autonomous Structure Inspection under GPS-Denied Environment,0,2,0,0,2,Q-low
REC_1463,Decentralised Multi-UAV Cooperative Searching Multi-Target in Cluttered and GPS-Denied Environments,3,3,0,1,7,Q-medium
REC_1480,Pose estimation for an autonomous vehicle using monocular vision,0,2,0,0,2,Q-low
REC_1561,Characterization of mountain drainage patterns for GPS-denied UAS navigation augmentation,1,2,0,1,4,Q-low
REC_1564,Ultra-wideband based cooperative relative localization algorithm and experiments for multiple unmanned aerial vehicles in GPS denied environments,4,2,0,0,6,Q-medium
REC_1573,Visual-based localization methods for unmanned aerial vehicles in landing operation on maritime vessel,4,3,1,1,9,Q-high
REC_1582,Overview of Mutual Localization Techniques Between Unmanned Aerial Vehicles in Swarm,2,2,0,0,4,Q-low
REC_1612,Visual GPS-denied multi-agent localization & terrain classification,3,3,1,0,7,Q-medium
REC_1619,Robust Autonomous Flight in Constrained and Visually Degraded Shipboard Environments,4,3,2,1,10,Q-high
REC_1640,Automatic landing of a low-cost quadrotor using monocular vision and Kalman filter in GPS-denied environments,1,2,0,0,3,Q-low
REC_1642,UAV based target finding and tracking in GPS-denied and cluttered environments,4,3,0,0,7,Q-medium
REC_1667,Autonomous Mapping and Navigation Unit for Aerial Robots,1,3,0,1,5,Q-medium
REC_1678,Position and Orientation from Asynchronous Lidar in GNSS Denied Environments,2,2,0,1,5,Q-medium
REC_1688,Pose estimation based on laser range finder for a quadrotor unmanned aerial vehicle in GPS-denied environment,3,3,1,1,8,Q-high
REC_1715,"Autonomous targeted flight of a rotary-wing micro aerial vehicle in indoor, GPS-denied environments",3,3,1,1,8,Q-high
