id,title,approach_family,baseline_compared,head_to_head_result
REC_0041,UAV Navigation With Monocular Visual Inertial Odometry Under GNSS-Denied Environment,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0043,Robust Sensor Fusion for Autonomous UAV Navigation in GPS denied Forest Environment,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0053,Vision-based Navigation of Unmanned Aerial Vehicles,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0057,ROS+unity: An efficient high-fidelity 3D multi-UAV navigation and control simulator in GPS-denied environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0064,Positioning and Navigation Approaches Using Packet Loss-Based Multilateration for UAVs in GPS-Denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0065,Autonomous Drones in GNSS-Denied Environments: Results from the Leonardo Drone Contest,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0066,Real Time Vision Based Obstacle Avoidance for UAV using YOLO in GPS Denied Environment,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0071,Radar-Based High-Accuracy 3D Localization of UAVs for Landing in GNSS-Denied Environments,UWB / Radio / Beacons,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0077,3D Path Planning for Autonomous UAV Navigation in GPS-Denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0080,Enabling Computer Vision-Based Autonomous Navigation for Unmanned Aerial Vehicles in Cluttered GPS-Denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0084,Simulating GPS-denied Autonomous UAV Navigation for Detection of Surface Water Bodies,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0095,Cooperative Relative Localization for UAV Swarm in GNSS-Denied Environment: A Coalition Formation Game Approach,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0096,Cooperative UWB-Based Localization for Outdoors Positioning and Navigation of UAVs aided by Ground Robots,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0102,Quantum-Enhanced Multi-Sensor Fusion for UAV Navigation in GPS-Denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0107,Augmented Radar Odometry by Nested Optimal Filter Aided Navigation for UAVS in GNSS Denied Environment,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0111,Position Estimation for Drones based on Visual SLAM and IMU in GPS-denied Environment,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0115,Low Computational Data Fusion Approach Using INS and UWB for UAV Navigation Tasks in GPS-Denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0118,A Vision-Aided Navigation System by Ground-Aerial Vehicle Cooperation for UAV in GNSS-Denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0123,Visual-based landing system of a multirotor UAV in GNSS denied environment,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0131,Digital Twin for Drone Indoor Autonomous Navigation,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0138,Autonomous Exploration and Mapping System Using Heterogeneous UAVs and UGVs in GPS-Denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0149,Vision-Based Global Localization for UAVs Using Deep Convolutional Neural Networks,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0155,Cooperative Navigation and Guidance of a Micro-Scale Aerial Vehicle by an Accompanying UAV using 3D LiDAR Relative Localization,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0161,Sensor Fusion for Autonomous Indoor UAV Navigation in Confined Spaces,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0165,UAV Cross-View Image Retrieval and Visual Geo-Localization in GNSS-Denied Environments,UWB / Radio / Beacons,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0179,Wireless Local Positioning System for Controlled UAV Landing in GNSS-Denied Environment,UWB / Radio / Beacons,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0195,An Autonomous Continuous Positioning Method for Low-Altitude UAVs Based on Image Recognition in GNSS-Denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0196,Navigation of Simultaneous Localization and Mapping by Fusing RGB-D Camera and IMU on UAV,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0202,Design of A Positioning System for UAV in GPS-denied Environment,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0208,UAV Pose Estimation in GNSS-Denied Environment Assisted by Satellite Imagery Deep Learning Features,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0211,SIA-KalmanNet: A Structurally Integrated Attention Kalman Filter for Multi-UAV Localization in Partially GNSS-Denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0213,A Multi-UAV System for Exploration and Target Finding in Cluttered and GPS-Denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0215,GPS-Denied UAV-UGV Relative Positioning System via Vision-UWB Fusion,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0218,A Unified Error-State Kalman Filtering Framework for Multi-Sensor Navigation of Fixed-Wing UAVS in GNSS-Denied Scenarios,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0239,Autonomous Flight Control Design Based on Multi-Sensor Fusion for a Low-Cost Quadrotor in GPS-Denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0244,Cooperative Relative Localization for UAV Swarm in GNSS-Denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0246,UAV Platforms for Autonomous Navigation in GPS-Denied Environments for Search and Rescue Missions,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0255,A stereo and rotating laser framework for UAV navigation in GPS denied environment,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0264,Autonomous UAV Navigation for Target Detection in Visually Degraded and GPS Denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0271,Hybrid IMU-Aided Approach for Optimized Visual Odometry,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0274,Navigation and control of unmanned aerial vehicles in GPS-denied environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0278,Navigation Methods for UAVs in GNSS-Denied Environments Using Artificial Intelligence,UWB / Radio / Beacons,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0281,UAV Tracking with Lidar as a Camera Sensor in GNSS-Denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0289,Development of a Simulated UAV Platform for Sensor-Fusion-Based SLAM,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0294,A Novel Approach to Computationally Lighter GNSS-Denied UAV Navigation Using Monocular Camera,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0296,Optical flow sensor integrated navigation system for quadrotor in GPS-denied environment,UWB / Radio / Beacons,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0305,A method based on CNN-BiLSTM for UAV navigation error compensation in GNSS denied environment,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0318,Cooperative Navigation Method Based on Adaptive CKF for UAVs In GPS Denied Areas,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0332,Thermal-Inertial Localization for Autonomous Navigation of Aerial Robots through Obscurants,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0343,Vision-Aided Multi-UAV Autonomous Flocking in GPS-Denied Environment,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0345,Distance function based 6DOF localization for unmanned aerial vehicles in GPS denied environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0346,Autonomous Flight in Unknown GNSS-denied Environments for Disaster Examination,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0362,Unmanned aerial vehicle relative navigation in GPS denied environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0363,Enhanced UAV navigation in GNSS denied environment using repeated dynamics pattern recognition,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0369,Autonomous Flight Control of a Nano Quadrotor Helicopter in a GPS-Denied Environment Using On-Board Vision,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0388,Multi-UAV Cooperative Navigation Based on Multisource Information Fusion: A Review,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0391,Multi-UAV Collaboration and IMU Fusion Localization Method in Partial GNSS-Denied Scenarios,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0409,Dust-Resilient Autonomous Navigation and Mapping for UAVs in GNSS-Denied Underground Tunnels,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0426,Leonardo Drone Contest 2021: Politecnico di Milano team architecture,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0438,Vision-based object path following on a quadcopter for GPS-denied environments,UWB / Radio / Beacons,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0444,Autonomous Aerial Swarming in GNSS-denied Environments with High Obstacle Density,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0455,Airborne-Relay-based Algorithm for Locating Crashed UAVs in GPS-Denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0459,Safe Tightly-Constrained UAV Swarming in GNSS-denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0464,Relative visual-inertial odometry for fixed-wing aircraft in GPS-denied environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0469,Design and Flight Test of an Aerial Manipulator for Applications in GPS-Denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0475,P2P-DroneLoc: Peer-to-Peer Localization for GPS-Denied Drones using Camera and WiFi Fine Time Measurement,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0481,An Onboard Transformer-Based Physics-Informed System for UAV Trajectory Prediction and State Classification in GNSS-Denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0485,Multi-Sensor 6-DoF Localization For Aerial Robots In Complex GNSS-Denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0489,UAV Vision Aided INS/Odometer Integration for Land Vehicle Autonomous Navigation,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0502,LD3DGS-SLAM: Long-Distance Monocular SLAM With 3-D Gaussian Splatting and GNSS-Aided Localization for UAVs,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0503,Decimeter-Accuracy Positioning for Drones Using Two-Stage Trilateration in a GPS-Denied Environment,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0534,Integrated UWB-Vision Approach for Autonomous Docking of UAVs in GPS-denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0537,Indoor Navigation and Attitude Estimation for Uas Using Inertial Sensors and Extended Kalman Filtering,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0544,Season-Invariant GNSS-Denied Visual Localization for UAVs,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0572,GNSS-Independent Navigation of UAV through Utilization of Sensor Fusion and Intelligence System,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0594,Google map aided visual navigation for UAVs in GPS-denied environment,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0598,Compact Passive Millimeter Wave Imager for Degraded Visual and GPS-Denied Navigation,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0617,Visual-Inertial Fusion for Indoor Autonomous Navigation of a Quadrotor Using ORB-SLAM,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0620,Terrain Aided Planetary UAV Localization Based on Geo-referencing,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0622,Micro-Drone Ego-Velocity and Height Estimation in GPS-Denied Environments Using an FMCW MIMO Radar,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0631,Invited Speaker 1: Navigation without GPS for Unmanned Aerial Vehicles,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0639,A Vision-Based Approach to Autonomous Landing of an eVTOL Aircraft in GPS-Denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0644,Autonomous Localization and Navigation for Drones Over Rivers,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0647,Radiation Source Localization in GPS-Denied Environments Using Aerial Robots,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0652,Reinforcement Learning-Based Autonomous UAV Navigation in Indoor Environments Towards Human Detection,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0656,Vision-Based UAV Localization by Aerial and Satellite Image Matching,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0687,On the scalability of experimentally determined aerodynamic model for model-based navigation on a delta-wing UAV,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0688,Single Vehicle Localization and Routing in GPS-Denied Environments Using Range-Only Measurements,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0701,Vision-Based Autonomous Drone Navigation Using Deep Reinforcement Learning,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0705,Recursive Extended Finite-Memory Positioning Algorithm for Robust UAV Positioning in GNSS-Denied Environment,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0706,Towards Robust UAV Tracking in GNSS-Denied Environments: A Multi-LiDAR Multi-UAV Dataset,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0713,Autonomous UAV Pipeline Landing via Depth-LiDAR Fusion in GNSS-Denied Refineries,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0716,Cooperative Search Area optimization using Multiple Unmanned Aerial Vehicles in a GPS-denied Environment,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0719,Autonomous landing of small unmanned aerial rotorcraft based on monocular vision in GPS-denied area,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0752,Cooperative localisation of UAVs in a GPS-denied environment using bearing measurements,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0814,Monocular Vision Aided Autonomous UAV Navigation in Indoor Corridor Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0816,Feature 3D Gaussian Splatting for UAV-to-Ship Pose Estimation in GNSS-Denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0824,A Homography-Based Visual Servo Control Approach for an Underactuated Unmanned Aerial Vehicle in GPS-Denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0840,GPS-Denied Drone Navigation via Cross-Domain Keypoint Matching,UWB / Radio / Beacons,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0857,SwarmRaft: Leveraging Consensus for Robust Drone Swarm Coordination in GNSS-Degraded Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0859,A Multimode Visual-Inertial Navigation Method for Fixed-wing Aircraft Approach and Landing in GPS-denied and Low Visibility Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0866,Autonomous Aerial Robots for Search and Rescue Missions,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0870,"Recent Trends, Techniques, and Applications of AI Based Autonomous Drones",Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0932,Development of a Plug-and-Play Infrared Landing System for Multirotor Unmanned Aerial Vehicles,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0951,PSS-LIO A Computationally Efficient LiDAR-Inertial Odometry Framework for UAV Building Inspection via Geometric Predictability and Structure Prior Learning,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0960,Cooperative Visual Inertial Odometry for Heterogeneous Swarm of Drones Navigating in Noisy Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0961,Multimodal Image Registration for GPS-denied UAV Navigation Based on Disentangled Representations,UWB / Radio / Beacons,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0973,Landmark Placement for Localization in a GPS-denied Environment,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0981,Multi-sensor Data Analysis in Terms of Autonomous Drone Flight without GPS,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0986,Field Test Results of GNSS-denied Inertial Navigation aided by Phased-array Radio Systems for UAVs,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0993,"Fast, autonomous flight in GPS-denied and cluttered environments",Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0994,Automated localization of UAVs in GPS-denied indoor construction environments using fiducial markers,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1001,Perception and navigation for an autonomous quadrotor in GPS-denied environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1006,A comprehensive survey on autonomous UAV navigation and control systems,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1007,Robust geo-localization of UAVSAR in GPS-Denied environments using deep cross-modality matching with google Earth imagery,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1014,Cooperative UAV Swarm Communication Networks for Rapid Disaster Assessment in GPS-Denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1018,OPsCV: A Robust Framework for Aerial Navigation under Global Positioning System Denied Conditions,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1019,Multi-Sensor Fusion SLAM for Interceptor UAVs in GNSS-Denied Environments: A Review,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1021,GPS-denied UAV localization using pre-existing satellite imagery,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1025,A Survey on Radio Frequency based Precise Localisation Technology for UAV in GPS-denied Environment,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1026,Indoor UAV Localization via Multi-Anchor One-Shot Calibration and Factor Graph Fusion,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1028,Integrated navigation for autonomous drone in GPS and GPS-denied environments,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1032,Synchronized Multi-Directional FMCW mmWave Radar–Inertial Odometry: Robust Positioning and Autonomous Navigation Experiments for UAVs in Low-Light Indoor Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1034,Uavs enhanced navigation in outdoor gnss denied environment using UWB and monocular camera systems,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1043,Consistent-Innovation-Aided Distributed Cooperative Localization for Multi-UAV Navigation in GNSS-Denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1044,Magnetometer-based enhanced visual-inertial odometry for reliable long-range navigation in GNSS-denied high-altitude environment,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1049,"UAV tracking of mobile target in occluded, cluttered and GPS-denied environments",Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1069,UAV–UGV Collaborative Localization in GNSS-Denied Large-Scale Environments: An Anchor-Free VIO–UWB Fusion with Adaptive Weighting and Outlier Suppression,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1080,Adaptive neural pose regression enabled by updatable graphics-based digital twin for robust UAV localization in GPS-denied civil infrastructure,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1084,CLAK:CNN-LSTM-Attention and Kolmogorov-Arnold Networks for non-visual UAV localization in GNSS-denied environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1085,GNSS-Denied Semi-Direct Visual Navigation for Autonomous UAVs Aided by PI-Inspired Inertial Priors,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1095,A multi-sensorial simultaneous localization and mapping (SLAM) system for low-cost micro aerial vehicles in GPS-denied environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1103,Integrated navigation of aerial robot for GPS and GPS-denied environment,UWB / Radio / Beacons,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1105,3D SCENE RECONSTRUCTION AND PATH PLANNING METHOD FOR UAV IN GNSS-DENIED ENVIRONMENT,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1106,Adaptive Particle Filter-Neural Network Fusion for Cooperative Localization of Multi-UAV Systems in GNSS-Denied Indoor Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1107,Multi-UAV Cooperative Localization in Pseudolite-Augmented GNSS-Denied Regions: An Anomaly-Resilient Adaptive Kalman Filter with Group Covariance Compensation,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1110,Cross-Session 3D LiDAR and Camera Fusion for Robust Localization of Unmanned Aerial Vehicles in GPS-Denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1114,I-NAV: Inverse Navigation for questionnaire-based geolocation in GPS-denied environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1115,SWA-PF: Semantic-weighted adaptive particle filter for memory-efficient 4-DoF UAV localization in GNSS-denied environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1116,Development of a Visual SLAM-Based Autonomous UAV System for Greenhouse Plant Monitoring,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1123,A Novel Scene-Matching Positioning Approach for Low-Altitude UAVs Considering Elevation Differences in Satellite Images,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1130,Robust GNSS-denied localization for UAV using particle filter and visual odometry,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1132,Minimalistic approach for monocular SLAM system applied to micro aerial vehicles in GPS-denied environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1137,"Integrated guidance, navigation, and control system for a UAV in a GPS denied environment",Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1140,UAV navigation in large-scale GPS-denied bridge environments using fiducial marker-corrected stereo visual-inertial localisation,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1142,Dual Quaternion-Based Unscented Kalman Filter with Visual Inertial Odometry for navigation in GPS-denied environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
