id,title,abstract,authors,year,doi,venue,source
IEEE_0011,Visual Odometry/Inertial Integration for Enhanced Land Vehicle Navigation in GNSS Denied Environment,"Self-driving vehicles have attained a huge research interest as it offers new opportunities for more secure and convenient transportation. Vision is considered one of the significant inputs to self-driving systems in terms of obstacle avoidance and navigation purposes. Recently, Consumer Portable Devices (CPDs) such as smartphones and tablets are continuously equipped with enhanced sensors and cameras that can be used in the navigation or obstacle avoidance applications. This paper presents an approach for enhancing the land vehicle navigation in GNSS denied environment by integrating the Visual Odometry (VO), On-Board Diagnostics information, and inertial sensors. The visual odometry is collected through a CPD camera (smartphone) which is mounted on the vehicle dashboard where the vehicle change of heading is estimated. On the other hand, the vehicle forward velocity information is acquired through On-Board Diagnostics II (OBD-II). In this paper, the proposed approach is a Global Navigation Satellite System/Inertial Navigation System (GNSS/INS) loosely coupled integration scheme where the VO heading change and the forward OBD-II velocity are used to aid the low-cost INS during GNSS signal outage to limit its drift through Extended Kalman Filter (EKF). The employed visual odometry estimates the orientation change between successive frames which requires a feature extraction step to extract the features in every frame followed by primary matching to match the features and estimate the rotation between frames. Experimental road test is implemented, and the results show significant position accuracy enhancement using the proposed approach compared with typical Dead Reckoning (DR) solution where the average position Root Mean Square Error (RMSE) of the DR is around 14 meters for 60 s GNSS signal outage while the average position RMSE for the proposed navigation approach is 4.40 meters during the same GNSS signal outage.",A. Salib; M. Moussa; A. Moussa; N. El-Sheimy,2020,10.1109/VTC2020-Fall49728.2020.9348698,2020 IEEE 92nd Vehicular Technology Conference (VTC2020-Fall),IEEE
IEEE_0012,Nonlinear Model Predictive Control for Self-Driving cars Trajectory Tracking in GNSS-denied environments,"In this paper, a trajectory tracking control problem for a self-driving vehicle is addressed using a nonlinear model predictive controller (NMPC). The solution relies on a direct multiple shooting method for discretizing the simplified differentially flat bicycle model which was used as a prediction plant to reduce the computational cost of NMPC. The solution makes use of the long prediction horizon of the NMPC, which allows safe trajectory tracking and achieving a user-specified goal location by controlling the longitudinal velocity and the steering angle. GNSS-denied navigation algorithm of the vehicle employs Visual Inertial Odometry (VIO) to obtain the position and orientation of car without using GNSS data. Simulation experiments is conducted to show the effectiveness of the system in tracking desired trajectories in high precision with speeds up to 1 m/s.",A. Barzegar; O. Doukhi; D. -J. Lee; Y. -h. Jo,2020,10.23919/ICCAS50221.2020.9268233,"2020 20th International Conference on Control, Automation and Systems (ICCAS)",IEEE
IEEE_0013,Quantum-Enhanced Drone Swarm Localization in GPS-Denied Environment,"Solutions for getting drone swarms localized when GPS is out of the picture. That's a big problem, really cuts into how reliable those autonomous jobs can be. This paper brings in a model that uses quantum stuff to boost the accuracy and how well the drones stick together. The idea here mixes quantum entanglement for syncing up between drones. It also throws in quantum-enhanced Kalman filtering to fuse sensor data better. That way, they get positions figured out more precisely and tougher against messes. We ran experiments on simulated groups of 10 drones. The setup cut down localization errors. It boosted computational efficiency too, by 25 per cent and 30 per cent in swarms dealing with different levels of interference. The thing is, these results point to quantum computing stepping up as a solid, scalable fix for swarm localization issues. It has real potential out there in tough spots without GPS, like disaster responses or city ops and even military stuff. The paper spells out how quantum tech could lead to the next wave of autonomous systems. It spots chances for using quantum algorithms in real-time navigation with multiple agents.",S. K. Thota,2026,10.1109/ICoECIT68303.2026.11497954,2026 IEEE International Conference on Emerging Computing and Intelligent Technologies (ICoECIT),IEEE
IEEE_0014,EKF-Based Multi-Sensor Fusion for GPS-Denied Localization of an Autonomous Ground Vehicle,"This paper presents an EKF-based multi-sensor fusion framework for GPS-denied localization of an autonomous ground vehicle. The proposed system integrates measurements from an inertial measurement unit, wheel encoders, and LiDAR to estimate the vehicle pose in terms of position and heading. Wheel encoder and IMU data are used for continuous motion prediction, while LiDAR-based localization provides environmental observations to correct accumulated drift. The framework is implemented on a compact Ackermann-steering robotic platform using a modular navigation architecture that integrates mapping, localization, obstacle avoidance, and motion control. Experimental validation in GPS-denied indoor environments demonstrates that the proposed fusion approach improves pose estimation consistency compared with dead-reckoning-based localization and reduces drift during trajectory tracking. The results confirm the suitability of the proposed framework for autonomous navigation applications where GPS signals are unavailable or unreliable, such as indoor inspection, search and rescue, and autonomous logistics.",R. Elzard; O. Alqaisi; L. Alhorani; R. Benotsmane; H. Yetkin,2026,10.1109/ICCC71363.2026.11593316,2026 27th International Carpathian Control Conference (ICCC),IEEE
IEEE_0015,A Comparative Analysis of LiDAR SLAM-Based Indoor Navigation for Autonomous Vehicles,"Simultaneous localization and mapping (SLAM) is a fundamental technique block in the indoor-navigation system for most autonomous vehicles and robots. SLAM aims at building a global consistent map of the environment while simultaneously determining the position and orientation of the robot in this map. Significant advances have been made in visual SLAM techniques in the past several years. However, due to the fragile performance in tracking feature points in environments that lack texture, e.g., a warehouse with blank white walls, visual SLAM can hardly provide a reliable localization. Compared with visual SLAM, LiDAR SLAM can often provide more robust localization in indoor environments by using 3D spatial information directly captured by LiDAR point clouds. Thus, LiDAR SLAM techniques are often employed in industrial applications such as automated guided vehicles (AGVs). In the past decades, a number of LiDAR SLAM methods have been proposed. However, the strength and weakness points of various LiDAR SLAMs are not clear, which may perplex the researchers and engineers. In this article, analysis and comparisons are made on different LiDAR SLAM-based indoor navigation methods, and extensive experiments are conducted to evaluate their performances in real environments. The comparative analysis and results can help researchers in academia and industry in constructing a suitable LiDAR SLAM system for indoor navigation for their own usage scenarios.",Q. Zou; Q. Sun; L. Chen; B. Nie; Q. Li,2022,10.1109/TITS.2021.3063477,IEEE Transactions on Intelligent Transportation Systems,IEEE
IEEE_0016,Artificial Landmark-based Indoor Navigation System for an Autonomous Unmanned Aerial Vehicle,"An artificial landmark-based indoor navigation system was developed to provide reliable and high accuracy indoor navigation service to an autonomous Unmanned Aerial Vehicle (UAV) with a low computational cost. In this approach, the position of the UAV with respect to the indoor environment was determined by the position information extracted from the artificial landmarks. The artificial landmarks were constructed based on QR codes which stored a unique text string that refer to an absolute coordinate of the indoor environment. Machine learning approaches were applied to provide the system with the ability to detect the landmark through the vision streamed by the aircraft. The system has been experimentally evaluated for proof of concept under practical conditions. The experiment results have proved that using QR code-based artificial landmark as a low computational cost solution is possible to achieve reliable and high accuracy indoor navigation service for an autonomous UAV.",L. C. Chie; Y. W. Juin,2020,10.1109/ICIEA49774.2020.9102082,2020 IEEE 7th International Conference on Industrial Engineering and Applications (ICIEA),IEEE
IEEE_0017,Development of Nano UAV Platform for Navigation in GPS-Denied Environment Using Snapdragon,"In order to develop a nano UAV in a GPS-denied environment, a visual-inertial system (VINS) consisting of a monocular camera and a low-cost inertial measurement unit (IMU) should be integrated, as they make a minimum, ultra lightweight sensor suite that enables both autonomous flight and sufficient environment awareness. Although there are numerous potential applications, getting to understand the structure of the flight platform can be cumbersome and confusing. Packages and resources provided on the Qualcomm developer network (QCN) and their official GitHub group ATLFlight contain un-unified and disorderly chunks of information. In this paper, we present an organized documentation that presents in detail, the platform structure as a whole, from hardware to software architecture, including installation and API related applications.",Y. Zhou; G. Qin; F. Lin,2018,10.1109/IECON.2018.8592913,IECON 2018 - 44th Annual Conference of the IEEE Industrial Electronics Society,IEEE
IEEE_0018,An Integrated System Using Federated Kalman Filter for UGV Navigation in GNSS-denied Environment,"In global navigation satellite system (GNSS) denied areas such as urban canyons, accurate positioning for unmanned ground vehicles (UGV) is a challenging issue. This paper presents a novel method of an integrated navigation system which combines the strapdown inertial navigation system (SINS), GNSS, and the vehicle kinematics model. The integrated navigation system is built using a federated Kalman filter (FKF). For coping with abnormal GNSS signals, we make an adaptive modification of the classical Kalman filter using the proposed adaptive factor. In addition, the vehicle model is combined with four-channel wheel speed information and vehicle steering information to make up for the deficiency of information in traditional kinematics constraints. In order to maintain the high accuracy of the system, we propose a method for adaptively determining information sharing coefficients, which can assign weights to both local filters according to their own confidences. The experiments conducted in urban areas show that the new integrated navigation strategy can guarantee meter-level positioning accuracy within 130 seconds in GNSS-denied environments.",M. Wang; C. Zhai; Y. Yang; K. Shen,2019,10.23919/ChiCC.2019.8865416,2019 Chinese Control Conference (CCC),IEEE
IEEE_0019,Efficient Autonomous Navigation in Dynamic Environments: Algorithm Evaluation and Multi-Robot Coordination,"Navigating indoor mobile robots in dynamic environments poses significant challenges due to obstacles and uncharted terrain. This study explores autonomous navigation systems within a laboratory-scale Flexible Manufacturing System (FMS), addressing the need for more reliable and real-time navigation. Objectives include designing a 2D map using SLAM, creating an autonomous indoor navigation system with real-time obstacle avoidance, and establishing a multi-robot navigation framework. Performance of A*, D*, TEB, and DWA algorithms is evaluated in single and multi-robot scenarios. Findings highlight A*'s effectiveness in static environments, D*'s adaptability in dynamic settings, and TEB's superiority in obstacle avoidance over DWA. The study concludes by discussing the potential of A* and TEB in multi-robot applications and suggests future research in algorithm optimization and multi-robot coordination.",M. S. S. M; N. A. Wahab; M. S. A. Mahmud; H. Alqaraghuli; E. Samsuria; M. Z. Romdlony,2024,10.1109/I2CACIS61270.2024.10649877,2024 IEEE International Conference on Automatic Control and Intelligent Systems (I2CACIS),IEEE
IEEE_0020,Experimental Analysis of Gmapping SLAM Algorithm for Mobile Robot Indoor Navigation,"The main subject of this paper is the experimental analysis of LiDAR-SLAM-based indoor navigation for a mobile robot, considering the effect of the mobile robot's linear and angular velocities on the deviation that occurs in the resulting 2D map. Our objective in this paper is to utilize the Robotics Operating System (ROS) and the Gmapping method, which rely solely on LiDAR and IMU for simultaneous localization and mapping (SLAM). It was observed that as the velocity increases, the deviation of the map decreases. After experimenting with various velocities, it was determined that the optimum velocity is 1.0 m/s. This velocity is optimal for indoor navigation within the scope of our experimental environment, exhibiting the minimum deviation from the ground truth map.",M. Reda; A. Abdulbaky; H. El-Hussieny; M. Magdy,2024,10.1109/AIRC61399.2024.10671780,"2024 5th International Conference on Artificial Intelligence, Robotics and Control (AIRC)",IEEE
IEEE_0021,Autonomous Drone Indoor Navigation Based on Virtual 3D Map Reference,Indoor drone has limitation on weight and size. This condition affects the kind of navigational sensor and computation power that can be carried by the drone. An experiment was conducted to measure the effectiveness of dead reckoning navigation method on drone. Position calculation was conducted based on IMU data. A virtual 3D map was used as a reference point for determining the real position of the drone. The experiment was conducted in 4 different flight paths. The result shown that the navigation method can be used to navigate drone in indoor environments with MSE of 0.19-0.25 m for obstacle of 2x2 m area.,J. Putra; D. E. Saputra,2022,10.1109/ICISS55894.2022.9915133,2022 International Conference on ICT for Smart Society (ICISS),IEEE
IEEE_0022,Distance-based Autonomous Docking for UAV-MP in GPS-denied Environment,"In this paper, we study the docking problem between a UAV and a mobile platform (MP) by estimating the relative position through distance information and its own displacement, and design the approaching trajectory for eliminating the need of any global positioning systems or other infrastructures. The main challenges of this problem are to estimate the relative position between the UAV and the MP and design controllers for the navigation trajectory control. Since the MP is not equipped with odometer and its motion changes from time to time, the UAV is iteratively navigated using the estimated relative positions to make it infinitely close to the MP, so that the MP finally enters the field of view of the camera and accomplishes the autonomous docking. A simulation experiment is carried out and the theoretical results are verified.",C. Cheng; X. Li; L. Li; L. Xie,2022,10.1109/CCDC55256.2022.10034409,2022 34th Chinese Control and Decision Conference (CCDC),IEEE
IEEE_0023,Autonomous Aerial Navigation in GPS-Denied Environments,"In the absence of reliable GPS or GNSS navigation systems, commercial drones fail to complete their tasks successfully. This paper proposes an autonomous navigation system that does not rely on GPS, GNSS or external markers. It instead utilizes custom navigation algorithms in place of traditional positioning systems. The navigation system employs a stereo depth camera, LiDAR, and an optical flow sensor. To process environmental data more efficiently, the system employs a 'tunnel vision' approach, which narrows the field of view to reduce computational load. This is complemented by a sliding window algorithm for processing the area in a linear manner, systematically searching for landable/landing zones. These algorithms can be effectively applied in GPS-denied environments, such as disaster-stricken areas, to facilitate rapid assessment and mapping of affected zones.",A. Variar; B. R; A. Fathima; R. U; G. Sreenandhini; D. K. H; J. J; S. M. D,2025,10.1109/INSPIRE67328.2025.11300665,2025 International Conference on Intelligent Systems and Pioneering Innovations in Robotics and Electric Mobility (INSPIRE),IEEE
IEEE_0024,Demonstration of Radio SLAM with Terrestrial Signals of Opportunity in a GPS-Denied Environment,"Radio simultaneous localization and mapping (SLAM) with terrestrial signals of opportunity (SOPs) in a real-world GPS-denied environment is demonstrated. First, radio SLAM with known and unknown SOP maps is formulated. In the former case, the receiver's spatial states are estimated alongside the receiver-SOPs temporal states; while in the latter, the receiver's and SOPs' spatial states are estimated alongside the receiver-SOPs temporal states. Next, experimental results are presented of a vehicle navigating at Edwards Air Force Base, California, USA, while GPS signals were under intentional jamming. The vehicle exploited 7 terrestrial cellular SOP transmitters in the environment to navigate for 5 km in 180 seconds, with one of the SOPs more than 25 km away. Monte Carlo radio SLAM results with various levels of SOP position uncertainty are presented, from fully-known to poorly-known with 95% uncertainty ellipses of radii 7.8 m, 24.5 m, 77.4 m, and 245 m, achieving a 2D position position root-mean squared error (RMSE) of 2.6 m, 16.8, 23.6, 39.4 m, and 44.3 m, respectively.",A. Sel; Z. M. Kassas,2025,10.1109/VTC2025-Spring65109.2025.11174336,2025 IEEE 101st Vehicular Technology Conference (VTC2025-Spring),IEEE
IEEE_0025,Design of an UWB indoor-positioning system for UAV navigation in GNSS-denied environments,"Commonly used unmanned aerial vehicle (UAV) platforms rely on the use of global navigation satellite system (GNSS) receivers for navigation. To enable the autonomous navigation of cooperative UAVs in GNSS-denied environments, the use of an ultra-wideband (UWB) positioning system is proposed. This paper discusses the design and evaluation of a practical and cooperative UWB positioning system using newly available integrated radio frequency hardware and antennas. Constellation-aware parameters, as well as other effects like antenna characteristics, are taken into consideration. A non-line-of-sight rejection is implemented based on the ratio of the first path compared to the power of the cumulated channel impulse response. An experiment covering a range of positions and orientations is conducted to gain a broad, representative set of results to assess the system accuracy in real-life usage. In a first experiment the system performance achieves a root-mean-square error of under 10 cm in the horizontal plane and under 20 cm in the three-dimensional space with a probability of 95 %. A GNSS emulation system is implemented to evaluate the real-time in-flight use of the UWB positioning system on an experimental UAV carrier. A proof of concept is given that the GNSS emulation may be used with commercially available UAV platforms to augment those systems with indoor navigation capabilities.",J. Tiemann; F. Schweikowski; C. Wietfeld,2015,10.1109/IPIN.2015.7346960,2015 International Conference on Indoor Positioning and Indoor Navigation (IPIN),IEEE
IEEE_0026,An Autonomous Inspection and Navigation Algorithm for Unmanned Platform Based on ROS and Gazebo,"To address the issue of mapping errors in traditional Gmapping, which relies solely on odometry for motion estimation, this study proposes an improved approach by fusing IMU and odometry data using an Extended Kalman Filter (EKF). The fused, more accurate pose estimates, combined with LiDAR data, are used as input to the Gmapping algorithm, significantly improving mapping accuracy. After completing the indoor map construction using Gmapping, the A* algorithm and Dynamic Window Approach (DWA) are applied to path planning and autonomous navigation for multi-point inspection. Simulation results show that the multi-sensor fusion approach improves the mapping accuracy of SLAM with an average mapping error of about 2.5%. The integration of A* and DWA enables the unmanned inspection system to dynamically adjust the path and realize reliable multi-point autonomous navigation.",Z. Zhang; X. Liu; T. Shi; W. Huo; T. Yu; S. Xu,2025,10.1109/AIPIP66876.2025.11299211,2025 International Conference on Aerospace Information Perception and Intelligent Processing (AIPIP),IEEE
IEEE_0027,Autonomous Indoor Navigation for Visually Impaired: A ROS-Based Intelligent Guide Robot with Deep Learning and SLAM Integration,"This study presents the design and implementation of an indoor intelligent guide robot for visually impaired individuals, leveraging ROS and deep learning technologies to facilitate autonomous navigation. The robot's architecture is detailed, highlighting the use of Jetson Nano for system control, STM32Fl series motor control, and ROS-Melodic for operation. Key technologies such as motor disc odometry, SLAM (Simultaneous Localization and Mapping), autonomous positioning and navigation, and object detection are analyzed and implemented. The robot's performance is evaluated through tests on navigation accuracy, obstacle avoidance, and voice interaction response time, demonstrating its effectiveness in assisting visually impaired users in indoor environments.",L. Zhang; Y. Chen; Z. Yang; H. Zhang; Z. Wang; Y. Xia; Y. Huang; H. Zhang; Z. Jie,2024,10.1109/AINIT61980.2024.10581797,"2024 5th International Seminar on Artificial Intelligence, Networking and Information Technology (AINIT)",IEEE
IEEE_0028,UAV Waypoint Opportunistic Navigation in GNSS-Denied Environments,"Navigation of an unmanned aerial vehicle (UAV) to reach a desired waypoint with provable guarantees in global navigation satellite system (GNSS)-denied environments is considered. The UAV is assumed to have an unknown initial state (position, velocity, and time) and the environment is assumed to possess multiple terrestrial signals of opportunity (SOPs) transmitters with unknown states (position and time) and one anchor SOP whose states are known. The UAV makes pseudorange measurements to all SOPs to estimate its own states simultaneously with the states of the unknown SOPs. The waypoint navigation problem is formulated as a greedy (i.e., one-step look-ahead) multiobjective motion planning (MOMP) strategy, which guarantees that the UAV gets to within a user-specified distance of the waypoint with a user-specified confidence. The MOMP strategy balances two objectives: i) navigating to the waypoint; and (ii) reducing UAV’s position estimate uncertainty. It is demonstrated that in such an environment, formulating the waypoint navigation problem in a so-called “naive” fashion by heading directly to the waypoint would result in failing to reach the waypoint. This is due to poor estimability of the environment. In contrast, the MOMP strategy guarantees (in a probabilistic sense) reaching the waypoint. Monte Carlo simulation results are presented showing that the MOMP strategy achieves the desired objective with 95% success rate compared to a 36% success rate with the naive approach. Experimental results are presented for a UAV navigating to a waypoint in a cellular SOP environment, where the MOMP strategy successfully reaches the waypoint, while the naive strategy fails to do so.",Y. Yang; J. Khalife; J. J. Morales; Z. M. Kassas,2022,10.1109/TAES.2021.3103140,IEEE Transactions on Aerospace and Electronic Systems,IEEE
IEEE_0029,A Dataset for Robot Navigation in GNSS-Disrupted Environments Using Low-Cost Sensors,"Global Navigation Satellite Systems (GNSS) have significantly improved the accuracy and availability of Positioning, Navigation, and Timing (PNT) systems; however, this has also exposed vulnerabilities in critical infrastructures due to their dependence on these systems. The emergence of autonomous vehicles further intensifies the criticality of this dependence, particularly in military scenarios where robust and resilient navigation and positioning data are essential. This paper addresses the resilience of PNT systems in unknown and dynamic environments with compromised GNSS signals. We propose a novel dataset to test navigation algorithms in scenarios with intermittent GNSS availability, where the remaining available signals consist of IMU data and wheel odometry. This dataset comprises different data acquired in trials with increasing degrees of difficulty with respect to the localization procedure, and we employ an Extended Kalman Filter to provide some localization results using these data.",T. Barata; B. Damas; V. Viegas; V. Conceição,2025,10.1109/ICARSC65809.2025.10970127,2025 IEEE International Conference on Autonomous Robot Systems and Competitions (ICARSC),IEEE
