paper_id,title,first_author,year,venue,doi,q1_clear_problem,q2_sensor_config,q3_quant_results,q4_baseline_comparison,q5_hardware_validation,q6_statistical_rigor,q7_doi_reproducibility,q8_reporting_depth,total_score,quality_tier
REC_0015,A Comparative Analysis of LiDAR SLAM-Based Indoor Navigation for Autonomous Vehicles,Q. Zou,2022,,10.1109/TITS.2021.3063477,1,1,0,1,0,0,1,1,5,Medium
REC_0016,Artificial Landmark-based Indoor Navigation System for an Autonomous Unmanned Aerial Vehicle,L. C. Chie,2020,,10.1109/ICIEA49774.2020.9102082,1,1,1,0,1,0,1,1,6,High
REC_0017,Development of Nano UAV Platform for Navigation in GPS-Denied Environment Using Snapdragon,Y. Zhou,2018,,10.1109/IECON.2018.8592913,1,1,0,0,1,0,1,1,5,Medium
REC_0018,An Integrated System Using Federated Kalman Filter for UGV Navigation in GNSS-denied Environment,M. Wang,2019,,10.23919/ChiCC.2019.8865416,1,0,1,0,0,0,1,1,4,Medium
REC_0019,Efficient Autonomous Navigation in Dynamic Environments: Algorithm Evaluation and Multi-Robot Coordination,M. S. S. M,2024,,10.1109/I2CACIS61270.2024.10649877,1,0,0,0,0,0,1,1,3,Low
REC_0020,Experimental Analysis of Gmapping SLAM Algorithm for Mobile Robot Indoor Navigation,M. Reda,2024,,10.1109/AIRC61399.2024.10671780,1,1,1,0,1,0,1,1,6,High
REC_0021,Autonomous Drone Indoor Navigation Based on Virtual 3D Map Reference,J. Putra,2022,,10.1109/ICISS55894.2022.9915133,1,1,0,0,1,0,1,1,5,Medium
REC_0022,Distance-based Autonomous Docking for UAV-MP in GPS-denied Environment,C. Cheng,2022,,10.1109/CCDC55256.2022.10034409,1,1,1,0,0,0,1,1,5,Medium
REC_0023,Autonomous Aerial Navigation in GPS-Denied Environments,A. Variar,2025,,10.1109/INSPIRE67328.2025.11300665,1,1,0,0,0,0,1,1,4,Medium
REC_0024,Demonstration of Radio SLAM with Terrestrial Signals of Opportunity in a GPS-Denied Environment,A. Sel,2025,,10.1109/VTC2025-Spring65109.2025.11174336,1,1,1,0,1,1,1,1,7,High
REC_0025,Design of an UWB indoor-positioning system for UAV navigation in GNSS-denied environments,J. Tiemann,2015,,10.1109/IPIN.2015.7346960,1,1,1,1,1,1,1,1,8,High
REC_0026,An Autonomous Inspection and Navigation Algorithm for Unmanned Platform Based on ROS and Gazebo,Z. Zhang,2025,,10.1109/AIPIP66876.2025.11299211,1,1,1,0,0,0,1,1,5,Medium
REC_0027,Autonomous Indoor Navigation for Visually Impaired: A ROS-Based Intelligent Guide Robot with Deep Learning and SLAM Integration,L. Zhang,2024,,10.1109/AINIT61980.2024.10581797,1,1,1,0,0,0,1,1,5,Medium
REC_0028,UAV Waypoint Opportunistic Navigation in GNSS-Denied Environments,Y. Yang,2022,,10.1109/TAES.2021.3103140,1,1,1,1,1,1,1,1,8,High
REC_0029,A Dataset for Robot Navigation in GNSS-Disrupted Environments Using Low-Cost Sensors,T. Barata,2025,,10.1109/ICARSC65809.2025.10970127,1,1,1,0,0,1,1,1,6,High
REC_0030,Robot/UAV Indoor Visual SLAM in Smart Cities Based on Remote Data Processing,E. Jharko,2023,,10.1109/SmartIndustryCon57312.2023.10110777,1,1,0,1,0,0,1,1,5,Medium
REC_0031,Real-Time SLAM Based on Image Stitching for Autonomous Navigation of UAVs in GNSS-Denied Regions,M. Rizk,2020,,10.1109/AICAS48895.2020.9073793,1,1,0,0,0,0,1,1,4,Medium
REC_0032,Autonomous Navigation Systems in GPS-Denied Environments: A Review of Techniques and Applications,S. Alghamdi,2025,,10.1109/ICARA64554.2025.10977619,1,0,1,0,0,0,1,1,4,Medium
REC_0033,BRM Localization: UAV Localization in GNSS-Denied Environments Based on Matching of Numerical Map and UAV Images,J. Choi,2020,,10.1109/IROS45743.2020.9341682,1,1,0,1,1,0,1,1,6,High
REC_0034,The development of the modular autonomous underwater navigation system based on OPRoS,Y. -H. Choi,2014,,10.1109/URAI.2014.7057481,1,0,0,0,1,0,1,1,4,Medium
REC_0035,State Estimation and Control for Micro Aerial Vehicles in GPS-denied Environments,H. Shen,2020,,10.1109/WCSP49889.2020.9299710,1,1,1,0,1,0,1,1,6,High
REC_0036,Artificial Intelligence-Driven Innovations in SLAM for Robotics and Autonomous Navigation,Z. Wang,2025,,10.1109/ICRCA64997.2025.11011185,1,0,0,1,0,0,1,1,4,Medium
REC_0037,Deep Visual Localization for UAVs in GNSS-Denied Environments Using Satellite Imagery,E. Öksüz,2026,,10.1109/SIU71813.2026.11636724,1,1,1,1,1,0,1,1,7,High
REC_0038,Autonomous Aerial–Ground Cooperative Navigation Based on Information-Seeking in GNSS-Denied Environments,J. Li,2023,,10.1109/JIOT.2023.3271643,1,1,1,0,0,1,1,1,6,High
REC_0039,A Novel Geolocalization Algorithm for UAV Under GNSS-denied Environment using Heading Estimation before Image Matching,J. Yang,2025,,10.1109/ICGMRS66001.2025.11065657,1,0,1,0,0,0,1,1,4,Medium
REC_0040,A Centralized Cooperative SLAM System for Improving Positioning and Perception Accuracy in GPS-Denied Environments,X. Li,2023,,10.1109/ICUS58632.2023.10318269,1,1,0,1,0,0,1,1,5,Medium
REC_0041,UAV Navigation With Monocular Visual Inertial Odometry Under GNSS-Denied Environment,H. Luo,2023,,10.1109/TGRS.2023.3323519,1,0,1,1,1,0,1,1,6,High
REC_0042,A Hierarchical Clustered Relative Localization Algorithm in GNSS-denied UAV Swarm Environments,Y. Luo,2025,,10.1109/GLOBECOM59602.2025.11432255,1,1,1,1,0,0,1,1,6,High
REC_0043,Robust Sensor Fusion for Autonomous UAV Navigation in GPS denied Forest Environment,S. M. Shithil,2022,,10.1109/ROMA55875.2022.9915682,1,1,0,0,1,1,1,1,6,High
REC_0044,ORBSLAM2 and Point Cloud Processing Towards Autonomous Underwater Robot Navigation,F. Hidalgo,2020,,10.1109/IEEECONF38699.2020.9389096,1,1,0,0,0,0,1,1,4,Medium
REC_0045,An Aerial/Ground Robot Team for Autonomous Firefighting in Urban GNSS-Denied Scenarios,S. Martínez-Rozas,2022,,10.55417/fr.2022010,1,1,0,0,1,1,1,1,6,High
REC_0046,Localisation and mapping in GPS-denied environments using RFID tags,S. James,2012,,10.1109/ROBOMECH.2012.6558464,1,1,0,0,0,1,1,1,5,Medium
REC_0047,Sensor Fusion for Octagon – an Indoor and Outdoor Autonomous Mobile Robot,K. Tian,2022,,10.1109/SysCon53536.2022.9773827,1,1,0,0,0,0,1,1,4,Medium
REC_0048,Experimental study on using visual odometry for navigation in outdoor GPS-denied environments,M. Sharifi,2016,,10.1109/MESA.2016.7587182,1,0,1,1,1,0,1,1,6,High
REC_0049,High-Precision Self-Calibration for USV Operating in GNSS-Denied Environments,J. Liu,2025,,10.1109/IMCEC66174.2025.11331782,1,1,1,0,0,0,1,1,5,Medium
REC_0050,Conditional Probabilistic Relative Visual Localization for Unmanned Aerial Vehicles,A. Couturier,2020,,10.1109/CCECE47787.2020.9255691,1,1,0,0,1,0,1,1,5,Medium
REC_0051,Motion State Classification for Drone Localisation in GPS-Denied Environments using TinyML on Resource-Constrained Hardware,V. Barbu,2025,,10.1109/AIoT66900.2025.00126,1,0,1,0,0,1,1,1,5,Medium
REC_0052,Multi-UAV Cooperative Localization with PSO-Based Configuration Optimization for Bridge Inspection in GNSS-Denied Environment,X. Chen,2025,,10.1109/AIoTC66747.2025.11198743,1,1,1,1,0,1,1,1,7,High
REC_0053,Vision-based Navigation of Unmanned Aerial Vehicles,H. Gahlot,2024,,10.1109/ICACCM61117.2024.11059131,1,1,0,0,1,0,1,1,5,Medium
REC_0054,Mecanum-Wheeled Autonomous Mobile Robot for Flexible Manufacturing System,D. M. I. Capriyani,2024,,10.1109/ATNT61688.2024.10719179,1,1,0,0,1,0,1,1,5,Medium
REC_0055,Design and Development of Autonomous Mobile Robot for Mapping and Navigation System,B. Kiran,2022,,10.1109/PuneCon55413.2022.10014944,1,1,0,0,0,0,1,1,4,Medium
REC_0056,Stable Cycles for Underwater Navigation,Q. Brateau,2025,,10.1109/OCEANS58557.2025.11104656,1,0,0,0,0,0,1,1,3,Low
REC_0057,ROS+unity: An efficient high-fidelity 3D multi-UAV navigation and control simulator in GPS-denied environments,W. Meng,2015,,10.1109/IECON.2015.7392488,1,1,0,1,1,0,1,1,6,High
REC_0058,Autonomous UAV Navigation and Real-Time Crack Detection for Infrastructure Inspection in GPS-Denied Environments,M. Imad,2024,,10.1109/ICTC62082.2024.10827730,1,0,1,0,0,0,1,1,4,Medium
REC_0059,An investigation of the use of Kinect sensor for indoor navigation,H. W. Keat,2012,,10.1109/TENCON.2012.6412246,1,1,0,0,0,0,1,1,4,Medium
REC_0060,A High Precision Autonomous Navigation Algorithm of UAV Based on MEMS Sensor,X. Song,2019,,10.1109/ICUS48101.2019.8996061,1,0,1,0,1,0,1,1,5,Medium
REC_0061,RANGE - robust autonomous navigation in GPS-denied environments,A. Bachrach,2010,,10.1109/ROBOT.2010.5509990,1,0,0,0,1,0,1,1,4,Medium
REC_0062,Multi-robot cooperative navigation with active sensing in a GPS-denied environment,S. P. Qadri Syed,2025,,10.1109/PLANS61210.2025.11028467,1,1,1,1,0,0,1,1,6,High
REC_0063,"Enhanced V-SLAM combining SVO and ORB-SLAM2, with reduced computational complexity, to improve autonomous indoor mini-drone navigation under varying conditions",A. Basiri,2022,,10.1109/IECON49645.2022.9968605,1,1,0,0,0,0,1,1,4,Medium
REC_0064,Positioning and Navigation Approaches Using Packet Loss-Based Multilateration for UAVs in GPS-Denied Environments,I. Srisomboon,2024,,10.1109/ACCESS.2024.3357148,1,1,1,0,0,0,1,1,5,Medium
REC_0065,Autonomous Drones in GNSS-Denied Environments: Results from the Leonardo Drone Contest,S. Godio,2023,,10.1109/MetroAeroSpace57412.2023.10190003,1,0,0,0,1,0,1,1,4,Medium
REC_0066,Real Time Vision Based Obstacle Avoidance for UAV using YOLO in GPS Denied Environment,S. K. NT,2023,,10.1109/OCIT59427.2023.10431039,1,1,1,0,1,0,1,1,6,High
REC_0067,Submap-Based Indoor Navigation System for the Fetch Robot,Y. Chen,2020,,10.1109/ACCESS.2020.2991465,1,1,1,0,0,1,1,1,6,High
REC_0068,Efficient Analog Ultrasonic Detection for Autonomous Drone Navigation in GPS-Denied Environments,Prashasti,2025,,10.1109/NETCRYPT65877.2025.11102407,1,0,1,1,1,0,1,1,6,High
REC_0069,SonarLite: a Compact Analog Sensing System for Real-Time UAV Navigation in GPS-Denied Zones,Prashasti,2025,,10.1109/FITYR68680.2025.00007,1,0,0,1,1,0,1,1,5,Medium
REC_0070,Implementing indoor navigation of a mobile robot,N. Y. Ko,2013,,10.1109/ICCAS.2013.6703892,1,1,1,0,0,0,1,1,5,Medium
REC_0071,Radar-Based High-Accuracy 3D Localization of UAVs for Landing in GNSS-Denied Environments,Y. Dobrev,2018,,10.1109/ICMIM.2018.8443483,1,1,0,0,0,0,1,1,4,Medium
REC_0072,A synergetic approach to indoor navigation and mapping for aerial reconnaissance and surveillance,S. Prophet,2017,,10.1109/IPIN.2017.8115919,1,1,1,0,1,1,1,1,7,High
REC_0073,An RPLiDAR based SLAM equipped with IMU for Autonomous Navigation of Wheeled Mobile Robot,M. S. Aslam,2020,,10.1109/INMIC50486.2020.9318133,1,1,0,0,0,0,1,1,4,Medium
REC_0074,Image-Based Localization and Navigation Using Deep Learning for an Omnidirectional Human Assistive Robot,G. Capi,2025,,10.1109/ICCR67607.2025.11372098,1,0,0,1,1,0,1,1,5,Medium
REC_0075,Autonomous Indoor Navigation Using Nav2,S. K,2025,,10.1109/IDCIOT64235.2025.10915000,1,1,0,0,1,0,1,1,5,Medium
REC_0076,The Current Status of Development of Pedestrian Autonomous Navigation Technology,X. Xing,2019,,10.23919/ICINS.2019.8769378,1,1,1,1,0,0,1,1,6,High
REC_0077,3D Path Planning for Autonomous UAV Navigation in GPS-Denied Environments,T. Thakkar,2026,,10.1109/ICUAS69441.2026.11598675,1,1,0,0,1,0,1,1,5,Medium
REC_0078,Underwater navigation using maneuverable beacons for localization,R. Khan,2016,,10.1109/OCEANS.2016.7761317,1,0,1,0,0,0,1,1,4,Medium
REC_0079,Autonomous UAV Navigation in Indoor Corridor Environments by a Depth Estimator based on a Deep Neural Network,P. Aneesh,2024,,10.1109/ICCCNT61001.2024.10726099,1,1,0,1,1,0,1,1,6,High
REC_0080,Enabling Computer Vision-Based Autonomous Navigation for Unmanned Aerial Vehicles in Cluttered GPS-Denied Environments,F. Valenti,2018,,10.1109/ITSC.2018.8569695,1,1,0,0,0,0,1,1,4,Medium
REC_0081,Dynamic real-time indoor environment mapping for Unmanned Autonomous Vehicle navigation,C. Aluckal,2019,,10.1109/ICAC347590.2019.9036813,1,0,0,0,0,0,1,1,3,Low
REC_0082,Federated Deep Reinforcement Learning for Collaborative Autonomous Navigation in GPS-Denied Environments,N. D. Almalis,2025,,10.1109/IISA66859.2025.11311273,1,1,1,1,1,0,1,1,7,High
REC_0083,A Relative Navigation Method Based on Wireless Ranging for UAV in GPS Denied Environment,M. Li,2020,,10.1109/ICECCE49384.2020.9179243,1,0,1,0,0,0,1,1,4,Medium
REC_0084,Simulating GPS-denied Autonomous UAV Navigation for Detection of Surface Water Bodies,A. D. Singh,2020,,10.1109/ICUAS48674.2020.9213927,1,1,0,1,1,0,1,1,6,High
REC_0085,Deep reinforcement learning based mobile robot navigation: A review,K. Zhu,2021,,10.26599/TST.2021.9010012,1,0,0,0,0,0,1,1,3,Low
REC_0086,Autonomous Museum Assistance Robot: Enhancing Visitor Navigation with Real-Time Localization,M. M. Vaishnavi,2025,,10.1109/RCSM67767.2025.11507668,1,0,0,0,0,0,1,1,3,Low
REC_0087,Adaptive UKF-SLAM based on magnetic gradient inversion method for underwater navigation,M. Wu,2015,,10.1109/ICUAS.2015.7152369,1,1,0,0,1,0,1,1,5,Medium
REC_0088,Two-stage Motion Estimation for UAV Landing under GPS-denied Condition,L. Zhang,2020,,10.1109/ICUS50048.2020.9274941,1,1,1,0,1,1,1,1,7,High
REC_0089,Exploring Deep Learning-Based Visual Localization Techniques for UAVs in GPS-Denied Environments,O. Y. Al-Jarrah,2024,,10.1109/ACCESS.2024.3440064,1,0,1,0,0,0,1,1,4,Medium
REC_0090,SkyAid: A Low-Cost Autonomous Hexacopter for Resilient Medical Supply Delivery in GPS-Denied Environments,M. A. Ali,2025,,10.1109/ICM66518.2025.11322518,1,0,1,0,1,0,1,1,5,Medium
REC_0091,Optimized Unmanned Aerial Vehicle (UAV) Localization and Autonomous Navigation Stack for Tightly Closed Industrial Spaces,R. Havås,2024,,10.1109/SysCon61195.2024.10553582,1,1,1,0,0,0,1,1,5,Medium
REC_0092,Range-Only SLAM for Underwater Navigation System with Uncertain Beacons,W. Chen,2018,,10.1109/ICMIC.2018.8529843,1,1,1,0,0,0,1,1,5,Medium
REC_0093,UWB-based System for UAV Localization in GNSS-Denied Environments: Characterization and Dataset,J. P. Queralta,2020,,10.1109/IROS45743.2020.9341042,1,1,1,0,1,0,1,1,6,High
REC_0094,Distributed Cooperative Localization for Unmanned Systems Using UWB/INS Integration in GNSS-Denied Environments,T. Li,2025,,10.1109/TIM.2025.3559161,1,1,1,1,0,1,1,1,7,High
REC_0095,Cooperative Relative Localization for UAV Swarm in GNSS-Denied Environment: A Coalition Formation Game Approach,L. Ruan,2022,,10.1109/JIOT.2021.3130000,1,1,1,1,1,0,1,1,7,High
REC_0096,Cooperative UWB-Based Localization for Outdoors Positioning and Navigation of UAVs aided by Ground Robots,Y. Xianjia,2021,,10.1109/ICAS49788.2021.9551177,1,1,1,0,0,0,1,1,5,Medium
REC_0097,Visual SLAM Combined with Object Detection for Autonomous Indoor Navigation Using Kinect V2 and ROS,M. Kulkarni,2021,,10.1109/ICCCA52192.2021.9666426,1,1,0,0,1,0,1,1,5,Medium
REC_0098,AI-Driven Indoor Navigation with Mobile Embedded Systems,S. Pasricha,2024,,10.1109/CODES-ISSS60120.2024.00016,1,0,0,1,0,0,1,1,4,Medium
REC_0099,Navigation of Mobile Robot with Nav2 and SLAM Using LiDAR,S. Shrestha,2025,,10.1109/ICSADL65848.2025.10933029,1,1,1,0,1,0,1,1,6,High
REC_0100,Indoor localization and navigation for a mobile robot equipped with rotating ultrasonic sensors using a smartphone as the robot's brain,J. Lim,2015,,10.1109/EIT.2015.7293407,1,0,0,0,0,0,1,1,3,Low
REC_0101,Indoor Navigation of a Service Robot Platform Using Multiple Localization Techniques Using Sensor Fusion,R. Mishra,2020,,10.1109/ICCAR49639.2020.9108074,1,0,1,0,0,1,1,1,5,Medium
REC_0102,Quantum-Enhanced Multi-Sensor Fusion for UAV Navigation in GPS-Denied Environments,A. Moussa,2026,,10.1109/FET68771.2026.11601505,1,1,1,0,1,0,1,1,6,High
REC_0103,State of the Art in Vision-Based Localization Techniques for Autonomous Navigation Systems,Y. Alkendi,2021,,10.1109/ACCESS.2021.3082778,1,1,0,1,0,0,1,1,5,Medium
REC_0104,An Aerial-ground Cooperative Positioning Method for Intelligent and Connected Vehicles under GNSS-denied Environments,L. Du,2025,,10.1109/ICTIS68762.2025.11215072,1,1,1,0,1,0,1,1,6,High
REC_0105,Using RFID in localization for indoor navigation of mobile robots,Y. Guo,2012,,10.1109/ICMA.2012.6285110,1,1,0,0,1,0,1,1,5,Medium
REC_0106,Enhanced Altitude Estimation for Unmanned Aerial Vehicles in a GNSS-denied Environment,A. Minervini,2024,,10.1109/ICUAS60882.2024.10556904,1,0,1,0,1,0,1,1,5,Medium
REC_0107,Augmented Radar Odometry by Nested Optimal Filter Aided Navigation for UAVS in GNSS Denied Environment,S. Zahran,2021,,10.1109/ITC-Egypt52936.2021.9513978,1,1,1,1,1,0,1,1,7,High
REC_0108,Measurement uncertainty model for relative visual localization of UAV by a monocular camera,P. Daponte,2023,,10.1109/TechDefense59795.2023.10380959,1,1,0,1,1,1,1,1,7,High
REC_0109,Application of mmWave Radar Sensors for Autonomous Robotics Navigation,X. Huang,2023,,10.1109/CSDE59766.2023.10487689,1,1,0,0,0,0,1,1,4,Medium
REC_0110,GPS-Denied Autonomous Navigation: A Sensor Fusion and Real-Time Image Processing Approach,J. P,2025,,10.1109/RFCoN62306.2025.11085214,1,1,1,0,1,0,1,1,6,High
REC_0111,Position Estimation for Drones based on Visual SLAM and IMU in GPS-denied Environment,H. D. K. Motlagh,2019,,10.1109/ICRoM48714.2019.9071826,1,1,1,0,0,0,1,1,5,Medium
REC_0112,Navigation System for Mobile Robot using RGBD Sensor based on Probabilistic Roadmaps,C. Zhou,2019,,10.1109/IAEAC47372.2019.8997926,1,0,0,0,0,0,1,1,3,Low
REC_0113,Design and Real-Time Implementation of an Autonomous Indoor Navigation System for Service Robots,M. Indriani,2026,,10.1109/ICSMech69390.2026.11647210,1,1,1,1,0,1,1,1,7,High
REC_0114,Resilient Navigation for UAVs: GNSS Attack Detection and Seamless Transition to Visual-Inertial Localization,S. R. Akkala,2025,,10.1109/INDICON68490.2025.11392970,1,0,0,0,1,0,1,1,4,Medium
REC_0115,Low Computational Data Fusion Approach Using INS and UWB for UAV Navigation Tasks in GPS-Denied Environments,X. Kong,2019,,10.1109/PDCAT46702.2019.00080,1,1,1,1,1,0,1,1,7,High
REC_0116,Designing xDR Challenge 2025 to Evaluate Localization Performance of Smartphone with Navigation Robot for People with Visual Impairment,S. Ogiso,2025,,10.1109/ISMAR-Adjunct68609.2025.00093,1,1,1,0,0,0,1,1,5,Medium
REC_0117,Accurate Multi-UAV Positioning in Complex Environments Using UWB-Aided GNSS/INS Fusion,M. Ren,2025,,10.1109/IoTAAI66837.2025.11213278,1,1,1,1,1,0,1,1,7,High
REC_0118,A Vision-Aided Navigation System by Ground-Aerial Vehicle Cooperation for UAV in GNSS-Denied Environments,Z. -H. Wang,2018,,10.1109/GNCC42960.2018.9019191,1,1,0,0,1,0,1,1,5,Medium
REC_0119,Indoor navigation with smartphone-based visual SLAM and Bluetooth-connected wheel-robot,W. -W. Kao,2013,,10.1109/CACS.2013.6734167,1,0,1,1,1,0,1,1,6,High
REC_0120,Localization Using Single Camera and Lidar in GPS-Denied Environments,H. Lezki,2020,,10.1109/SIU49456.2020.9302512,1,1,1,0,0,0,1,1,5,Medium
REC_0121,A navigation scheme for autonomous mobile service robots working in GPS denied commercial indoor spaces,R. A. Deshmukh,2023,,10.1109/IC3S57698.2023.10169514,1,0,1,0,0,0,1,1,4,Medium
REC_0123,Visual-based landing system of a multirotor UAV in GNSS denied environment,A. Marut,2023,,10.1109/MetroAeroSpace57412.2023.10190013,1,1,0,0,0,0,1,1,4,Medium
REC_0124,Map-Aided UAV Visual Localization via Visual Odometry and Orthophoto Map Alignment,Y. Zhang,2026,,10.1109/UST70584.2026.11663724,1,0,1,1,1,1,1,1,7,High
REC_0125,Autonomous Cross-Floor Navigation System for a ROS-Based Modular Service Robot,W. -H. Wang,2019,,10.1109/ICMLC48188.2019.8949176,1,0,0,0,0,0,1,1,3,Low
REC_0126,Implementation of a 4D fast SLAM including volumetric sum of the UAV,A. Aditya,2012,,10.1109/ICSensT.2012.6461785,1,1,1,0,0,0,1,1,5,Medium
REC_0127,Embedded Mobile ROS Platform for SLAM Application with RGB-D Cameras,A. Newman,2020,,10.1109/EIT48999.2020.9208310,1,1,0,0,0,0,1,1,4,Medium
REC_0128,Magnetic-map-matching Navigation For Odometry Using Low-cost Mobile Robot,Y. H. Kim,2020,,10.1109/ECICE50847.2020.9301933,1,1,1,0,0,0,1,1,5,Medium
REC_0129,Factor Graph Optimization based Sensor Fusion Positioning Algorithm for UAV in GPS-denied Environment,C. Wang,2025,,10.1109/AIHCIR67580.2025.11405273,1,1,1,0,0,1,1,1,6,High
REC_0130,Triangulation-Enhanced WiFi-Based Autonomous Localization and Navigation System: A Low-Cost Approach,S. A. Kharmeh,2024,,10.1109/REM63063.2024.10735691,1,0,0,0,1,0,1,1,4,Medium
REC_0131,Digital Twin for Drone Indoor Autonomous Navigation,M. J. Kumar,2026,,10.1109/LSENS.2025.3642424,1,1,1,1,1,1,1,1,8,High
REC_0132,"Self-positioning for UAV indoor navigation based on 3D laser scanner, UWB and INS",K. Li,2016,,10.1109/ICInfA.2016.7831874,1,1,1,1,0,0,1,1,6,High
REC_0133,Dual-Layer Path Planning With Pose SLAM for Autonomous Exploration in GPS-Denied Environments,S. Zhang,2024,,10.1109/TIE.2023.3288187,1,1,1,1,1,0,1,1,7,High
REC_0134,Cooperative Localization of Multi-Agent Autonomous Aerial Vehicle (AAV) Networks in Intelligent Transportation Systems,S. Shahkar,2025,,10.1109/OJITS.2025.3531363,1,1,1,1,0,1,1,1,7,High
REC_0135,Task-driven SLAM Benchmarking for Robot Navigation,Y. Du,2025,,10.1109/IROS60139.2025.11246415,1,1,0,1,1,0,1,1,6,High
REC_0136,A Novel Positioning Method for UAV in GNSS-Denied Environments Based on Mechanical Antenna,Y. Cui,2024,,10.1109/TIE.2023.3347859,1,1,1,1,0,1,1,1,7,High
REC_0137,Multi-UAVs Cooperative Localization with Deep Reinforcement Learning in GPS-Denied Environment,Z. Wu,2025,,10.1109/ICUS66297.2025.11294564,1,1,0,0,0,0,1,1,4,Medium
REC_0138,Autonomous Exploration and Mapping System Using Heterogeneous UAVs and UGVs in GPS-Denied Environments,H. Qin,2019,,10.1109/TVT.2018.2890416,1,1,0,0,0,0,1,1,4,Medium
REC_0139,Scalable and precise multi-UAV indoor navigation using TDOA-based UWB localization,J. Tiemann,2017,,10.1109/IPIN.2017.8115937,1,1,1,0,1,0,1,1,6,High
REC_0140,Deploy Indoor 2D Laser SLAM on a Raspberry Pi-Based Mobile Robot,M. Liao,2019,,10.1109/IHMSC.2019.10097,1,1,0,0,1,0,1,1,5,Medium
REC_0141,Mini Mapper: Cost-Effective Indoor Mapping and Navigation using Nano Drone,T. Samavedula,2025,,10.1109/COMSNETS63942.2025.10885580,1,1,1,0,0,0,1,1,5,Medium
REC_0142,Deep Learning Integration for Indoor Navigation and Aerial Tracking Via Siamese Architectures and Multi-Scale Feature Fusion,N. N. Shwetha,2025,,10.1109/INSPECT67393.2025.11350754,1,0,1,0,0,0,1,1,4,Medium
REC_0143,A UWB navigation system aided by sensor-based autonomous algorithm - Deployment and experiment in shopping mall,T. Kagawa,2014,,10.1109/WPMC.2014.7014890,1,1,1,1,0,0,1,1,6,High
REC_0144,Robust UAV Localization in GNSS-Denied Environments via Efficient Visual Scene Matching–Inertial Fusion,Z. Zhang,2025,,10.1109/CAIT68620.2025.11424858,1,1,1,0,1,0,1,1,6,High
REC_0145,"Underwater Navigation, Localization and Path Planning for Autonomous Vehicles: A Review",F. Jalal,2021,,10.1109/IBCAST51254.2021.9393315,1,1,0,0,0,0,1,1,4,Medium
