priority,id,filename,title,year,source,doi,bucket,ieee_link,doi_link,scholar_link,done_Y_N,notes,remarks,pdf_filename,pdf_present,in_extracted_master,extraction_pending
84,REC_1281,REC_1281.pdf,Learning to Navigate and Track: A Decentralized RL Framework for UAV Operations in GNSS-Denied Terrain,2026,Scopus,10.1007/978-3-032-11402-0_23,recent,https://www.scopus.com/pages/publications/105023511047?origin=resultslist,https://doi.org/10.1007/978-3-032-11402-0_23,https://scholar.google.com/scholar?q=Learning+to+Navigate+and+Track%3A+A+Decentralized+RL+Framework+for+UAV+Operations+in+GNSS-Denied+Terrain,N,,N - Pending download from Scopus (DOI: 10.1007/978-3-032-11402-0_23),NONE,N,N,N
89,REC_1341,REC_1341.pdf,Consensus and Quantum Particle Swarm Optimization-Based Cooperative Navigation Method,2026,Scopus,10.1007/978-981-95-3025-0_38,recent,https://www.scopus.com/pages/publications/105022741116?origin=resultslist,https://doi.org/10.1007/978-981-95-3025-0_38,https://scholar.google.com/scholar?q=Consensus+and+Quantum+Particle+Swarm+Optimization-Based+Cooperative+Navigation+Method,N,,N - Pending download from Scopus (DOI: 10.1007/978-981-95-3025-0_38),NONE,N,N,N
90,REC_1365,REC_1365.pdf,Coordination and Planning Algorithms for a UAS Fleet in GPS-Denied Environments,2026,Scopus,10.2514/6.2026-1091,recent,https://www.scopus.com/pages/publications/105031186238?origin=resultslist,https://doi.org/10.2514/6.2026-1091,https://scholar.google.com/scholar?q=Coordination+and+Planning+Algorithms+for+a+UAS+Fleet+in+GPS-Denied+Environments,N,,N - Pending download from Scopus (DOI: 10.2514/6.2026-1091),NONE,N,N,N
93,REC_1412,REC_1412.pdf,Collision Avoidance for a Hexacopter Using Deep Learning and IMU in a GPS-Denied Environment,2026,Scopus,10.1007/s12555-026-00052-3,recent,https://www.scopus.com/pages/publications/105033455577?origin=resultslist,https://doi.org/10.1007/s12555-026-00052-3,https://scholar.google.com/scholar?q=Collision+Avoidance+for+a+Hexacopter+Using+Deep+Learning+and+IMU+in+a+GPS-Denied+Environment,N,,N - Pending download from Scopus (DOI: 10.1007/s12555-026-00052-3),NONE,N,N,N
96,REC_1452,REC_1452.pdf,Monocular Vision-Based Navigation for UAVs in Dynamic Environments,2026,Scopus,10.2514/6.2026-1960,recent,https://www.scopus.com/pages/publications/105031057080?origin=resultslist,https://doi.org/10.2514/6.2026-1960,https://scholar.google.com/scholar?q=Monocular+Vision-Based+Navigation+for+UAVs+in+Dynamic+Environments,N,,N - Pending download from Scopus (DOI: 10.2514/6.2026-1960),NONE,N,N,N
121,REC_0997,REC_0997.pdf,Autonomous Flight for Multi-UAV in GPS-Denied Environment,2023,Scopus,10.1007/978-981-19-3998-3_85,mid,https://www.scopus.com/pages/publications/85135773632?origin=resultslist,https://doi.org/10.1007/978-981-19-3998-3_85,https://scholar.google.com/scholar?q=Autonomous+Flight+for+Multi-UAV+in+GPS-Denied+Environment,N,,N - Pending download from Scopus (DOI: 10.1007/978-981-19-3998-3_85),NONE,N,N,N
128,REC_1147,REC_1147.pdf,LiDAR-Based High-Precision Mapping and GNSS-Denied Localiztion for UAV,2023,Scopus,10.1007/978-981-99-0479-2_275,mid,https://www.scopus.com/pages/publications/85151056241?origin=resultslist,https://doi.org/10.1007/978-981-99-0479-2_275,https://scholar.google.com/scholar?q=LiDAR-Based+High-Precision+Mapping+and%C2%A0GNSS-Denied+Localiztion+for%C2%A0UAV,N,,N - Pending download from Scopus (DOI: 10.1007/978-981-99-0479-2_275),NONE,N,N,N
129,REC_1155,REC_1155.pdf,Relative Navigation of UAV Swarm in a GPS Denied Environment1,2023,Scopus,10.1117/12.2664917,mid,https://www.scopus.com/pages/publications/85171150356?origin=resultslist,https://doi.org/10.1117/12.2664917,https://scholar.google.com/scholar?q=Relative+Navigation+of+UAV+Swarm+in+a+GPS+Denied+Environment1,N,,N - Pending download from Scopus (DOI: 10.1117/12.2664917),NONE,N,N,N
130,REC_1188,REC_1188.pdf,GPS-Denied State Estimation for Blue/NDAA Unmanned Multi-Rotor Vehicles,2023,Scopus,10.2514/6.2023-2666,mid,https://www.scopus.com/pages/publications/85165979903?origin=resultslist,https://doi.org/10.2514/6.2023-2666,https://scholar.google.com/scholar?q=GPS-Denied+State+Estimation+for+Blue%2FNDAA+Unmanned+Multi-Rotor+Vehicles,N,,N - Pending download from Scopus (DOI: 10.2514/6.2023-2666),NONE,N,N,N
135,REC_1222,REC_1222.pdf,Autonomous UAV navigation in GPS denied environments using Lidar Point Clouds,2023,Scopus,10.2514/6.2023-3626,mid,https://www.scopus.com/pages/publications/85198693698?origin=resultslist,https://doi.org/10.2514/6.2023-3626,https://scholar.google.com/scholar?q=Autonomous+UAV+navigation+in+GPS+denied+environments+using+Lidar+Point+Clouds,N,,N - Pending download from Scopus (DOI: 10.2514/6.2023-3626),NONE,N,N,N
139,REC_1272,REC_1272.pdf,An Efficient Framework for Autonomous UAV Missions in Partially-Unknown GNSS-Denied Environments,2023,Scopus,10.3390/drones7070471,mid,https://www.scopus.com/pages/publications/85166361146?origin=resultslist,https://doi.org/10.3390/drones7070471,https://scholar.google.com/scholar?q=An+Efficient+Framework+for+Autonomous+UAV+Missions+in+Partially-Unknown+GNSS-Denied+Environments,N,,N - Pending download from Scopus (DOI: 10.3390/drones7070471),NONE,N,N,N
140,REC_1275,REC_1275.pdf,A DNN-Based Optical Aided Autonomous Navigation System for UAV Under GNSS-denied Environment,2023,Scopus,10.1007/978-981-99-0479-2_326,mid,https://www.scopus.com/pages/publications/85151054813?origin=resultslist,https://doi.org/10.1007/978-981-99-0479-2_326,https://scholar.google.com/scholar?q=A+DNN-Based+Optical+Aided+Autonomous+Navigation+System+for%C2%A0UAV+Under+GNSS-denied+Environment,N,,N - Pending download from Scopus (DOI: 10.1007/978-981-99-0479-2_326),NONE,N,N,N
143,REC_1332,REC_1332.pdf,A Relative Infrastructure-less Localization Algorithm for Decentralized and Autonomous Swarm Formation,2023,Scopus,10.1109/IROS55552.2023.10342168,mid,https://www.scopus.com/pages/publications/85182524698?origin=resultslist,https://doi.org/10.1109/IROS55552.2023.10342168,https://scholar.google.com/scholar?q=A+Relative+Infrastructure-less+Localization+Algorithm+for+Decentralized+and+Autonomous+Swarm+Formation,N,,N - Pending download from Scopus (DOI: 10.1109/IROS55552.2023.10342168),NONE,N,N,N
148,REC_1447,REC_1447.pdf,AN ACOUSTIC BASED LOCAL POSITIONING SYSTEM FOR DYNAMIC UAV IN GPS-DENIED ENVIRONMENTS,2023,Scopus,10.13031/aea.15397,mid,https://www.scopus.com/pages/publications/85164693586?origin=resultslist,https://doi.org/10.13031/aea.15397,https://scholar.google.com/scholar?q=AN+ACOUSTIC+BASED+LOCAL+POSITIONING+SYSTEM+FOR+DYNAMIC+UAV+IN+GPS-DENIED+ENVIRONMENTS,N,,N - Pending download from Scopus (DOI: 10.13031/aea.15397),NONE,N,N,N
152,REC_1548,REC_1548.pdf,Tethered Multicopter Guidance in GPS-Denied Environments Through Reinforcement Learning,2023,Scopus,10.2514/6.2023-0507,mid,https://www.scopus.com/pages/publications/85198653810?origin=resultslist,https://doi.org/10.2514/6.2023-0507,https://scholar.google.com/scholar?q=Tethered+Multicopter+Guidance+in+GPS-Denied+Environments+Through+Reinforcement+Learning,N,,N - Pending download from Scopus (DOI: 10.2514/6.2023-0507),NONE,N,N,N
153,REC_1602,REC_1602.pdf,Cooperative localisation of UAV swarm based on adaptive SA-PSO algorithm,2023,Scopus,10.1017/aer.2022.54,mid,https://www.scopus.com/pages/publications/85146144246?origin=resultslist,https://doi.org/10.1017/aer.2022.54,https://scholar.google.com/scholar?q=Cooperative+localisation+of+UAV+swarm+based+on+adaptive+SA-PSO+algorithm,N,,N - Pending download from Scopus (DOI: 10.1017/aer.2022.54),NONE,N,N,N
154,REC_1620,REC_1620.pdf,Research and Design of Precision-Landing Drone in an Underground GPS-Denied Environment,2023,Scopus,10.2514/6.2023-3625,mid,https://www.scopus.com/pages/publications/85187639600?origin=resultslist,https://doi.org/10.2514/6.2023-3625,https://scholar.google.com/scholar?q=Research+and+Design+of+Precision-Landing+Drone+in+an+Underground+GPS-Denied+Environment,N,,N - Pending download from Scopus (DOI: 10.2514/6.2023-3625),NONE,N,N,N
172,REC_1068,REC_1068.pdf,High-Accuracy Robust SLAM and Real-Time Autonomous Navigation of UAV in GNSS-denied Environments,2022,Scopus,10.1007/978-981-15-8155-7_92,mid,https://www.scopus.com/pages/publications/85120639894?origin=resultslist,https://doi.org/10.1007/978-981-15-8155-7_92,https://scholar.google.com/scholar?q=High-Accuracy+Robust+SLAM+and+Real-Time+Autonomous+Navigation+of+UAV+in+GNSS-denied+Environments,N,,N - Pending download from Scopus (DOI: 10.1007/978-981-15-8155-7_92),NONE,N,N,N
179,REC_1347,REC_1347.pdf,A Ground Moving Target Tracking System for a Quadrotor in GPS-Denied Environments,2022,Scopus,10.1007/978-981-15-8155-7_246,mid,https://www.scopus.com/pages/publications/85120611112?origin=resultslist,https://doi.org/10.1007/978-981-15-8155-7_246,https://scholar.google.com/scholar?q=A+Ground+Moving+Target+Tracking+System+for+a+Quadrotor+in+GPS-Denied+Environments,N,,N - Pending download from Scopus (DOI: 10.1007/978-981-15-8155-7_246),NONE,N,N,N
184,REC_1440,REC_1440.pdf,A Review of Navigation Algorithms for Unmanned Aerial Vehicles Based on Computer Vision Systems,2022,Scopus,10.1134/S2075108722040022,mid,https://www.scopus.com/pages/publications/85150454440?origin=resultslist,https://doi.org/10.1134/S2075108722040022,https://scholar.google.com/scholar?q=A+Review+of+Navigation+Algorithms+for+Unmanned+Aerial+Vehicles+Based+on+Computer+Vision+Systems,N,,N - Pending download from Scopus (DOI: 10.1134/S2075108722040022),NONE,N,N,N
186,REC_1522,REC_1522.pdf,A Real-Time Monocular Vision-Aided Target Detection and Tracking for Micro UAV in GPS Denied Environment,2022,Scopus,10.1007/978-981-15-8155-7_255,mid,https://www.scopus.com/pages/publications/85120629324?origin=resultslist,https://doi.org/10.1007/978-981-15-8155-7_255,https://scholar.google.com/scholar?q=A+Real-Time+Monocular+Vision-Aided+Target+Detection+and+Tracking+for+Micro+UAV+in+GPS+Denied+Environment,N,,N - Pending download from Scopus (DOI: 10.1007/978-981-15-8155-7_255),NONE,N,N,N
191,REC_1646,REC_1646.pdf,Adaptive Visual-Inertial Navigation for Fixed-Wing Aircraft Landing in GPS-Denied Condition,2022,Scopus,10.1007/978-981-15-8155-7_222,mid,https://www.scopus.com/pages/publications/85120645861?origin=resultslist,https://doi.org/10.1007/978-981-15-8155-7_222,https://scholar.google.com/scholar?q=Adaptive+Visual-Inertial+Navigation+for+Fixed-Wing+Aircraft+Landing+in+GPS-Denied+Condition,N,,N - Pending download from Scopus (DOI: 10.1007/978-981-15-8155-7_222),NONE,N,N,N
220,REC_1090,REC_1090.pdf,UAV navigation in GPS-denied environment using particle filtered RVL,2019,Scopus,10.1117/12.2518516,classic,https://www.scopus.com/pages/publications/85073902145?origin=resultslist,https://doi.org/10.1117/12.2518516,https://scholar.google.com/scholar?q=UAV+navigation+in+GPS-denied+environment+using+particle+filtered+RVL,N,,N - Pending download from Scopus (DOI: 10.1117/12.2518516),NONE,N,N,N
222,REC_1200,REC_1200.pdf,RF-Drone: Multi-tag system for RF-ID enables drone tracking in GPS-denied environments,2019,Scopus,10.1587/transcom.2018DRP0005,classic,https://www.scopus.com/pages/publications/85073237627?origin=resultslist,https://doi.org/10.1587/transcom.2018DRP0005,https://scholar.google.com/scholar?q=RF-Drone%3A+Multi-tag+system+for+RF-ID+enables+drone+tracking+in+GPS-denied+environments,N,,N - Pending download from Scopus (DOI: 10.1587/transcom.2018DRP0005),NONE,N,N,N
223,REC_1209,REC_1209.pdf,Immunity-based framework for autonomous flight in GNSS-denied environment,2019,Scopus,10.15866/irease.v12i6.16215,classic,https://www.scopus.com/pages/publications/85078500395?origin=resultslist,https://doi.org/10.15866/irease.v12i6.16215,https://scholar.google.com/scholar?q=Immunity-based+framework+for+autonomous+flight+in+GNSS-denied+environment,N,,N - Pending download from Scopus (DOI: 10.15866/irease.v12i6.16215),NONE,N,N,N
225,REC_1294,REC_1294.pdf,Localization Fusion for Aerial Vehicles in Partially GNSS Denied Environments,2019,Scopus,10.1007/978-3-030-14984-0_20,classic,https://www.scopus.com/pages/publications/85064058996?origin=resultslist,https://doi.org/10.1007/978-3-030-14984-0_20,https://scholar.google.com/scholar?q=Localization+Fusion+for+Aerial+Vehicles+in+Partially+GNSS+Denied+Environments,N,,N - Pending download from Scopus (DOI: 10.1007/978-3-030-14984-0_20),NONE,N,N,N
226,REC_1363,REC_1363.pdf,CSLAM and GPS based navigation for multi-UAV cooperative transportation system,2019,Scopus,10.1007/978-3-030-27535-8_29,classic,https://www.scopus.com/pages/publications/85070630111?origin=resultslist,https://doi.org/10.1007/978-3-030-27535-8_29,https://scholar.google.com/scholar?q=CSLAM+and+GPS+based+navigation+for+multi-UAV+cooperative+transportation+system,N,,N - Pending download from Scopus (DOI: 10.1007/978-3-030-27535-8_29),NONE,N,N,N
229,REC_1553,REC_1553.pdf,Real-Time Monocular Vision-Based UAV Obstacle Detection and Collision Avoidance in GPS-Denied Outdoor Environments Using CNN MobileNet-SSD,2019,Scopus,10.1007/978-3-030-33749-0_49,classic,https://www.scopus.com/pages/publications/85075681207?origin=resultslist,https://doi.org/10.1007/978-3-030-33749-0_49,https://scholar.google.com/scholar?q=Real-Time+Monocular+Vision-Based+UAV+Obstacle+Detection+and+Collision+Avoidance+in+GPS-Denied+Outdoor+Environments+Using+CNN+MobileNet-SSD,N,,N - Pending download from Scopus (DOI: 10.1007/978-3-030-33749-0_49),NONE,N,N,N
247,REC_1070,REC_1070.pdf,Hybrid Machine Learning VDM for UAVs in GNSS-denied Environment,2018,Scopus,10.1002/navi.249,classic,https://www.scopus.com/pages/publications/85052784132?origin=resultslist,https://doi.org/10.1002/navi.249,https://scholar.google.com/scholar?q=Hybrid+Machine+Learning+VDM+for+UAVs+in+GNSS-denied+Environment,N,,N - Pending download from Scopus (DOI: 10.1002/navi.249),NONE,N,N,N
251,REC_1210,REC_1210.pdf,"Experiments in Fast, Autonomous, GPS-Denied Quadrotor Flight",2018,Scopus,10.1109/ICRA.2018.8463214,classic,https://www.scopus.com/pages/publications/85055752056?origin=resultslist,https://doi.org/10.1109/ICRA.2018.8463214,https://scholar.google.com/scholar?q=Experiments+in+Fast%2C+Autonomous%2C+GPS-Denied+Quadrotor+Flight,N,,N - Pending download from Scopus (DOI: 10.1109/ICRA.2018.8463214),NONE,N,N,N
253,REC_1268,REC_1268.pdf,SOFT-SLAM: Computationally efficient stereo visual simultaneous localization and mapping for autonomous unmanned aerial vehicles,2018,Scopus,10.1002/rob.21762,classic,https://www.scopus.com/pages/publications/85048092294?origin=resultslist,https://doi.org/10.1002/rob.21762,https://scholar.google.com/scholar?q=SOFT-SLAM%3A+Computationally+efficient+stereo+visual+simultaneous+localization+and+mapping+for+autonomous+unmanned+aerial+vehicles,N,,N - Pending download from Scopus (DOI: 10.1002/rob.21762),NONE,N,N,N
260,REC_1555,REC_1555.pdf,Bounding visual odometry drift with radio range data for small unmanned aerial vehicles,2018,Scopus,10.33012/2018.15952,classic,https://www.scopus.com/pages/publications/85062996827?origin=resultslist,https://doi.org/10.33012/2018.15952,https://scholar.google.com/scholar?q=Bounding+visual+odometry+drift+with+radio+range+data+for+small+unmanned+aerial+vehicles,N,,N - Pending download from Scopus (DOI: 10.33012/2018.15952),NONE,N,N,N
262,REC_1676,REC_1676.pdf,More Robust Features for Adaptive Visual Navigation of UAVs in Mixed Environments: A Novel Localisation Framework,2018,Scopus,10.1007/s10846-017-0650-2,classic,https://www.scopus.com/pages/publications/85030324656?origin=resultslist,https://doi.org/10.1007/s10846-017-0650-2,https://scholar.google.com/scholar?q=More+Robust+Features+for+Adaptive+Visual+Navigation+of+UAVs+in+Mixed+Environments%3A+A+Novel+Localisation+Framework,N,,N - Pending download from Scopus (DOI: 10.1007/s10846-017-0650-2),NONE,N,N,N
263,REC_1679,REC_1679.pdf,Self-localization of unmanned aerial vehicles based on optical flow in onboard camera images,2018,Scopus,10.1007/978-3-319-76072-8_8,classic,https://www.scopus.com/pages/publications/85044084324?origin=resultslist,https://doi.org/10.1007/978-3-319-76072-8_8,https://scholar.google.com/scholar?q=Self-localization+of+unmanned+aerial+vehicles+based+on+optical+flow+in+onboard+camera+images,N,,N - Pending download from Scopus (DOI: 10.1007/978-3-319-76072-8_8),NONE,N,N,N
272,REC_1539,REC_1539.pdf,3D mapping for autonomous quadrotor aircraft,2017,Scopus,10.1142/S2301385017400064,classic,https://www.scopus.com/pages/publications/85031033588?origin=resultslist,https://doi.org/10.1142/S2301385017400064,https://scholar.google.com/scholar?q=3D+mapping+for+autonomous+quadrotor+aircraft,N,,N - Pending download from Scopus (DOI: 10.1142/S2301385017400064),NONE,N,N,N
281,REC_1064,REC_1064.pdf,Autonomous Navigation for Micro Aerial Vehicles in Complex GNSS-denied Environments,2016,Scopus,10.1007/s10846-015-0274-3,classic,https://www.scopus.com/pages/publications/84944703942?origin=resultslist,https://doi.org/10.1007/s10846-015-0274-3,https://scholar.google.com/scholar?q=Autonomous+Navigation+for+Micro+Aerial+Vehicles+in+Complex+GNSS-denied+Environments,N,,N - Pending download from Scopus (DOI: 10.1007/s10846-015-0274-3),NONE,N,N,N
289,REC_1400,REC_1400.pdf,Indoor SLAM for micro aerial vehicles using visual and laser sensor fusion,2016,Scopus,10.1007/978-3-319-27146-0_41,classic,https://www.scopus.com/pages/publications/84951733127?origin=resultslist,https://doi.org/10.1007/978-3-319-27146-0_41,https://scholar.google.com/scholar?q=Indoor+SLAM+for+micro+aerial+vehicles+using+visual+and+laser+sensor+fusion,N,,N - Pending download from Scopus (DOI: 10.1007/978-3-319-27146-0_41),NONE,N,N,N
294,REC_1609,REC_1609.pdf,GPS Denied UAV Routing with Communication Constraints,2016,Scopus,10.1007/s10846-016-0343-2,classic,https://www.scopus.com/pages/publications/84957680616?origin=resultslist,https://doi.org/10.1007/s10846-016-0343-2,https://scholar.google.com/scholar?q=GPS+Denied+UAV+Routing+with+Communication+Constraints,N,,N - Pending download from Scopus (DOI: 10.1007/s10846-016-0343-2),NONE,N,N,N
