priority,id,filename,title,year,source,doi,bucket,ieee_link,doi_link,scholar_link,done_Y_N,notes,remarks
65,REC_1149,REC_1149.pdf,Simultaneous Localization and Mapping using Sensor Fusion for UAV Navigation in GPS-Denied Environments,2026,Scopus,10.2514/6.2026-0855,recent,https://www.scopus.com/pages/publications/105031153399?origin=resultslist,https://doi.org/10.2514/6.2026-0855,https://scholar.google.com/scholar?q=Simultaneous+Localization+and+Mapping+using+Sensor+Fusion+for+UAV+Navigation+in+GPS-Denied+Environments,N,,N - Pending download from Scopus (DOI: 10.2514/6.2026-0855)
66,REC_1150,REC_1150.pdf,NaviLoc: Trajectory-Level Visual Localization for GNSS-Denied UAV Navigation,2026,Scopus,10.3390/drones10020097,recent,https://www.scopus.com/pages/publications/105031282340?origin=resultslist,https://doi.org/10.3390/drones10020097,https://scholar.google.com/scholar?q=NaviLoc%3A+Trajectory-Level+Visual+Localization+for+GNSS-Denied+UAV+Navigation,N,,N - Pending download from Scopus (DOI: 10.3390/drones10020097)
68,REC_1164,REC_1164.pdf,Lightweight and accurate infrared rangefinder-fused LiDAR-inertial localization for UAV-based bridge inspection in GPS-denied environments,2026,Scopus,10.1016/j.measurement.2025.118983,recent,https://www.scopus.com/pages/publications/105016309253?origin=resultslist,https://doi.org/10.1016/j.measurement.2025.118983,https://scholar.google.com/scholar?q=Lightweight+and+accurate+infrared+rangefinder-fused+LiDAR-inertial+localization+for+UAV-based+bridge+inspection+in+GPS-denied+environments,N,,N - Pending download from Scopus (DOI: 10.1016/j.measurement.2025.118983)
69,REC_1165,REC_1165.pdf,UAV Localization in GPS-Denied Environments: A Review,2026,Scopus,10.1109/TSMC.2026.3708505,recent,https://www.scopus.com/pages/publications/105044809424?origin=resultslist,https://doi.org/10.1109/TSMC.2026.3708505,https://scholar.google.com/scholar?q=UAV+Localization+in+GPS-Denied+Environments%3A+A+Review,N,,N - Pending download from Scopus (DOI: 10.1109/TSMC.2026.3708505)
70,REC_1167,REC_1167.pdf,APF-Driven Lightweight UAV Swarm Trajectory Optimization in GNSS-Denied Air–Terrestrial Navigation,2026,Scopus,10.3390/electronics15061207,recent,https://www.scopus.com/pages/publications/105034263672?origin=resultslist,https://doi.org/10.3390/electronics15061207,https://scholar.google.com/scholar?q=APF-Driven+Lightweight+UAV+Swarm+Trajectory+Optimization+in+GNSS-Denied+Air%E2%80%93Terrestrial+Navigation,N,,N - Pending download from Scopus (DOI: 10.3390/electronics15061207)
71,REC_1171,REC_1171.pdf,"LiDAR-Based Multi-Modal UAV Navigation Dataset for Robust Benchmarking in Complex-Structured, GNSS-Denied Industrial Environments",2026,Scopus,10.3390/drones10080611,recent,https://www.scopus.com/pages/publications/105048346246?origin=resultslist,https://doi.org/10.3390/drones10080611,https://scholar.google.com/scholar?q=LiDAR-Based+Multi-Modal+UAV+Navigation+Dataset+for+Robust+Benchmarking+in+Complex-Structured%2C+GNSS-Denied+Industrial+Environments,N,,N - Pending download from Scopus (DOI: 10.3390/drones10080611)
73,REC_1185,REC_1185.pdf,UAV swarm distributed cooperative localization in GNSS-denied environments: an ICMC and ACPM Fusion approach,2026,Scopus,10.1016/j.adhoc.2026.104363,recent,https://www.scopus.com/pages/publications/105046510686?origin=resultslist,https://doi.org/10.1016/j.adhoc.2026.104363,https://scholar.google.com/scholar?q=UAV+swarm+distributed+cooperative+localization+in+GNSS-denied+environments%3A+an+ICMC+and+ACPM+Fusion+approach,N,,N - Pending download from Scopus (DOI: 10.1016/j.adhoc.2026.104363)
74,REC_1208,REC_1208.pdf,Energy-Aware Adaptive Communication Topology with Edge-AI Navigation for UAV Swarms in GNSS-Denied Environments,2026,Scopus,10.3390/drones10040273,recent,https://www.scopus.com/pages/publications/105037061945?origin=resultslist,https://doi.org/10.3390/drones10040273,https://scholar.google.com/scholar?q=Energy-Aware+Adaptive+Communication+Topology+with+Edge-AI+Navigation+for+UAV+Swarms+in+GNSS-Denied+Environments,N,,N - Pending download from Scopus (DOI: 10.3390/drones10040273)
75,REC_1216,REC_1216.pdf,A Two-Stage Residual Extended Kalman Filter using Extreme Gradient Boosting and Kolmogorov–Arnold Networks for terrain-aided Unmanned Aerial Vehicle Localization in Global Navigation Satellite System-denied environments,2026,Scopus,10.1016/j.engappai.2026.114430,recent,https://www.scopus.com/pages/publications/105032198406?origin=resultslist,https://doi.org/10.1016/j.engappai.2026.114430,https://scholar.google.com/scholar?q=A+Two-Stage+Residual+Extended+Kalman+Filter+using+Extreme+Gradient+Boosting+and+Kolmogorov%E2%80%93Arnold+Networks+for+terrain-aided+Unmanned+Aerial+Vehicle+Localization+in+Global+Navigation+Satellite+System-denied+environments,N,,N - Pending download from Scopus (DOI: 10.1016/j.engappai.2026.114430)
76,REC_1223,REC_1223.pdf,"uVGS-2: The Micro Video Guidance Sensor: A 6-DoF Robust Pose Estimator for Autonomous Proximity Maneuvers in Drones, Spacecraft and Mobile Robot Navigation",2026,Scopus,10.3390/drones10070535,recent,https://www.scopus.com/pages/publications/105045826677?origin=resultslist,https://doi.org/10.3390/drones10070535,https://scholar.google.com/scholar?q=uVGS-2%3A+The+Micro+Video+Guidance+Sensor%3A+A+6-DoF+Robust+Pose+Estimator+for+Autonomous+Proximity+Maneuvers+in+Drones%2C+Spacecraft+and+Mobile+Robot+Navigation,N,,N - Pending download from Scopus (DOI: 10.3390/drones10070535)
78,REC_1243,REC_1243.pdf,Adaptive Formation Control of UAVs near Structures for Robust Localization and Efficient Task Execution,2026,Scopus,10.20965/jrm.2026.p0907,recent,https://www.scopus.com/pages/publications/105047093356?origin=resultslist,https://doi.org/10.20965/jrm.2026.p0907,https://scholar.google.com/scholar?q=Adaptive+Formation+Control+of+UAVs+near+Structures+for+Robust+Localization+and+Efficient+Task+Execution,N,,N - Pending download from Scopus (DOI: 10.20965/jrm.2026.p0907)
79,REC_1248,REC_1248.pdf,Gradient perception approach: Mapless INS/geomagnetic combined navigation in GPS-denied environments,2026,Scopus,10.1016/j.measurement.2026.122761,recent,https://www.scopus.com/pages/publications/105046904160?origin=resultslist,https://doi.org/10.1016/j.measurement.2026.122761,https://scholar.google.com/scholar?q=Gradient+perception+approach%3A+Mapless+INS%2Fgeomagnetic+combined+navigation+in+GPS-denied+environments,N,,N - Pending download from Scopus (DOI: 10.1016/j.measurement.2026.122761)
80,REC_1252,REC_1252.pdf,Artificial Intelligence-Based Decision Support System for UAV Control in a Simulated Environment,2026,Scopus,10.3390/s26082436,recent,https://www.scopus.com/pages/publications/105037069864?origin=resultslist,https://doi.org/10.3390/s26082436,https://scholar.google.com/scholar?q=Artificial+Intelligence-Based+Decision+Support+System+for+UAV+Control+in+a+Simulated+Environment,N,,N - Pending download from Scopus (DOI: 10.3390/s26082436)
81,REC_1253,REC_1253.pdf,Real-Time Autonomous UAV Navigation with SLAM-Based Mapping and Direction-Oriented Exploration in Forest-like GNSS-Denied Scenarios,2026,Scopus,10.3390/drones10060399,recent,https://www.scopus.com/pages/publications/105042835268?origin=resultslist,https://doi.org/10.3390/drones10060399,https://scholar.google.com/scholar?q=Real-Time+Autonomous+UAV+Navigation+with+SLAM-Based+Mapping+and+Direction-Oriented+Exploration+in+Forest-like+GNSS-Denied+Scenarios,N,,N - Pending download from Scopus (DOI: 10.3390/drones10060399)
82,REC_1274,REC_1274.pdf,Integrated Air–Ground Robotic System for Autonomous Post-Blast Operations in GNSS-Denied Tunnels,2026,Scopus,10.3390/rs18081133,recent,https://www.scopus.com/pages/publications/105037021457?origin=resultslist,https://doi.org/10.3390/rs18081133,https://scholar.google.com/scholar?q=Integrated+Air%E2%80%93Ground+Robotic+System+for+Autonomous+Post-Blast+Operations+in+GNSS-Denied+Tunnels,N,,N - Pending download from Scopus (DOI: 10.3390/rs18081133)
83,REC_1277,REC_1277.pdf,A Physics-Guided Aeromagnetic Interference Compensation Method for Geomagnetic Sensing in GNSS-Denied UAV Swarm Systems,2026,Scopus,10.3390/drones10040252,recent,https://www.scopus.com/pages/publications/105036880261?origin=resultslist,https://doi.org/10.3390/drones10040252,https://scholar.google.com/scholar?q=A+Physics-Guided+Aeromagnetic+Interference+Compensation+Method+for+Geomagnetic+Sensing+in+GNSS-Denied+UAV+Swarm+Systems,N,,N - Pending download from Scopus (DOI: 10.3390/drones10040252)
84,REC_1281,REC_1281.pdf,Learning to Navigate and Track: A Decentralized RL Framework for UAV Operations in GNSS-Denied Terrain,2026,Scopus,10.1007/978-3-032-11402-0_23,recent,https://www.scopus.com/pages/publications/105023511047?origin=resultslist,https://doi.org/10.1007/978-3-032-11402-0_23,https://scholar.google.com/scholar?q=Learning+to+Navigate+and+Track%3A+A+Decentralized+RL+Framework+for+UAV+Operations+in+GNSS-Denied+Terrain,N,,N - Pending download from Scopus (DOI: 10.1007/978-3-032-11402-0_23)
86,REC_1302,REC_1302.pdf,Federated Energy-Aware Deep Reinforcement Learning for GNSS-Independent Swarm UAV Autonomy †,2026,Scopus,10.3390/electronics15143064,recent,https://www.scopus.com/pages/publications/105045981017?origin=resultslist,https://doi.org/10.3390/electronics15143064,https://scholar.google.com/scholar?q=Federated+Energy-Aware+Deep+Reinforcement+Learning+for+GNSS-Independent+Swarm+UAV+Autonomy+%E2%80%A0,N,,N - Pending download from Scopus (DOI: 10.3390/electronics15143064)
87,REC_1304,REC_1304.pdf,Formation-Constrained Cooperative Localization for UAV Swarms in GNSS-Denied Environments,2026,Scopus,10.3390/s26061984,recent,https://www.scopus.com/pages/publications/105033988652?origin=resultslist,https://doi.org/10.3390/s26061984,https://scholar.google.com/scholar?q=Formation-Constrained+Cooperative+Localization+for+UAV+Swarms+in+GNSS-Denied+Environments,N,,N - Pending download from Scopus (DOI: 10.3390/s26061984)
88,REC_1309,REC_1309.pdf,Vision-Based Unmanned Aerial Vehicle Swarm Cooperation and Online Point-Cloud Registration for Global Localization in Global Navigation Satellite System-Intermittent Environments,2026,Scopus,10.3390/drones10010065,recent,https://www.scopus.com/pages/publications/105028796174?origin=resultslist,https://doi.org/10.3390/drones10010065,https://scholar.google.com/scholar?q=Vision-Based+Unmanned+Aerial+Vehicle+Swarm+Cooperation+and+Online+Point-Cloud+Registration+for+Global+Localization+in+Global+Navigation+Satellite+System-Intermittent+Environments,N,,N - Pending download from Scopus (DOI: 10.3390/drones10010065)
89,REC_1341,REC_1341.pdf,Consensus and Quantum Particle Swarm Optimization-Based Cooperative Navigation Method,2026,Scopus,10.1007/978-981-95-3025-0_38,recent,https://www.scopus.com/pages/publications/105022741116?origin=resultslist,https://doi.org/10.1007/978-981-95-3025-0_38,https://scholar.google.com/scholar?q=Consensus+and+Quantum+Particle+Swarm+Optimization-Based+Cooperative+Navigation+Method,N,,N - Pending download from Scopus (DOI: 10.1007/978-981-95-3025-0_38)
90,REC_1365,REC_1365.pdf,Coordination and Planning Algorithms for a UAS Fleet in GPS-Denied Environments,2026,Scopus,10.2514/6.2026-1091,recent,https://www.scopus.com/pages/publications/105031186238?origin=resultslist,https://doi.org/10.2514/6.2026-1091,https://scholar.google.com/scholar?q=Coordination+and+Planning+Algorithms+for+a+UAS+Fleet+in+GPS-Denied+Environments,N,,N - Pending download from Scopus (DOI: 10.2514/6.2026-1091)
91,REC_1393,REC_1393.pdf,ST-DCL: A Spatio-Temporally Decoupled Cooperative Localization Method for Dynamic Drone Swarms,2026,Scopus,10.3390/drones10010069,recent,https://www.scopus.com/pages/publications/105028743165?origin=resultslist,https://doi.org/10.3390/drones10010069,https://scholar.google.com/scholar?q=ST-DCL%3A+A+Spatio-Temporally+Decoupled+Cooperative+Localization+Method+for+Dynamic+Drone+Swarms,N,,N - Pending download from Scopus (DOI: 10.3390/drones10010069)
93,REC_1412,REC_1412.pdf,Collision Avoidance for a Hexacopter Using Deep Learning and IMU in a GPS-Denied Environment,2026,Scopus,10.1007/s12555-026-00052-3,recent,https://www.scopus.com/pages/publications/105033455577?origin=resultslist,https://doi.org/10.1007/s12555-026-00052-3,https://scholar.google.com/scholar?q=Collision+Avoidance+for+a+Hexacopter+Using+Deep+Learning+and+IMU+in+a+GPS-Denied+Environment,N,,N - Pending download from Scopus (DOI: 10.1007/s12555-026-00052-3)
96,REC_1452,REC_1452.pdf,Monocular Vision-Based Navigation for UAVs in Dynamic Environments,2026,Scopus,10.2514/6.2026-1960,recent,https://www.scopus.com/pages/publications/105031057080?origin=resultslist,https://doi.org/10.2514/6.2026-1960,https://scholar.google.com/scholar?q=Monocular+Vision-Based+Navigation+for+UAVs+in+Dynamic+Environments,N,,N - Pending download from Scopus (DOI: 10.2514/6.2026-1960)
97,REC_1453,REC_1453.pdf,A Graph-Optimization-Based tightly coupled Multi-Source positioning method for UAVs in GNSS-Denied environments,2026,Scopus,10.1016/j.measurement.2026.121787,recent,https://www.scopus.com/pages/publications/105039222132?origin=resultslist,https://doi.org/10.1016/j.measurement.2026.121787,https://scholar.google.com/scholar?q=A+Graph-Optimization-Based+tightly+coupled+Multi-Source+positioning+method+for+UAVs+in+GNSS-Denied+environments,N,,N - Pending download from Scopus (DOI: 10.1016/j.measurement.2026.121787)
98,REC_1454,REC_1454.pdf,Adaptive UAV Visual Localisation Based on Improved Gradient-Damping Newton Method,2026,Scopus,10.3390/electronics15101974,recent,https://www.scopus.com/pages/publications/105040052818?origin=resultslist,https://doi.org/10.3390/electronics15101974,https://scholar.google.com/scholar?q=Adaptive+UAV+Visual+Localisation+Based+on+Improved+Gradient-Damping+Newton+Method,N,,N - Pending download from Scopus (DOI: 10.3390/electronics15101974)
100,REC_1512,REC_1512.pdf,Hierarchical Multi-Agent Navigation Through the 72-h Thermal Drift Cliff,2026,Scopus,10.3390/drones10080561,recent,https://www.scopus.com/pages/publications/105048338625?origin=resultslist,https://doi.org/10.3390/drones10080561,https://scholar.google.com/scholar?q=Hierarchical+Multi-Agent+Navigation+Through+the+72-h+Thermal+Drift+Cliff,N,,N - Pending download from Scopus (DOI: 10.3390/drones10080561)
110,REC_0347,REC_0347.pdf,A Novel Three-Stage Robust Adaptive Filtering Algorithm for Visual-Inertial Odometry in GNSS-Denied Environments,2023,IEEE_Xplore,10.1109/JSEN.2023.3289313,mid,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=10.1109%2FJSEN.2023.3289313,https://doi.org/10.1109/JSEN.2023.3289313,https://scholar.google.com/scholar?q=A+Novel+Three-Stage+Robust+Adaptive+Filtering+Algorithm+for+Visual-Inertial+Odometry+in+GNSS-Denied+Environments,N,,N - Pending download from IEEE_Xplore (DOI: 10.1109/JSEN.2023.3289313)
121,REC_0997,REC_0997.pdf,Autonomous Flight for Multi-UAV in GPS-Denied Environment,2023,Scopus,10.1007/978-981-19-3998-3_85,mid,https://www.scopus.com/pages/publications/85135773632?origin=resultslist,https://doi.org/10.1007/978-981-19-3998-3_85,https://scholar.google.com/scholar?q=Autonomous+Flight+for+Multi-UAV+in+GPS-Denied+Environment,N,,N - Pending download from Scopus (DOI: 10.1007/978-981-19-3998-3_85)
122,REC_1017,REC_1017.pdf,A Real-Time Simulator for Navigation in GNSS-Denied Environments of UAV Swarms,2023,Scopus,10.3390/app132011278,mid,https://www.scopus.com/pages/publications/85192387655?origin=resultslist,https://doi.org/10.3390/app132011278,https://scholar.google.com/scholar?q=A+Real-Time+Simulator+for+Navigation+in+GNSS-Denied+Environments+of+UAV+Swarms,N,,N - Pending download from Scopus (DOI: 10.3390/app132011278)
124,REC_1085,REC_1085.pdf,GNSS-Denied Semi-Direct Visual Navigation for Autonomous UAVs Aided by PI-Inspired Inertial Priors,2023,Scopus,10.3390/aerospace10030220,mid,https://www.scopus.com/pages/publications/85151545059?origin=resultslist,https://doi.org/10.3390/aerospace10030220,https://scholar.google.com/scholar?q=GNSS-Denied+Semi-Direct+Visual+Navigation+for+Autonomous+UAVs+Aided+by+PI-Inspired+Inertial+Priors,N,,N - Pending download from Scopus (DOI: 10.3390/aerospace10030220)
125,REC_1118,REC_1118.pdf,GNSS-denied UAV indoor navigation with UWB incorporated visual inertial odometry,2023,Scopus,10.1016/j.measurement.2022.112256,mid,https://www.scopus.com/pages/publications/85145561846?origin=resultslist,https://doi.org/10.1016/j.measurement.2022.112256,https://scholar.google.com/scholar?q=GNSS-denied+UAV+indoor+navigation+with+UWB+incorporated+visual+inertial+odometry,N,,N - Pending download from Scopus (DOI: 10.1016/j.measurement.2022.112256)
126,REC_1135,REC_1135.pdf,UAV Localization in Low-Altitude GNSS-Denied Environments Based on POI and Store Signage Text Matching in UAV Images,2023,Scopus,10.3390/drones7070451,mid,https://www.scopus.com/pages/publications/85166313972?origin=resultslist,https://doi.org/10.3390/drones7070451,https://scholar.google.com/scholar?q=UAV+Localization+in+Low-Altitude+GNSS-Denied+Environments+Based+on+POI+and+Store+Signage+Text+Matching+in+UAV+Images,N,,N - Pending download from Scopus (DOI: 10.3390/drones7070451)
128,REC_1147,REC_1147.pdf,LiDAR-Based High-Precision Mapping and GNSS-Denied Localiztion for UAV,2023,Scopus,10.1007/978-981-99-0479-2_275,mid,https://www.scopus.com/pages/publications/85151056241?origin=resultslist,https://doi.org/10.1007/978-981-99-0479-2_275,https://scholar.google.com/scholar?q=LiDAR-Based+High-Precision+Mapping+and%C2%A0GNSS-Denied+Localiztion+for%C2%A0UAV,N,,N - Pending download from Scopus (DOI: 10.1007/978-981-99-0479-2_275)
129,REC_1155,REC_1155.pdf,Relative Navigation of UAV Swarm in a GPS Denied Environment1,2023,Scopus,10.1117/12.2664917,mid,https://www.scopus.com/pages/publications/85171150356?origin=resultslist,https://doi.org/10.1117/12.2664917,https://scholar.google.com/scholar?q=Relative+Navigation+of+UAV+Swarm+in+a+GPS+Denied+Environment1,N,,N - Pending download from Scopus (DOI: 10.1117/12.2664917)
130,REC_1188,REC_1188.pdf,GPS-Denied State Estimation for Blue/NDAA Unmanned Multi-Rotor Vehicles,2023,Scopus,10.2514/6.2023-2666,mid,https://www.scopus.com/pages/publications/85165979903?origin=resultslist,https://doi.org/10.2514/6.2023-2666,https://scholar.google.com/scholar?q=GPS-Denied+State+Estimation+for+Blue%2FNDAA+Unmanned+Multi-Rotor+Vehicles,N,,N - Pending download from Scopus (DOI: 10.2514/6.2023-2666)
133,REC_1194,REC_1194.pdf,A Unmanned Aerial Vehicle (UAV)/Unmanned Ground Vehicle (UGV) Dynamic Autonomous Docking Scheme in GPS-Denied Environments,2023,Scopus,10.3390/drones7100613,mid,https://www.scopus.com/pages/publications/85175459750?origin=resultslist,https://doi.org/10.3390/drones7100613,https://scholar.google.com/scholar?q=A+Unmanned+Aerial+Vehicle+%28UAV%29%2FUnmanned+Ground+Vehicle+%28UGV%29+Dynamic+Autonomous+Docking+Scheme+in+GPS-Denied+Environments,N,,N - Pending download from Scopus (DOI: 10.3390/drones7100613)
134,REC_1196,REC_1196.pdf,Precision Landing of a Quadcopter Drone by Smartphone Video Guidance Sensor in a GPS-Denied Environment,2023,Scopus,10.3390/s23041934,mid,https://www.scopus.com/pages/publications/85148969285?origin=resultslist,https://doi.org/10.3390/s23041934,https://scholar.google.com/scholar?q=Precision+Landing+of+a+Quadcopter+Drone+by+Smartphone+Video+Guidance+Sensor+in+a+GPS-Denied+Environment,N,,N - Pending download from Scopus (DOI: 10.3390/s23041934)
135,REC_1222,REC_1222.pdf,Autonomous UAV navigation in GPS denied environments using Lidar Point Clouds,2023,Scopus,10.2514/6.2023-3626,mid,https://www.scopus.com/pages/publications/85198693698?origin=resultslist,https://doi.org/10.2514/6.2023-3626,https://scholar.google.com/scholar?q=Autonomous+UAV+navigation+in+GPS+denied+environments+using+Lidar+Point+Clouds,N,,N - Pending download from Scopus (DOI: 10.2514/6.2023-3626)
136,REC_1232,REC_1232.pdf,Range–Visual–Inertial Odometry with Coarse-to-Fine Image Registration Fusion for UAV Localization,2023,Scopus,10.3390/drones7080540,mid,https://www.scopus.com/pages/publications/85169155084?origin=resultslist,https://doi.org/10.3390/drones7080540,https://scholar.google.com/scholar?q=Range%E2%80%93Visual%E2%80%93Inertial+Odometry+with+Coarse-to-Fine+Image+Registration+Fusion+for+UAV+Localization,N,,N - Pending download from Scopus (DOI: 10.3390/drones7080540)
137,REC_1250,REC_1250.pdf,Long-Distance GNSS-Denied Visual Inertial Navigation for Autonomous Fixed-Wing Unmanned Air Vehicles: SO(3) Manifold Filter Based on Virtual Vision Sensor,2023,Scopus,10.3390/aerospace10080708,mid,https://www.scopus.com/pages/publications/85168701852?origin=resultslist,https://doi.org/10.3390/aerospace10080708,https://scholar.google.com/scholar?q=Long-Distance+GNSS-Denied+Visual+Inertial+Navigation+for+Autonomous+Fixed-Wing+Unmanned+Air+Vehicles%3A+SO%283%29+Manifold+Filter+Based+on+Virtual+Vision+Sensor,N,,N - Pending download from Scopus (DOI: 10.3390/aerospace10080708)
139,REC_1272,REC_1272.pdf,An Efficient Framework for Autonomous UAV Missions in Partially-Unknown GNSS-Denied Environments,2023,Scopus,10.3390/drones7070471,mid,https://www.scopus.com/pages/publications/85166361146?origin=resultslist,https://doi.org/10.3390/drones7070471,https://scholar.google.com/scholar?q=An+Efficient+Framework+for+Autonomous+UAV+Missions+in+Partially-Unknown+GNSS-Denied+Environments,N,,N - Pending download from Scopus (DOI: 10.3390/drones7070471)
140,REC_1275,REC_1275.pdf,A DNN-Based Optical Aided Autonomous Navigation System for UAV Under GNSS-denied Environment,2023,Scopus,10.1007/978-981-99-0479-2_326,mid,https://www.scopus.com/pages/publications/85151054813?origin=resultslist,https://doi.org/10.1007/978-981-99-0479-2_326,https://scholar.google.com/scholar?q=A+DNN-Based+Optical+Aided+Autonomous+Navigation+System+for%C2%A0UAV+Under+GNSS-denied+Environment,N,,N - Pending download from Scopus (DOI: 10.1007/978-981-99-0479-2_326)
141,REC_1282,REC_1282.pdf,A Lidar-Inertial Navigation System for UAVs in GNSS-Denied Environment with Spatial Grid Structures,2023,Scopus,10.3390/app13010414,mid,https://www.scopus.com/pages/publications/85145708987?origin=resultslist,https://doi.org/10.3390/app13010414,https://scholar.google.com/scholar?q=A+Lidar-Inertial+Navigation+System+for+UAVs+in+GNSS-Denied+Environment+with+Spatial+Grid+Structures,N,,N - Pending download from Scopus (DOI: 10.3390/app13010414)
142,REC_1316,REC_1316.pdf,Automated Method for SLAM Evaluation in GNSS-Denied Areas,2023,Scopus,10.3390/rs15215141,mid,https://www.scopus.com/pages/publications/85176229291?origin=resultslist,https://doi.org/10.3390/rs15215141,https://scholar.google.com/scholar?q=Automated+Method+for+SLAM+Evaluation+in+GNSS-Denied+Areas,N,,N - Pending download from Scopus (DOI: 10.3390/rs15215141)
