id,title,authors,year,doi,venue,abstract_summary,approach_family,sensors_used,best_ate_rmse,best_ate_rmse_unit,baseline_compared,claimed_novelty,environment_category,real_or_sim,human_verdict,human_notes
REC_0196,Navigation of Simultaneous Localization and Mapping by Fusing RGB-D Camera and IMU on UAV,X. Dai; Y. Mao; T. Huang; B. Li; D. Huang,2019,10.1109/SAFEPROCESS45799.2019.9213339,IEEE Conference/Journal,...,Visual-Inertial (VIO/SLAM),IMU;Stereo_Camera;LiDAR_2D,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Both,,
REC_0264,Autonomous UAV Navigation for Target Detection in Visually Degraded and GPS Denied Environments,S. Boiteau; F. Vanegas; J. Sandino; F. Gonzalez; J. Galvez-Serna,2023,10.1109/AERO55745.2023.10115544,IEEE Conference/Journal,...,Visual-LiDAR Fusion,IMU;Stereo_Camera;LiDAR_3D;Radar_mmWave;Sonar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Simulation,,
REC_0289,Development of a Simulated UAV Platform for Sensor-Fusion-Based SLAM,M. F. Mummtaz; J. Yoo; I. B. K. Y. Utama; I. Zaini; Y. M. Jang,2026,10.1109/ICAIIC68212.2026.11454340,IEEE Conference/Journal,...,Visual-LiDAR Fusion,IMU;Stereo_Camera;LiDAR_3D;Radar_mmWave,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Adversarial/EW;Maritime/Water,Both,,
REC_0294,A Novel Approach to Computationally Lighter GNSS-Denied UAV Navigation Using Monocular Camera,J. Bhowmick; A. Singh; H. Gupta; R. Nallanthighal,2021,10.1109/ICARA51699.2021.9376502,IEEE Conference/Journal,...,Visual-LiDAR Fusion,IMU;Stereo_Camera;LiDAR_3D;UWB;Optical_Flow,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Forest/Canopy;Adversarial/EW,Both,,
REC_0296,Optical flow sensor integrated navigation system for quadrotor in GPS-denied environment,S. -E. Tsai; S. -H. Zhuang,2016,10.1109/ICRAE.2016.7738795,IEEE Conference/Journal,...,UWB / Radio / Beacons,IMU;Monocular_Camera;Optical_Flow;Sonar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Adversarial/EW,Simulation,,
REC_0318,Cooperative Navigation Method Based on Adaptive CKF for UAVs In GPS Denied Areas,Y. Yu; S. Peng; Q. Li; X. Dong; Z. Ren,2018,10.1109/GNCC42960.2018.9018972,IEEE Conference/Journal,...,Visual-Inertial (VIO/SLAM),IMU;Thermal_Camera;LiDAR_3D;Radar_mmWave;Sonar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Urban;Underground/Tunnel;Adversarial/EW;Maritime/Water,Simulation,,
REC_0345,Distance function based 6DOF localization for unmanned aerial vehicles in GPS denied environments,J. Unicomb; L. Dantanarayana; J. Arukgoda; R. Ranasinghe; G. Dissanayake; T. Furukawa,2017,10.1109/IROS.2017.8206421,IEEE Conference/Journal,...,Visual-LiDAR Fusion,IMU;Stereo_Camera;LiDAR_3D,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Adversarial/EW;Maritime/Water,Simulation,,
REC_0438,Vision-based object path following on a quadcopter for GPS-denied environments,D. H. S. De Mel; K. A. Stol; J. A. D. Mills; B. R. Eastwood,2017,10.1109/ICUAS.2017.7991500,IEEE Conference/Journal,...,UWB / Radio / Beacons,IMU;Monocular_Camera;Optical_Flow;Sonar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Adversarial/EW,Simulation,,
REC_0444,Autonomous Aerial Swarming in GNSS-denied Environments with High Obstacle Density,A. Ahmad; V. Walter; P. Petráček; M. Petrlík; T. Báča; D. Žaitlík; M. Saska,2021,10.1109/ICRA48506.2021.9561284,IEEE Conference/Journal,...,Visual-LiDAR Fusion,IMU;Stereo_Camera;LiDAR_3D;UWB,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Urban;Forest/Canopy;Adversarial/EW,Both,,
REC_0594,Google map aided visual navigation for UAVs in GPS-denied environment,M. Shan; F. Wang; F. Lin; Z. Gao; Y. Z. Tang; B. M. Chen,2015,10.1109/ROBIO.2015.7418753,IEEE Conference/Journal,...,Visual-Inertial (VIO/SLAM),IMU;Thermal_Camera,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Simulation,,
REC_0598,Compact Passive Millimeter Wave Imager for Degraded Visual and GPS-Denied Navigation,T. Dillon; C. Schuetz; A. Wright; S. Kozacik; Z. El-Azom; S. Shi; D. Prather; A. Rutkowski,2019,10.1109/RAPID.2019.8864251,IEEE Conference/Journal,...,Visual-Inertial (VIO/SLAM),IMU;Thermal_Camera;LiDAR_3D;Optical_Flow,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Urban;Forest/Canopy;Adversarial/EW;Maritime/Water,Both,,
REC_0816,Feature 3D Gaussian Splatting for UAV-to-Ship Pose Estimation in GNSS-Denied Environments,A. Bernas; J. McConnell; J. Seargeant; L. DeVries,2026,10.1109/ICUAS69441.2026.11598627,IEEE Conference/Journal,...,Visual-Inertial (VIO/SLAM),IMU;Depth_Camera,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Urban;Underground/Tunnel;Adversarial/EW;Maritime/Water,Real_World,,
REC_0824,A Homography-Based Visual Servo Control Approach for an Underactuated Unmanned Aerial Vehicle in GPS-Denied Environments,H. Zhong; Y. Wang; Z. Miao; L. Li; S. Fan; H. Zhang,2023,10.1109/TIV.2022.3163315,IEEE Conference/Journal,...,Visual-Inertial (VIO/SLAM),IMU;Monocular_Camera,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Adversarial/EW;Maritime/Water,Both,,
REC_0932,Development of a Plug-and-Play Infrared Landing System for Multirotor Unmanned Aerial Vehicles,E. Nowak; K. Gupta; H. Najjaran,2017,10.1109/CRV.2017.23,IEEE Conference/Journal,...,Visual-Inertial (VIO/SLAM),IMU;Stereo_Camera,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Real_World,,
REC_1034,Uavs enhanced navigation in outdoor gnss denied environment using UWB and monocular camera systems,Zahran S.; Masiero A.; Mostafa M.M.; Moussa A.M.; Vettore A.; El-Sheimy N.,2019,10.5194/isprs-archives-XLII-2-W13-665-2019,IEEE Conference/Journal,...,Visual-Inertial (VIO/SLAM),IMU;Stereo_Camera;UWB;Optical_Flow,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Simulation,,
REC_1207,GPS-denied indoor and outdoor monocular vision aided navigation and control of unmanned aircraft,Chowdhary G.; Johnson E.N.; Magree D.; Wu A.; Shein A.,2013,10.1002/rob.21454,IEEE Conference/Journal,...,Visual-Inertial (VIO/SLAM),IMU;Stereo_Camera;LiDAR_3D;Sonar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,Both,,
REC_1270,Navigation of UAV in GNSS denied area,Pintér M.; Marcoň P.,2024,10.13164/eeict.2024.96,IEEE Conference/Journal,...,Visual-LiDAR Fusion,IMU;Stereo_Camera;LiDAR_3D;Optical_Flow,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Underground/Tunnel;Adversarial/EW,Simulation,,
REC_1298,Cooperative Localization for GNSS-Denied Subterranean Navigation: A UAV–UGV Team Approach,Akhihiero D.; Olawoye U.; Das S.; Gross J.,2024,10.33012/navi.677,IEEE Conference/Journal,...,Visual-LiDAR Fusion,IMU;Stereo_Camera;LiDAR_3D;UWB,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Simulation,,
REC_1358,An experimental analysis of outdoor UAV localisation through diverse estimators and crowd-sensed data fusion,Ahmed M.M.; Shawky M.A.; Zahran S.; Moussa A.; EL-Shimy N.; Elmahallawy A.A.; Ansari S.; Shah S.T.; Abdellatif A.G.,2024,10.1016/j.phycom.2024.102475,IEEE Conference/Journal,...,Visual-LiDAR Fusion,IMU;Stereo_Camera;LiDAR_3D;Radar_mmWave;UWB;Optical_Flow,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Both,,
REC_1417,Cellular Communication-Based Autonomous UAV Navigation with Obstacle Avoidance for Unknown Indoor Environments,Choi Y.J.; Ramatryana I.N.A.; Shin S.Y.,2021,10.22266/ijies2021.0430.31,IEEE Conference/Journal,...,Visual-LiDAR Fusion,IMU;Stereo_Camera;LiDAR_2D;Radar_mmWave,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Adversarial/EW,Simulation,,
REC_1561,Characterization of mountain drainage patterns for GPS-denied UAS navigation augmentation,Wang T.; Celik K.; Somani A.K.,2016,10.1007/s00138-015-0723-9,IEEE Conference/Journal,...,Visual-Inertial (VIO/SLAM),IMU;Stereo_Camera;Radar_mmWave,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,Simulation,,
REC_1582,Overview of Mutual Localization Techniques Between Unmanned Aerial Vehicles in Swarm,Czaja B.; Maślanka K.; Skokowski P.; Kelner J.,2025,10.12716/1001.19.01.37,IEEE Conference/Journal,...,Visual-LiDAR Fusion,IMU;Thermal_Camera;LiDAR_3D;Radar_mmWave;UWB;Sonar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,Simulation,,
REC_1612,Visual GPS-denied multi-agent localization & terrain classification,Chiel B.S.; Baillieul J.,2018,10.1109/AERO.2018.8396392,IEEE Conference/Journal,...,Visual-Inertial (VIO/SLAM),IMU;Monocular_Camera,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,Both,,
REC_1678,Position and Orientation from Asynchronous Lidar in GNSS Denied Environments,Glennie C.; Haces-Garcia F.,2026,10.5194/isprs-annals-XI-1-2026-151-2026,IEEE Conference/Journal,...,LiDAR-Inertial / LiDAR SLAM,IMU;LiDAR_2D,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Urban;Underground/Tunnel;Adversarial/EW,Both,,
