id,title,doi,doi_status
REC_0343,Vision-Aided Multi-UAV Autonomous Flocking in GPS-Denied Environment,10.1109/TIE.2018.2824766,present
REC_0345,Distance function based 6DOF localization for unmanned aerial vehicles in GPS denied environments,10.1109/IROS.2017.8206421,present
REC_0346,Autonomous Flight in Unknown GNSS-denied Environments for Disaster Examination,10.1109/ICUAS51884.2021.9476790,present
REC_0363,Enhanced UAV navigation in GNSS denied environment using repeated dynamics pattern recognition,10.1109/PLANS.2018.8373497,present
REC_0369,Autonomous Flight Control of a Nano Quadrotor Helicopter in a GPS-Denied Environment Using On-Board Vision,10.1109/TIE.2015.2420036,present
REC_0388,Multi-UAV Cooperative Navigation Based on Multisource Information Fusion: A Review,10.1109/JSEN.2025.3646302,present
REC_0391,Multi-UAV Collaboration and IMU Fusion Localization Method in Partial GNSS-Denied Scenarios,10.1109/ACCESS.2023.3315870,present
REC_0409,Dust-Resilient Autonomous Navigation and Mapping for UAVs in GNSS-Denied Underground Tunnels,10.1109/ICUAS69441.2026.11598747,present
REC_0426,Leonardo Drone Contest 2021: Politecnico di Milano team architecture,10.1109/ICUAS54217.2022.9836103,present
REC_0438,Vision-based object path following on a quadcopter for GPS-denied environments,10.1109/ICUAS.2017.7991500,present
REC_0444,Autonomous Aerial Swarming in GNSS-denied Environments with High Obstacle Density,10.1109/ICRA48506.2021.9561284,present
REC_0455,Airborne-Relay-based Algorithm for Locating Crashed UAVs in GPS-Denied Environments,10.1109/UEMCON47517.2019.8993065,present
REC_0459,Safe Tightly-Constrained UAV Swarming in GNSS-denied Environments,10.1109/ICUAS51884.2021.9476794,present
REC_0464,Relative visual-inertial odometry for fixed-wing aircraft in GPS-denied environments,10.1109/PLANS.2018.8373454,present
REC_0469,Design and Flight Test of an Aerial Manipulator for Applications in GPS-Denied Environments,10.1109/ICUAS54217.2022.9836060,present
REC_0475,P2P-DroneLoc: Peer-to-Peer Localization for GPS-Denied Drones using Camera and WiFi Fine Time Measurement,10.1109/ANTS56424.2022.10227756,present
REC_0481,An Onboard Transformer-Based Physics-Informed System for UAV Trajectory Prediction and State Classification in GNSS-Denied Environments,10.1109/ICUAS69441.2026.11598599,present
REC_0485,Multi-Sensor 6-DoF Localization For Aerial Robots In Complex GNSS-Denied Environments,10.1109/IROS40897.2019.8967686,present
REC_0489,UAV Vision Aided INS/Odometer Integration for Land Vehicle Autonomous Navigation,10.1109/TVT.2022.3151729,present
REC_0502,LD3DGS-SLAM: Long-Distance Monocular SLAM With 3-D Gaussian Splatting and GNSS-Aided Localization for UAVs,10.1109/JIOT.2025.3638876,present
REC_0503,Decimeter-Accuracy Positioning for Drones Using Two-Stage Trilateration in a GPS-Denied Environment,10.1109/JIOT.2022.3231704,present
REC_0534,Integrated UWB-Vision Approach for Autonomous Docking of UAVs in GPS-denied Environments,10.1109/ICRA.2019.8793851,present
REC_0537,Indoor Navigation and Attitude Estimation for Uas Using Inertial Sensors and Extended Kalman Filtering,10.1109/MetroAeroSpace69299.2026.11646697,present
REC_0544,Season-Invariant GNSS-Denied Visual Localization for UAVs,10.1109/LRA.2022.3191038,present
REC_0572,GNSS-Independent Navigation of UAV through Utilization of Sensor Fusion and Intelligence System,10.1109/ICT4DA56482.2022.9971437,present
REC_0594,Google map aided visual navigation for UAVs in GPS-denied environment,10.1109/ROBIO.2015.7418753,present
REC_0598,Compact Passive Millimeter Wave Imager for Degraded Visual and GPS-Denied Navigation,10.1109/RAPID.2019.8864251,present
REC_0617,Visual-Inertial Fusion for Indoor Autonomous Navigation of a Quadrotor Using ORB-SLAM,10.1109/LARS/SBR/WRE.2018.00028,present
REC_0620,Terrain Aided Planetary UAV Localization Based on Geo-referencing,10.1109/TGRS.2022.3198745,present
REC_0622,Micro-Drone Ego-Velocity and Height Estimation in GPS-Denied Environments Using an FMCW MIMO Radar,10.1109/JSEN.2022.3229421,present
REC_0631,Invited Speaker 1: Navigation without GPS for Unmanned Aerial Vehicles,10.1109/IConDA47345.2019.9034681,present
REC_0639,A Vision-Based Approach to Autonomous Landing of an eVTOL Aircraft in GPS-Denied Environments,10.1109/DASC58513.2023.10311329,present
REC_0644,Autonomous Localization and Navigation for Drones Over Rivers,10.1109/ACCESS.2025.3650454,present
REC_0647,Radiation Source Localization in GPS-Denied Environments Using Aerial Robots,10.1109/ICRA.2018.8460760,present
REC_0652,Reinforcement Learning-Based Autonomous UAV Navigation in Indoor Environments Towards Human Detection,10.1109/ICIPRoB69625.2026.11497788,present
REC_0656,Vision-Based UAV Localization by Aerial and Satellite Image Matching,10.1109/ACCESS.2026.3684630,present
REC_0687,On the scalability of experimentally determined aerodynamic model for model-based navigation on a delta-wing UAV,10.1109/MetroAeroSpace57412.2023.10189996,present
REC_0688,Single Vehicle Localization and Routing in GPS-Denied Environments Using Range-Only Measurements,10.1109/ACCESS.2019.2963286,present
REC_0701,Vision-Based Autonomous Drone Navigation Using Deep Reinforcement Learning,10.1109/ESCI68015.2026.11493377,present
REC_0705,Recursive Extended Finite-Memory Positioning Algorithm for Robust UAV Positioning in GNSS-Denied Environment,10.1109/JIOT.2025.3629868,present
REC_0706,Towards Robust UAV Tracking in GNSS-Denied Environments: A Multi-LiDAR Multi-UAV Dataset,10.1109/ROBIO58561.2023.10354788,present
REC_0713,Autonomous UAV Pipeline Landing via Depth-LiDAR Fusion in GNSS-Denied Refineries,10.1109/LRA.2026.3662655,present
REC_0716,Cooperative Search Area optimization using Multiple Unmanned Aerial Vehicles in a GPS-denied Environment,10.1109/ICUAS.2019.8798332,present
REC_0719,Autonomous landing of small unmanned aerial rotorcraft based on monocular vision in GPS-denied area,10.1109/JAS.2015.7032912,present
REC_0752,Cooperative localisation of UAVs in a GPS-denied environment using bearing measurements,10.1109/CDC.2016.7798924,present
REC_0814,Monocular Vision Aided Autonomous UAV Navigation in Indoor Corridor Environments,10.1109/TSUSC.2018.2810952,present
REC_0816,Feature 3D Gaussian Splatting for UAV-to-Ship Pose Estimation in GNSS-Denied Environments,10.1109/ICUAS69441.2026.11598627,present
REC_0824,A Homography-Based Visual Servo Control Approach for an Underactuated Unmanned Aerial Vehicle in GPS-Denied Environments,10.1109/TIV.2022.3163315,present
REC_0840,GPS-Denied Drone Navigation via Cross-Domain Keypoint Matching,10.1109/ICIP61757.2026.11630202,present
REC_0857,SwarmRaft: Leveraging Consensus for Robust Drone Swarm Coordination in GNSS-Degraded Environments,10.1109/JIOT.2025.3645453,present
REC_0859,A Multimode Visual-Inertial Navigation Method for Fixed-wing Aircraft Approach and Landing in GPS-denied and Low Visibility Environments,10.1109/DASC43569.2019.9081785,present
REC_0866,Autonomous Aerial Robots for Search and Rescue Missions,10.1109/UPCON59197.2023.10434325,present
REC_0870,"Recent Trends, Techniques, and Applications of AI Based Autonomous Drones",10.1109/ICEI65890.2026.11447876,present
REC_0932,Development of a Plug-and-Play Infrared Landing System for Multirotor Unmanned Aerial Vehicles,10.1109/CRV.2017.23,present
REC_0951,PSS-LIO A Computationally Efficient LiDAR-Inertial Odometry Framework for UAV Building Inspection via Geometric Predictability and Structure Prior Learning,10.1109/TIM.2026.3709427,present
REC_0960,Cooperative Visual Inertial Odometry for Heterogeneous Swarm of Drones Navigating in Noisy Environments,10.1109/ISIE51582.2022.9831647,present
REC_0961,Multimodal Image Registration for GPS-denied UAV Navigation Based on Disentangled Representations,10.1109/ICRA48891.2023.10161567,present
REC_0973,Landmark Placement for Localization in a GPS-denied Environment,10.23919/ACC.2018.8431886,present
REC_0981,Multi-sensor Data Analysis in Terms of Autonomous Drone Flight without GPS,10.1109/PIERS59004.2023.10221335,present
REC_0986,Field Test Results of GNSS-denied Inertial Navigation aided by Phased-array Radio Systems for UAVs,10.1109/ICUAS.2019.8798057,present
REC_0993,"Fast, autonomous flight in GPS-denied and cluttered environments",10.1002/rob.21774,present
REC_0994,Automated localization of UAVs in GPS-denied indoor construction environments using fiducial markers,10.22260/isarc2018/0012,present
REC_1001,Perception and navigation for an autonomous quadrotor in GPS-denied environments,10.2316/Journal.206.2016.6.206-4434,present
REC_1006,A comprehensive survey on autonomous UAV navigation and control systems,10.1007/s40435-026-02068-3,present
REC_1007,Robust geo-localization of UAVSAR in GPS-Denied environments using deep cross-modality matching with google Earth imagery,10.1007/s12518-026-00694-2,present
REC_1018,OPsCV: A Robust Framework for Aerial Navigation under Global Positioning System Denied Conditions,10.1590/jatm.v18.1413,present
REC_1025,A Survey on Radio Frequency based Precise Localisation Technology for UAV in GPS-denied Environment,10.1007/s10846-021-01500-4,present
REC_1028,Integrated navigation for autonomous drone in GPS and GPS-denied environments,10.20965/jrm.2018.p0373,present
REC_1034,Uavs enhanced navigation in outdoor gnss denied environment using UWB and monocular camera systems,10.5194/isprs-archives-XLII-2-W13-665-2019,present
REC_1049,"UAV tracking of mobile target in occluded, cluttered and GPS-denied environments",10.1109/AERO.2018.8396449,present
REC_1103,Integrated navigation of aerial robot for GPS and GPS-denied environment,10.1088/1742-6596/744/1/012219,present
REC_1105,3D SCENE RECONSTRUCTION AND PATH PLANNING METHOD FOR UAV IN GNSS-DENIED ENVIRONMENT,10.5194/isprs-annals-X-3-W1-2022-69-2022,present
REC_1132,Minimalistic approach for monocular SLAM system applied to micro aerial vehicles in GPS-denied environments,10.1177/0142331217747343,present
REC_1137,"Integrated guidance, navigation, and control system for a UAV in a GPS denied environment",10.5220/0006908204400447,present
REC_1146,Micro-radar and UWB aided UAV navigation in GNSS denied environment,10.5194/isprs-archives-XLII-1-469-2018,present
REC_1148,UAV-Based Structural Health Monitoring Using a Two-Stage CNN Model with Lighthouse Localization in GNSS-Denied Environments,10.28991/HIJ-2025-06-02-03,present
REC_1159,GPS-Denied Navigation Aided by Synthetic Aperture Radar Using the Range-Doppler Algorithm,10.33012/navi.533,present
REC_1192,Indoor UAV Localization Using a Tether,10.1109/SSRR.2018.8468627,present
REC_1207,GPS-denied indoor and outdoor monocular vision aided navigation and control of unmanned aircraft,10.1002/rob.21454,present
REC_1212,Autonomous drone hunter operating by deep learning and all-onboard computations in GPS-denied environments,10.1371/journal.pone.0225092,present
REC_1217,Vision based UAS navigation for RFI localization,10.33012/2018.16060,present
REC_1245,Fusion of Optical Flow and Dead Reckoning Algorithms for UAV Navigation Without GPS,10.12716/1001.19.04.02,present
REC_1270,Navigation of UAV in GNSS denied area,10.13164/eeict.2024.96,present
REC_1285,Unmanned autonomous aerial navigation in GPS-denied environments,10.18687/LACCEI2020.1.1.349,present
REC_1298,Cooperative Localization for GNSS-Denied Subterranean Navigation: A UAV–UGV Team Approach,10.33012/navi.677,present
REC_1306,UAV Visual Localization in GNSS-Denied Environments,10.5194/isprs-archives-XLIX-B1-2026-55-2026,present
REC_1307,An architecture for robust UAV navigation in GPS-denied areas,10.1002/rob.21757,present
REC_1308,Multi-sensor Data Fusion for Autonomous Unmanned Aerial Vehicle Navigation in GPS Denied Environments,10.47839/ijc.23.4.3762,present
REC_1313,A smart hybrid vision aided inertial navigation system approach for UAVs in a GNSS denied environment,10.1002/navi.270,present
REC_1330,UAV VISUAL AUTOLOCALIZATON BASED on AUTOMATIC LANDMARK RECOGNITION,10.5194/isprs-annals-IV-2-W3-89-2017,present
REC_1358,An experimental analysis of outdoor UAV localisation through diverse estimators and crowd-sensed data fusion,10.1016/j.phycom.2024.102475,present
REC_1366,Cooperative Localisation of a GPS-Denied UAV in 3-Dimensional Space Using Direction of Arrival Measurements,10.1016/j.ifacol.2017.08.1226,present
REC_1378,Optical Flow Sensor/INS/Magnetometer Integrated Navigation System for MAV in GPS-Denied Environment,10.1155/2016/6105803,present
REC_1405,Angle Robustness Unmanned Aerial Vehicle Navigation in GNSS-Denied Scenarios,10.1609/aaai.v38i9.28906,present
REC_1417,Cellular Communication-Based Autonomous UAV Navigation with Obstacle Avoidance for Unknown Indoor Environments,10.22266/ijies2021.0430.31,present
REC_1451,Vision Model-Based Real-Time Localization of Unmanned Aerial Vehicle for Autonomous Structure Inspection under GPS-Denied Environment,10.1061/9780784482445.037,present
REC_1463,Decentralised Multi-UAV Cooperative Searching Multi-Target in Cluttered and GPS-Denied Environments,10.1109/AERO53065.2022.9843665,present
REC_1480,Pose estimation for an autonomous vehicle using monocular vision,10.1109/INDIANCC.2017.7846512,present
REC_1561,Characterization of mountain drainage patterns for GPS-denied UAS navigation augmentation,10.1007/s00138-015-0723-9,present
REC_1564,Ultra-wideband based cooperative relative localization algorithm and experiments for multiple unmanned aerial vehicles in GPS denied environments,10.1177/1756829317695564,present
REC_1573,Visual-based localization methods for unmanned aerial vehicles in landing operation on maritime vessel,10.21014/actaimeko.v13i4.1575,present
REC_1582,Overview of Mutual Localization Techniques Between Unmanned Aerial Vehicles in Swarm,10.12716/1001.19.01.37,present
REC_1612,Visual GPS-denied multi-agent localization & terrain classification,10.1109/AERO.2018.8396392,present
REC_1619,Robust Autonomous Flight in Constrained and Visually Degraded Shipboard Environments,10.1002/rob.21670,present
REC_1640,Automatic landing of a low-cost quadrotor using monocular vision and Kalman filter in GPS-denied environments,10.3906/elk-1809-204,present
REC_1642,UAV based target finding and tracking in GPS-denied and cluttered environments,10.1109/IROS.2016.7759360,present
REC_1667,Autonomous Mapping and Navigation Unit for Aerial Robots,10.1109/ICAR65334.2025.11338655,present
REC_1678,Position and Orientation from Asynchronous Lidar in GNSS Denied Environments,10.5194/isprs-annals-XI-1-2026-151-2026,present
REC_1688,Pose estimation based on laser range finder for a quadrotor unmanned aerial vehicle in GPS-denied environment,10.1109/access.2019.2909530,present
REC_1715,"Autonomous targeted flight of a rotary-wing micro aerial vehicle in indoor, GPS-denied environments",10.1109/access.2019.2909530,present
