id,done_flag,pdf_on_disk,in_master,status,title,doi
REC_0656,Y,Y,Y,OK_fully_integrated,Vision-Based UAV Localization by Aerial and Satellite Image Matching,10.1109/ACCESS.2026.3684630
REC_0701,Y,Y,Y,OK_fully_integrated,Vision-Based Autonomous Drone Navigation Using Deep Reinforcement Learning,10.1109/ESCI68015.2026.11493377
REC_0705,Y,Y,Y,OK_fully_integrated,Recursive Extended Finite-Memory Positioning Algorithm for Robust UAV Positioning in GNSS-Denied Environment,10.1109/JIOT.2025.3629868
REC_0713,Y,Y,Y,OK_fully_integrated,Autonomous UAV Pipeline Landing via Depth-LiDAR Fusion in GNSS-Denied Refineries,10.1109/LRA.2026.3662655
REC_0816,Y,Y,Y,OK_fully_integrated,Feature 3D Gaussian Splatting for UAV-to-Ship Pose Estimation in GNSS-Denied Environments,10.1109/ICUAS69441.2026.11598627
REC_0840,Y,Y,Y,OK_fully_integrated,GPS-Denied Drone Navigation via Cross-Domain Keypoint Matching,10.1109/ICIP61757.2026.11630202
REC_0857,Y,Y,Y,OK_fully_integrated,SwarmRaft: Leveraging Consensus for Robust Drone Swarm Coordination in GNSS-Degraded Environments,10.1109/JIOT.2025.3645453
REC_0870,Y,Y,Y,OK_fully_integrated,"Recent Trends, Techniques, and Applications of AI Based Autonomous Drones",10.1109/ICEI65890.2026.11447876
REC_0951,Y,Y,Y,OK_fully_integrated,PSS-LIO A Computationally Efficient LiDAR-Inertial Odometry Framework for UAV Building Inspection via Geometric Predictability and Structure Prior Learning,10.1109/TIM.2026.3709427
REC_1006,Y,Y,Y,OK_fully_integrated,A comprehensive survey on autonomous UAV navigation and control systems,10.1007/s40435-026-02068-3
REC_1007,Y,Y,Y,OK_fully_integrated,Robust geo-localization of UAVSAR in GPS-Denied environments using deep cross-modality matching with google Earth imagery,10.1007/s12518-026-00694-2
REC_1014,Y,Y,N,PDF_present_master_missing,Cooperative UAV Swarm Communication Networks for Rapid Disaster Assessment in GPS-Denied Environments,10.3390/drones10050355
REC_1018,Y,Y,Y,OK_fully_integrated,OPsCV: A Robust Framework for Aerial Navigation under Global Positioning System Denied Conditions,10.1590/jatm.v18.1413
REC_1019,Y,Y,N,PDF_present_master_missing,Multi-Sensor Fusion SLAM for Interceptor UAVs in GNSS-Denied Environments: A Review,10.1109/JSEN.2026.3720978
REC_1023,Y,Y,N,PDF_present_master_missing,A Hybrid Drone SINS/GNSS Information Fusion Method Based on Attention-Augmented TCN in GNSS-Denied Environments,10.3390/rs18091379
REC_1026,Y,Y,N,PDF_present_master_missing,Indoor UAV Localization via Multi-Anchor One-Shot Calibration and Factor Graph Fusion,10.3390/rs18091407
REC_1029,Y,Y,N,PDF_present_master_missing,A Localization Strategy for Low-cost UAVs Sewers Inspection,10.1109/SII64115.2026.11404663
REC_1032,Y,Y,N,PDF_present_master_missing,Synchronized Multi-Directional FMCW mmWave Radar–Inertial Odometry: Robust Positioning and Autonomous Navigation Experiments for UAVs in Low-Light Indoor Environments,10.3390/drones10020120
REC_1035,N,N,N,Truly_pending,An improved selective correction adaptive particle filter-based cooperative navigation algorithm for UAV swarms in GNSS-denied areas,10.1088/1361-6501/ae65bc
REC_1043,Y,Y,N,PDF_present_master_missing,Consistent-Innovation-Aided Distributed Cooperative Localization for Multi-UAV Navigation in GNSS-Denied Environments,10.3390/rs18142286
REC_1044,Y,Y,N,PDF_present_master_missing,Magnetometer-based enhanced visual-inertial odometry for reliable long-range navigation in GNSS-denied high-altitude environment,10.1016/j.ast.2026.112673
REC_1046,Y,Y,N,PDF_present_master_missing,A UAV scene matching method based on triplet relationship and sliding mode control for GPS-denied environments,10.1016/j.measurement.2026.120581
REC_1051,N,N,N,Truly_pending,Autonomous vision-based UAV localization and optimization-based path planning in GPS-denied environments: a review,10.1088/2631-8695/ae305b
REC_1069,Y,Y,N,PDF_present_master_missing,UAV–UGV Collaborative Localization in GNSS-Denied Large-Scale Environments: An Anchor-Free VIO–UWB Fusion with Adaptive Weighting and Outlier Suppression,10.3390/drones10030175
REC_1080,Y,Y,N,PDF_present_master_missing,Adaptive neural pose regression enabled by updatable graphics-based digital twin for robust UAV localization in GPS-denied civil infrastructure,10.1016/j.robot.2026.105570
REC_1083,Y,Y,N,PDF_present_master_missing,GNSS-Denied UAV Terrain Matching Navigation Based on the Autoencoder Network with Contrastive Learning,10.3390/drones10050339
REC_1084,Y,Y,N,PDF_present_master_missing,CLAK:CNN-LSTM-Attention and Kolmogorov-Arnold Networks for non-visual UAV localization in GNSS-denied environments,10.1186/s43020-026-00192-1
REC_1092,N,N,N,Truly_pending,Efficient SLAM Algorithm Based on Quaternions for Real-Time Navigation of Unmanned Aerial Vehicles,10.1002/ett.70386
REC_1096,Y,Y,N,PDF_present_master_missing,DTVIRM-Swarm: A Distributed and Tightly Integrated Visual-Inertial-UWB-Magnetic System for Anchor Free Swarm Cooperative Localization,10.3390/drones10010049
REC_1099,N,N,N,Truly_pending,Machine Learning-Based UAV Localization for Under-Structure Sensor Deployment in GPS-Denied Environments,10.1117/12.3089966
REC_1106,Y,Y,N,PDF_present_master_missing,Adaptive Particle Filter-Neural Network Fusion for Cooperative Localization of Multi-UAV Systems in GNSS-Denied Indoor Environments,10.3390/computers15030172
REC_1107,Y,Y,N,PDF_present_master_missing,Multi-UAV Cooperative Localization in Pseudolite-Augmented GNSS-Denied Regions: An Anomaly-Resilient Adaptive Kalman Filter with Group Covariance Compensation,10.3390/drones10060460
REC_1110,Y,Y,N,PDF_present_master_missing,Cross-Session 3D LiDAR and Camera Fusion for Robust Localization of Unmanned Aerial Vehicles in GPS-Denied Environments,10.1155/joro/9948104
REC_1114,Y,Y,N,PDF_present_master_missing,I-NAV: Inverse Navigation for questionnaire-based geolocation in GPS-denied environments,10.1016/j.array.2026.100978
REC_1115,Y,Y,N,PDF_present_master_missing,SWA-PF: Semantic-weighted adaptive particle filter for memory-efficient 4-DoF UAV localization in GNSS-denied environments,10.1016/j.patcog.2026.114522
REC_1116,Y,Y,N,PDF_present_master_missing,Development of a Visual SLAM-Based Autonomous UAV System for Greenhouse Plant Monitoring,10.3390/drones10030205
REC_1123,Y,Y,N,PDF_present_master_missing,A Novel Scene-Matching Positioning Approach for Low-Altitude UAVs Considering Elevation Differences in Satellite Images,10.1109/JIOT.2026.3664077
REC_1124,N,N,N,Truly_pending,Real-Time Elevation and Orientation-Aware Visual Localization for GNSS-Denied Drone Navigation,10.3390/drones10060445
REC_1131,N,N,N,Truly_pending,Enhancing UAV Autonomy and Path Optimization Through SBAS and Visual-Inertial Odometry; [Mejora de la autonomía de UAV y optimización de trayectorias mediante odometría visual–inercial integrada con SBAS],10.15446/ing.investig.119122
REC_1134,N,N,N,Truly_pending,A Decision-Making Framework for Autonomous Aerial Vehicles in Responding to GPS Loss,10.2514/6.2026-1992
REC_1142,Y,Y,N,PDF_present_master_missing,Dual Quaternion-Based Unscented Kalman Filter with Visual Inertial Odometry for navigation in GPS-denied environments,10.1016/j.measurement.2026.121964
REC_1143,N,N,N,Truly_pending,Multi-Robot Cooperative 3D Frontier Exploration Using Stereo Camera Based Mapping in GPS-Denied Environments,10.2514/6.2026-0859
REC_1149,N,N,N,Truly_pending,Simultaneous Localization and Mapping using Sensor Fusion for UAV Navigation in GPS-Denied Environments,10.2514/6.2026-0855
REC_1150,Y,Y,N,PDF_present_master_missing,NaviLoc: Trajectory-Level Visual Localization for GNSS-Denied UAV Navigation,10.3390/drones10020097
REC_1163,Y,Y,N,PDF_present_master_missing,A comparative study of TERCOM-EKF and ViSensorRF for UAV localization in GNSS-denied environments,10.1016/j.rineng.2025.108279
REC_1164,N,N,N,Truly_pending,Lightweight and accurate infrared rangefinder-fused LiDAR-inertial localization for UAV-based bridge inspection in GPS-denied environments,10.1016/j.measurement.2025.118983
REC_1165,N,N,N,Truly_pending,UAV Localization in GPS-Denied Environments: A Review,10.1109/TSMC.2026.3708505
REC_1167,Y,Y,N,PDF_present_master_missing,APF-Driven Lightweight UAV Swarm Trajectory Optimization in GNSS-Denied Air–Terrestrial Navigation,10.3390/electronics15061207
REC_1171,Y,Y,N,PDF_present_master_missing,"LiDAR-Based Multi-Modal UAV Navigation Dataset for Robust Benchmarking in Complex-Structured, GNSS-Denied Industrial Environments",10.3390/drones10080611
REC_1175,Y,Y,N,PDF_present_master_missing,Deep Learning for Autonomous UAV Navigation: Multi-Modal Visual-Inertial Pose Estimation in GPS-Denied Environments,10.5194/isprs-annals-X-4-W8-2025-389-2026
REC_1185,N,N,N,Truly_pending,UAV swarm distributed cooperative localization in GNSS-denied environments: an ICMC and ACPM Fusion approach,10.1016/j.adhoc.2026.104363
REC_1208,Y,Y,N,PDF_present_master_missing,Energy-Aware Adaptive Communication Topology with Edge-AI Navigation for UAV Swarms in GNSS-Denied Environments,10.3390/drones10040273
REC_1216,N,N,N,Truly_pending,A Two-Stage Residual Extended Kalman Filter using Extreme Gradient Boosting and Kolmogorov–Arnold Networks for terrain-aided Unmanned Aerial Vehicle Localization in Global Navigation Satellite System-denied environments,10.1016/j.engappai.2026.114430
REC_1223,Y,Y,N,PDF_present_master_missing,"uVGS-2: The Micro Video Guidance Sensor: A 6-DoF Robust Pose Estimator for Autonomous Proximity Maneuvers in Drones, Spacecraft and Mobile Robot Navigation",10.3390/drones10070535
REC_1235,Y,Y,N,PDF_present_master_missing,Autonomous Positioning System for UAV Scene Matching Under GNSS-Denied Environments,10.3233/ATDE260245
REC_1243,N,N,N,Truly_pending,Adaptive Formation Control of UAVs near Structures for Robust Localization and Efficient Task Execution,10.20965/jrm.2026.p0907
REC_1248,N,N,N,Truly_pending,Gradient perception approach: Mapless INS/geomagnetic combined navigation in GPS-denied environments,10.1016/j.measurement.2026.122761
REC_1252,Y,Y,N,PDF_present_master_missing,Artificial Intelligence-Based Decision Support System for UAV Control in a Simulated Environment,10.3390/s26082436
REC_1253,Y,Y,N,PDF_present_master_missing,Real-Time Autonomous UAV Navigation with SLAM-Based Mapping and Direction-Oriented Exploration in Forest-like GNSS-Denied Scenarios,10.3390/drones10060399
REC_1274,Y,Y,N,PDF_present_master_missing,Integrated Air–Ground Robotic System for Autonomous Post-Blast Operations in GNSS-Denied Tunnels,10.3390/rs18081133
REC_1277,Y,Y,N,PDF_present_master_missing,A Physics-Guided Aeromagnetic Interference Compensation Method for Geomagnetic Sensing in GNSS-Denied UAV Swarm Systems,10.3390/drones10040252
REC_1281,N,N,N,Truly_pending,Learning to Navigate and Track: A Decentralized RL Framework for UAV Operations in GNSS-Denied Terrain,10.1007/978-3-032-11402-0_23
REC_1295,Y,Y,N,PDF_present_master_missing,Digital Twin Approach for Drift-Free UAV Localization in GPS-Denied Environments,10.1061/JCCEE5.CPENG-7010
REC_1302,Y,Y,N,PDF_present_master_missing,Federated Energy-Aware Deep Reinforcement Learning for GNSS-Independent Swarm UAV Autonomy †,10.3390/electronics15143064
REC_1304,Y,Y,N,PDF_present_master_missing,Formation-Constrained Cooperative Localization for UAV Swarms in GNSS-Denied Environments,10.3390/s26061984
REC_1309,Y,Y,N,PDF_present_master_missing,Vision-Based Unmanned Aerial Vehicle Swarm Cooperation and Online Point-Cloud Registration for Global Localization in Global Navigation Satellite System-Intermittent Environments,10.3390/drones10010065
REC_1341,N,N,N,Truly_pending,Consensus and Quantum Particle Swarm Optimization-Based Cooperative Navigation Method,10.1007/978-981-95-3025-0_38
REC_1365,N,N,N,Truly_pending,Coordination and Planning Algorithms for a UAS Fleet in GPS-Denied Environments,10.2514/6.2026-1091
REC_1393,Y,Y,N,PDF_present_master_missing,ST-DCL: A Spatio-Temporally Decoupled Cooperative Localization Method for Dynamic Drone Swarms,10.3390/drones10010069
REC_1399,Y,Y,N,PDF_present_master_missing,Adaptive Texture-Aware Pixel Selection for Robust Direct Visual Odometry in UAV Navigation,10.1109/ICUAS69441.2026.11598726
REC_1412,N,N,N,Truly_pending,Collision Avoidance for a Hexacopter Using Deep Learning and IMU in a GPS-Denied Environment,10.1007/s12555-026-00052-3
REC_1435,Y,Y,N,PDF_present_master_missing,UAV-Assisted Collaborative Positioning in GNSS-Denied Environments,10.5194/isprs-archives-XLIX-B1-2026-41-2026
REC_1439,Y,Y,N,PDF_present_master_missing,3D map and mmWave radar-based self-localization for UAVs in GNSS-denied environments,10.1016/j.vehcom.2025.100986
REC_1452,N,N,N,Truly_pending,Monocular Vision-Based Navigation for UAVs in Dynamic Environments,10.2514/6.2026-1960
REC_1453,Y,Y,N,PDF_present_master_missing,A Graph-Optimization-Based tightly coupled Multi-Source positioning method for UAVs in GNSS-Denied environments,10.1016/j.measurement.2026.121787
REC_1454,Y,Y,N,PDF_present_master_missing,Adaptive UAV Visual Localisation Based on Improved Gradient-Damping Newton Method,10.3390/electronics15101974
REC_1474,Y,Y,N,PDF_present_master_missing,Robust UAV-Satellite Imagery Alignment via Cross-Domain Descriptor Learning and Homography Optimization,10.1109/TGRS.2026.3689254
REC_1512,Y,Y,N,PDF_present_master_missing,Hierarchical Multi-Agent Navigation Through the 72-h Thermal Drift Cliff,10.3390/drones10080561
REC_0041,Y,Y,Y,OK_fully_integrated,UAV Navigation With Monocular Visual Inertial Odometry Under GNSS-Denied Environment,10.1109/TGRS.2023.3323519
REC_0065,Y,Y,Y,OK_fully_integrated,Autonomous Drones in GNSS-Denied Environments: Results from the Leonardo Drone Contest,10.1109/MetroAeroSpace57412.2023.10190003
REC_0066,Y,Y,Y,OK_fully_integrated,Real Time Vision Based Obstacle Avoidance for UAV using YOLO in GPS Denied Environment,10.1109/OCIT59427.2023.10431039
REC_0123,Y,Y,Y,OK_fully_integrated,Visual-based landing system of a multirotor UAV in GNSS denied environment,10.1109/MetroAeroSpace57412.2023.10190013
REC_0161,Y,Y,Y,OK_fully_integrated,Sensor Fusion for Autonomous Indoor UAV Navigation in Confined Spaces,10.1109/ICST59744.2023.10460820
REC_0215,Y,Y,Y,OK_fully_integrated,GPS-Denied UAV-UGV Relative Positioning System via Vision-UWB Fusion,10.1109/ICIEA58696.2023.10241577
REC_0264,Y,Y,Y,OK_fully_integrated,Autonomous UAV Navigation for Target Detection in Visually Degraded and GPS Denied Environments,10.1109/AERO55745.2023.10115544
REC_0281,Y,Y,Y,OK_fully_integrated,UAV Tracking with Lidar as a Camera Sensor in GNSS-Denied Environments,10.1109/ICL-GNSS57829.2023.10148919
REC_0305,Y,Y,Y,OK_fully_integrated,A method based on CNN-BiLSTM for UAV navigation error compensation in GNSS denied environment,10.1109/ICCC59590.2023.10507546
REC_0347,Y,Y,N,PDF_present_master_missing,A Novel Three-Stage Robust Adaptive Filtering Algorithm for Visual-Inertial Odometry in GNSS-Denied Environments,10.1109/JSEN.2023.3289313
REC_0503,Y,Y,Y,OK_fully_integrated,Decimeter-Accuracy Positioning for Drones Using Two-Stage Trilateration in a GPS-Denied Environment,10.1109/JIOT.2022.3231704
REC_0622,Y,Y,Y,OK_fully_integrated,Micro-Drone Ego-Velocity and Height Estimation in GPS-Denied Environments Using an FMCW MIMO Radar,10.1109/JSEN.2022.3229421
REC_0639,Y,Y,Y,OK_fully_integrated,A Vision-Based Approach to Autonomous Landing of an eVTOL Aircraft in GPS-Denied Environments,10.1109/DASC58513.2023.10311329
REC_0687,Y,Y,Y,OK_fully_integrated,On the scalability of experimentally determined aerodynamic model for model-based navigation on a delta-wing UAV,10.1109/MetroAeroSpace57412.2023.10189996
REC_0706,Y,Y,Y,OK_fully_integrated,Towards Robust UAV Tracking in GNSS-Denied Environments: A Multi-LiDAR Multi-UAV Dataset,10.1109/ROBIO58561.2023.10354788
REC_0824,Y,Y,Y,OK_fully_integrated,A Homography-Based Visual Servo Control Approach for an Underactuated Unmanned Aerial Vehicle in GPS-Denied Environments,10.1109/TIV.2022.3163315
REC_0866,Y,Y,Y,OK_fully_integrated,Autonomous Aerial Robots for Search and Rescue Missions,10.1109/UPCON59197.2023.10434325
REC_0961,Y,Y,Y,OK_fully_integrated,Multimodal Image Registration for GPS-denied UAV Navigation Based on Disentangled Representations,10.1109/ICRA48891.2023.10161567
REC_0981,Y,Y,Y,OK_fully_integrated,Multi-sensor Data Analysis in Terms of Autonomous Drone Flight without GPS,10.1109/PIERS59004.2023.10221335
REC_0995,Y,Y,N,PDF_present_master_missing,Experimentation of Monocular Visual-Aided Inertial Navigation on Fixed-Wing Unmanned Aerial Vehicle †,10.3390/ENC2023-15476
REC_0997,N,N,N,Truly_pending,Autonomous Flight for Multi-UAV in GPS-Denied Environment,10.1007/978-981-19-3998-3_85
REC_1017,Y,Y,N,PDF_present_master_missing,A Real-Time Simulator for Navigation in GNSS-Denied Environments of UAV Swarms,10.3390/app132011278
REC_1067,Y,Y,N,PDF_present_master_missing,GPS-denied navigation using location estimation and texel image correction,10.1117/12.2664119
REC_1085,Y,Y,N,PDF_present_master_missing,GNSS-Denied Semi-Direct Visual Navigation for Autonomous UAVs Aided by PI-Inspired Inertial Priors,10.3390/aerospace10030220
REC_1118,Y,Y,N,PDF_present_master_missing,GNSS-denied UAV indoor navigation with UWB incorporated visual inertial odometry,10.1016/j.measurement.2022.112256
REC_1135,Y,Y,N,PDF_present_master_missing,UAV Localization in Low-Altitude GNSS-Denied Environments Based on POI and Store Signage Text Matching in UAV Images,10.3390/drones7070451
REC_1140,Y,Y,N,PDF_present_master_missing,UAV navigation in large-scale GPS-denied bridge environments using fiducial marker-corrected stereo visual-inertial localisation,10.1016/j.autcon.2023.105139
REC_1147,N,N,N,Truly_pending,LiDAR-Based High-Precision Mapping and GNSS-Denied Localiztion for UAV,10.1007/978-981-99-0479-2_275
REC_1155,N,N,N,Truly_pending,Relative Navigation of UAV Swarm in a GPS Denied Environment1,10.1117/12.2664917
REC_1188,N,N,N,Truly_pending,GPS-Denied State Estimation for Blue/NDAA Unmanned Multi-Rotor Vehicles,10.2514/6.2023-2666
REC_1189,Y,Y,N,PDF_present_master_missing,"Leonardo Drone Contest Autonomous Drone Competition: Overview, Results, and Lessons Learned from Politecnico di Milano Team",10.1007/s10846-023-01855-w
REC_1191,Y,Y,N,PDF_present_master_missing,Computationally Light Spectrally Normalized Memory Neuron Network based Estimator for GPS-denied operation of Micro-UAV,10.1109/CoDIT58514.2023.10284327
REC_1194,Y,Y,N,PDF_present_master_missing,A Unmanned Aerial Vehicle (UAV)/Unmanned Ground Vehicle (UGV) Dynamic Autonomous Docking Scheme in GPS-Denied Environments,10.3390/drones7100613
REC_1196,Y,Y,N,PDF_present_master_missing,Precision Landing of a Quadcopter Drone by Smartphone Video Guidance Sensor in a GPS-Denied Environment,10.3390/s23041934
REC_1222,N,N,N,Truly_pending,Autonomous UAV navigation in GPS denied environments using Lidar Point Clouds,10.2514/6.2023-3626
REC_1232,Y,Y,N,PDF_present_master_missing,Range–Visual–Inertial Odometry with Coarse-to-Fine Image Registration Fusion for UAV Localization,10.3390/drones7080540
REC_1250,Y,Y,N,PDF_present_master_missing,Long-Distance GNSS-Denied Visual Inertial Navigation for Autonomous Fixed-Wing Unmanned Air Vehicles: SO(3) Manifold Filter Based on Virtual Vision Sensor,10.3390/aerospace10080708
REC_1251,Y,Y,N,PDF_present_master_missing,Reinforcement learning based UAV formation control in GPS-denied environment,10.1016/j.cja.2023.07.006
REC_1272,N,N,N,Truly_pending,An Efficient Framework for Autonomous UAV Missions in Partially-Unknown GNSS-Denied Environments,10.3390/drones7070471
REC_1275,N,N,N,Truly_pending,A DNN-Based Optical Aided Autonomous Navigation System for UAV Under GNSS-denied Environment,10.1007/978-981-99-0479-2_326
REC_1282,Y,Y,N,PDF_present_master_missing,A Lidar-Inertial Navigation System for UAVs in GNSS-Denied Environment with Spatial Grid Structures,10.3390/app13010414
REC_1316,Y,Y,N,PDF_present_master_missing,Automated Method for SLAM Evaluation in GNSS-Denied Areas,10.3390/rs15215141
REC_1332,N,N,N,Truly_pending,A Relative Infrastructure-less Localization Algorithm for Decentralized and Autonomous Swarm Formation,10.1109/IROS55552.2023.10342168
REC_1402,Y,Y,N,PDF_present_master_missing,Oxpecker: A Tethered UAV for Inspection of Stone-Mine Pillars,10.3390/drones7020073
REC_1431,Y,Y,N,PDF_present_master_missing,Advancing Autonomous UAV Target Localization in GPS-Denied Environments,10.1109/CoDIT58514.2023.10284425
REC_1432,Y,Y,N,PDF_present_master_missing,GNSS/INS/VO fusion using Gated Recurrent Unit in GNSS denied environments,10.2514/6.2023-2226
REC_1443,Y,Y,N,PDF_present_master_missing,Study on angle-only relative navigation for unmanned aerial vehicle formation in GPS-denied environment,10.1177/09544100221149235
REC_1447,N,N,N,Truly_pending,AN ACOUSTIC BASED LOCAL POSITIONING SYSTEM FOR DYNAMIC UAV IN GPS-DENIED ENVIRONMENTS,10.13031/aea.15397
REC_1455,Y,Y,N,PDF_present_master_missing,Cross-Modal Images Matching Based Enhancement to MEMS INS for UAV Navigation in GNSS Denied Environments,10.3390/app13148238
REC_1459,Y,Y,N,PDF_present_master_missing,Automatic UAV Inspection of Tunnel Infrastructure in GPS-Denied Underground Environment,10.1007/978-3-031-07258-1_53
REC_1502,Y,Y,N,PDF_present_master_missing,A UAV-based explore-then-exploit system for autonomous indoor facility inspection and scene reconstruction,10.1016/j.autcon.2023.104753
REC_1548,N,N,N,Truly_pending,Tethered Multicopter Guidance in GPS-Denied Environments Through Reinforcement Learning,10.2514/6.2023-0507
REC_1602,N,N,N,Truly_pending,Cooperative localisation of UAV swarm based on adaptive SA-PSO algorithm,10.1017/aer.2022.54
REC_1620,N,N,N,Truly_pending,Research and Design of Precision-Landing Drone in an Underground GPS-Denied Environment,10.2514/6.2023-3625
REC_1660,Y,Y,N,PDF_present_master_missing,A Novel Ranging and IMU-Based Method for Relative Positioning of Two-MAV Formation in GNSS-Denied Environments,10.3390/s23094366
REC_0022,Y,Y,Y,OK_fully_integrated,Distance-based Autonomous Docking for UAV-MP in GPS-denied Environment,10.1109/CCDC55256.2022.10034409
REC_0028,Y,Y,Y,OK_fully_integrated,UAV Waypoint Opportunistic Navigation in GNSS-Denied Environments,10.1109/TAES.2021.3103140
REC_0043,Y,Y,Y,OK_fully_integrated,Robust Sensor Fusion for Autonomous UAV Navigation in GPS denied Forest Environment,10.1109/ROMA55875.2022.9915682
REC_0095,Y,Y,Y,OK_fully_integrated,Cooperative Relative Localization for UAV Swarm in GNSS-Denied Environment: A Coalition Formation Game Approach,10.1109/JIOT.2021.3130000
REC_0155,Y,Y,Y,OK_fully_integrated,Cooperative Navigation and Guidance of a Micro-Scale Aerial Vehicle by an Accompanying UAV using 3D LiDAR Relative Localization,10.1109/ICUAS54217.2022.9836116
REC_0202,Y,Y,Y,OK_fully_integrated,Design of A Positioning System for UAV in GPS-denied Environment,10.1109/ISCIT55906.2022.9931225
REC_0239,Y,Y,Y,OK_fully_integrated,Autonomous Flight Control Design Based on Multi-Sensor Fusion for a Low-Cost Quadrotor in GPS-Denied Environments,10.1109/ACIRS55390.2022.9845557
REC_0246,Y,Y,Y,OK_fully_integrated,UAV Platforms for Autonomous Navigation in GPS-Denied Environments for Search and Rescue Missions,10.1109/ICUAS54217.2022.9836181
REC_0426,Y,Y,Y,OK_fully_integrated,Leonardo Drone Contest 2021: Politecnico di Milano team architecture,10.1109/ICUAS54217.2022.9836103
REC_0469,Y,Y,Y,OK_fully_integrated,Design and Flight Test of an Aerial Manipulator for Applications in GPS-Denied Environments,10.1109/ICUAS54217.2022.9836060
REC_0475,Y,Y,Y,OK_fully_integrated,P2P-DroneLoc: Peer-to-Peer Localization for GPS-Denied Drones using Camera and WiFi Fine Time Measurement,10.1109/ANTS56424.2022.10227756
REC_0489,Y,Y,Y,OK_fully_integrated,UAV Vision Aided INS/Odometer Integration for Land Vehicle Autonomous Navigation,10.1109/TVT.2022.3151729
REC_0572,Y,Y,Y,OK_fully_integrated,GNSS-Independent Navigation of UAV through Utilization of Sensor Fusion and Intelligence System,10.1109/ICT4DA56482.2022.9971437
