id,pdf_exists,title,pages,tokens,tokens_found,ratio,doi_in_text,front_text_chars,verdict,missing_tokens
REC_0118,True,A Vision-Aided Navigation System by Ground-Aerial Vehicle Cooperation for UAV in GNSS-Denied Environments,6,6,6,1.0,False,15471,PASS,
REC_0123,True,Visual-based landing system of a multirotor UAV in GNSS denied environment,6,6,6,1.0,True,14351,PASS,
REC_0131,True,Digital Twin for Drone Indoor Autonomous Navigation,4,6,6,1.0,True,15530,PASS,
REC_0138,True,Autonomous Exploration and Mapping System Using Heterogeneous UAVs and UGVs in GPS-Denied Environments,12,8,8,1.0,True,18915,PASS,
REC_0149,True,Vision-Based Global Localization for UAVs Using Deep Convolutional Neural Networks,6,8,8,1.0,True,13433,PASS,
REC_0155,True,Cooperative Navigation and Guidance of a Micro-Scale Aerial Vehicle by an Accompanying UAV using 3D LiDAR Relative Localization,10,9,9,1.0,False,17198,PASS,
REC_0161,True,Sensor Fusion for Autonomous Indoor UAV Navigation in Confined Spaces,6,7,7,1.0,True,15550,PASS,
REC_0165,True,UAV Cross-View Image Retrieval and Visual Geo-Localization in GNSS-Denied Environments,2,7,7,1.0,True,9360,PASS,
REC_0179,True,Wireless Local Positioning System for Controlled UAV Landing in GNSS-Denied Environment,5,7,7,1.0,False,14452,PASS,
REC_0195,True,An Autonomous Continuous Positioning Method for Low-Altitude UAVs Based on Image Recognition in GNSS-Denied Environments,9,10,10,1.0,True,17750,PASS,
REC_0196,True,Navigation of Simultaneous Localization and Mapping by Fusing RGB-D Camera and IMU on UAV,6,7,7,1.0,False,15157,PASS,
REC_0202,True,Design of A Positioning System for UAV in GPS-denied Environment,4,4,4,1.0,True,13403,PASS,
REC_0208,True,UAV Pose Estimation in GNSS-Denied Environment Assisted by Satellite Imagery Deep Learning Features,10,10,10,1.0,True,15280,PASS,
REC_0211,True,SIA-KalmanNet: A Structurally Integrated Attention Kalman Filter for Multi-UAV Localization in Partially GNSS-Denied Environments,12,11,11,1.0,False,17309,PASS,
REC_0213,True,A Multi-UAV System for Exploration and Target Finding in Cluttered and GPS-Denied Environments,9,7,7,1.0,True,17363,PASS,
REC_0215,True,GPS-Denied UAV-UGV Relative Positioning System via Vision-UWB Fusion,6,6,6,1.0,True,14471,PASS,
REC_0218,True,A Unified Error-State Kalman Filtering Framework for Multi-Sensor Navigation of Fixed-Wing UAVS in GNSS-Denied Scenarios,10,11,11,1.0,True,17185,PASS,
REC_0239,True,Autonomous Flight Control Design Based on Multi-Sensor Fusion for a Low-Cost Quadrotor in GPS-Denied Environments,5,10,10,1.0,True,13739,PASS,
REC_0246,True,UAV Platforms for Autonomous Navigation in GPS-Denied Environments for Search and Rescue Missions,8,8,8,1.0,True,14477,PASS,
REC_0255,True,A stereo and rotating laser framework for UAV navigation in GPS denied environment,6,7,7,1.0,False,11285,PASS,
REC_0264,True,Autonomous UAV Navigation for Target Detection in Visually Degraded and GPS Denied Environments,10,8,8,1.0,True,16908,PASS,
REC_0271,True,Hybrid IMU-Aided Approach for Optimized Visual Odometry,5,5,5,1.0,False,18137,PASS,
REC_0274,True,Navigation and control of unmanned aerial vehicles in GPS-denied environments,7,6,5,0.833,False,13554,PASS,gps-denied
REC_0278,True,Navigation Methods for UAVs in GNSS-Denied Environments Using Artificial Intelligence,6,7,7,1.0,True,18014,PASS,
REC_0281,True,UAV Tracking with Lidar as a Camera Sensor in GNSS-Denied Environments,7,6,6,1.0,True,15162,PASS,
REC_0289,True,Development of a Simulated UAV Platform for Sensor-Fusion-Based SLAM,5,5,5,1.0,True,12327,PASS,
REC_0294,True,A Novel Approach to Computationally Lighter GNSS-Denied UAV Navigation Using Monocular Camera,8,6,6,1.0,True,15410,PASS,
REC_0296,True,Optical flow sensor integrated navigation system for quadrotor in GPS-denied environment,5,8,8,1.0,False,11923,PASS,
REC_0305,True,A method based on CNN-BiLSTM for UAV navigation error compensation in GNSS denied environment,6,8,8,1.0,True,14671,PASS,
REC_0318,True,Cooperative Navigation Method Based on Adaptive CKF for UAVs In GPS Denied Areas,6,7,7,1.0,False,14882,PASS,
REC_0332,True,Thermal-Inertial Localization for Autonomous Navigation of Aerial Robots through Obscurants,6,8,7,0.875,False,16532,PASS,thermal-inertial
REC_0343,True,Vision-Aided Multi-UAV Autonomous Flocking in GPS-Denied Environment,11,6,6,1.0,True,17307,PASS,
REC_0345,True,Distance function based 6DOF localization for unmanned aerial vehicles in GPS denied environments,7,7,7,1.0,False,11259,PASS,
REC_0346,True,Autonomous Flight in Unknown GNSS-denied Environments for Disaster Examination,8,7,7,1.0,True,14291,PASS,
REC_0363,True,Enhanced UAV navigation in GNSS denied environment using repeated dynamics pattern recognition,8,9,9,1.0,False,16438,PASS,
REC_0369,True,Autonomous Flight Control of a Nano Quadrotor Helicopter in a GPS-Denied Environment Using On-Board Vision,12,10,10,1.0,True,15534,PASS,
REC_0388,True,Multi-UAV Cooperative Navigation Based on Multisource Information Fusion: A Review,31,7,7,1.0,True,16568,PASS,
REC_0391,True,Multi-UAV Collaboration and IMU Fusion Localization Method in Partial GNSS-Denied Scenarios,14,8,8,1.0,True,16903,PASS,
REC_0409,True,Dust-Resilient Autonomous Navigation and Mapping for UAVs in GNSS-Denied Underground Tunnels,6,8,8,1.0,True,15312,PASS,
REC_0426,True,Leonardo Drone Contest 2021: Politecnico di Milano team architecture,6,7,7,1.0,True,14878,PASS,
REC_0438,True,Vision-based object path following on a quadcopter for GPS-denied environments,6,7,7,1.0,False,14631,PASS,
REC_0444,True,Autonomous Aerial Swarming in GNSS-denied Environments with High Obstacle Density,7,8,8,1.0,True,16525,PASS,
REC_0455,True,Airborne-Relay-based Algorithm for Locating Crashed UAVs in GPS-Denied Environments,6,7,7,1.0,False,16443,PASS,
REC_0459,True,Safe Tightly-Constrained UAV Swarming in GNSS-denied Environments,9,5,5,1.0,True,13060,PASS,
REC_0464,True,Relative visual-inertial odometry for fixed-wing aircraft in GPS-denied environments,7,7,7,1.0,False,15062,PASS,
REC_0469,True,Design and Flight Test of an Aerial Manipulator for Applications in GPS-Denied Environments,11,8,8,1.0,True,11444,PASS,
REC_0475,True,P2P-DroneLoc: Peer-to-Peer Localization for GPS-Denied Drones using Camera and WiFi Fine Time Measurement,6,10,10,1.0,True,17298,PASS,
REC_0481,True,An Onboard Transformer-Based Physics-Informed System for UAV Trajectory Prediction and State Classification in GNSS-Denied Environments,8,9,9,1.0,True,18157,PASS,
REC_0485,True,Multi-Sensor 6-DoF Localization For Aerial Robots In Complex GNSS-Denied Environments,7,7,7,1.0,False,17213,PASS,
REC_0489,True,UAV Vision Aided INS/Odometer Integration for Land Vehicle Autonomous Navigation,16,7,7,1.0,True,16790,PASS,
REC_0502,True,LD3DGS-SLAM: Long-Distance Monocular SLAM With 3-D Gaussian Splatting and GNSS-Aided Localization for UAVs,21,9,9,1.0,True,19405,PASS,
REC_0503,True,Decimeter-Accuracy Positioning for Drones Using Two-Stage Trilateration in a GPS-Denied Environment,8,7,7,1.0,True,15930,PASS,
REC_0534,True,Integrated UWB-Vision Approach for Autonomous Docking of UAVs in GPS-denied Environments,7,7,7,1.0,False,14576,PASS,
REC_0537,True,Indoor Navigation and Attitude Estimation for Uas Using Inertial Sensors and Extended Kalman Filtering,6,9,9,1.0,True,16583,PASS,
REC_0544,True,Season-Invariant GNSS-Denied Visual Localization for UAVs,8,5,5,1.0,True,16744,PASS,
REC_0572,True,GNSS-Independent Navigation of UAV through Utilization of Sensor Fusion and Intelligence System,6,7,7,1.0,True,15879,PASS,
REC_0594,True,Google map aided visual navigation for UAVs in GPS-denied environment,6,7,7,1.0,False,13266,PASS,
REC_0598,True,Compact Passive Millimeter Wave Imager for Degraded Visual and GPS-Denied Navigation,4,9,9,1.0,False,13735,PASS,
REC_0617,True,Visual-Inertial Fusion for Indoor Autonomous Navigation of a Quadrotor Using ORB-SLAM,6,7,7,1.0,True,14641,PASS,
REC_0620,True,Terrain Aided Planetary UAV Localization Based on Geo-referencing,18,5,5,1.0,True,15805,PASS,
REC_0622,True,Micro-Drone Ego-Velocity and Height Estimation in GPS-Denied Environments Using an FMCW MIMO Radar,9,9,9,1.0,True,16457,PASS,
REC_0631,True,Invited Speaker 1: Navigation without GPS for Unmanned Aerial Vehicles,1,5,5,1.0,False,2129,PASS,
REC_0639,True,A Vision-Based Approach to Autonomous Landing of an eVTOL Aircraft in GPS-Denied Environments,6,7,7,1.0,True,15273,PASS,
REC_0644,True,Autonomous Localization and Navigation for Drones Over Rivers,19,5,5,1.0,True,13111,PASS,
REC_0647,True,Radiation Source Localization in GPS-Denied Environments Using Aerial Robots,8,7,6,0.857,False,17330,PASS,gps-denied
REC_0652,True,Reinforcement Learning-Based Autonomous UAV Navigation in Indoor Environments Towards Human Detection,6,8,8,1.0,True,15933,PASS,
REC_0656,True,Vision-Based UAV Localization by Aerial and Satellite Image Matching,10,6,6,1.0,True,14566,PASS,
REC_0687,True,On the scalability of experimentally determined aerodynamic model for model-based navigation on a delta-wing UAV,6,8,8,1.0,True,13962,PASS,
REC_0688,True,Single Vehicle Localization and Routing in GPS-Denied Environments Using Range-Only Measurements,14,7,7,1.0,True,13883,PASS,
REC_0701,True,Vision-Based Autonomous Drone Navigation Using Deep Reinforcement Learning,6,7,7,1.0,True,17559,PASS,
REC_0705,True,Recursive Extended Finite-Memory Positioning Algorithm for Robust UAV Positioning in GNSS-Denied Environment,13,9,9,1.0,True,16832,PASS,
REC_0706,True,Towards Robust UAV Tracking in GNSS-Denied Environments: A Multi-LiDAR Multi-UAV Dataset,7,7,7,1.0,True,15905,PASS,
REC_0713,True,Autonomous UAV Pipeline Landing via Depth-LiDAR Fusion in GNSS-Denied Refineries,8,7,7,1.0,True,15427,PASS,
REC_0716,True,Cooperative Search Area optimization using Multiple Unmanned Aerial Vehicles in a GPS-denied Environment,8,9,9,1.0,False,13231,PASS,
REC_0719,True,Autonomous landing of small unmanned aerial rotorcraft based on monocular vision in GPS-denied area,6,10,10,1.0,False,14907,PASS,
REC_0752,True,Cooperative localisation of UAVs in a GPS-denied environment using bearing measurements,7,7,7,1.0,False,17111,PASS,
REC_0814,True,Monocular Vision Aided Autonomous UAV Navigation in Indoor Corridor Environments,13,8,8,1.0,True,16205,PASS,
REC_0816,True,Feature 3D Gaussian Splatting for UAV-to-Ship Pose Estimation in GNSS-Denied Environments,8,8,8,1.0,True,14484,PASS,
REC_0824,True,A Homography-Based Visual Servo Control Approach for an Underactuated Unmanned Aerial Vehicle in GPS-Denied Environments,11,9,9,1.0,True,16563,PASS,
REC_0840,True,GPS-Denied Drone Navigation via Cross-Domain Keypoint Matching,6,6,6,1.0,True,14501,PASS,
REC_0857,True,SwarmRaft: Leveraging Consensus for Robust Drone Swarm Coordination in GNSS-Degraded Environments,9,9,9,1.0,True,18451,PASS,
REC_0859,True,A Multimode Visual-Inertial Navigation Method for Fixed-wing Aircraft Approach and Landing in GPS-denied and Low Visibility Environments,10,10,10,1.0,False,14344,PASS,
REC_0866,True,Autonomous Aerial Robots for Search and Rescue Missions,6,6,6,1.0,True,17047,PASS,
REC_0870,True,"Recent Trends, Techniques, and Applications of AI Based Autonomous Drones",6,6,6,1.0,True,17493,PASS,
REC_0932,True,Development of a Plug-and-Play Infrared Landing System for Multirotor Unmanned Aerial Vehicles,5,7,7,1.0,True,13186,PASS,
REC_0951,True,PSS-LIO A Computationally Efficient LiDAR-Inertial Odometry Framework for UAV Building Inspection via Geometric Predictability and Structure Prior Learning,12,13,13,1.0,True,15683,PASS,
REC_0960,True,Cooperative Visual Inertial Odometry for Heterogeneous Swarm of Drones Navigating in Noisy Environments,8,10,10,1.0,True,16760,PASS,
REC_0961,True,Multimodal Image Registration for GPS-denied UAV Navigation Based on Disentangled Representations,7,7,7,1.0,True,15618,PASS,
REC_0973,True,Landmark Placement for Localization in a GPS-denied Environment,7,5,5,1.0,False,13642,PASS,
REC_0981,True,Multi-sensor Data Analysis in Terms of Autonomous Drone Flight without GPS,7,7,7,1.0,True,12310,PASS,
REC_0986,True,Field Test Results of GNSS-denied Inertial Navigation aided by Phased-array Radio Systems for UAVs,9,10,10,1.0,False,13365,PASS,
REC_0993,True,"Fast, autonomous flight in GPS-denied and cluttered environments",30,6,6,1.0,False,11769,PASS,
REC_0994,True,Automated localization of UAVs in GPS-denied indoor construction environments using fiducial markers,7,9,9,1.0,False,13911,PASS,
REC_1001,True,Perception and navigation for an autonomous quadrotor in GPS-denied environments,39,6,6,1.0,False,8188,PASS,
REC_1006,True,A comprehensive survey on autonomous UAV navigation and control systems,18,5,5,1.0,True,11785,PASS,
REC_1007,True,Robust geo-localization of UAVSAR in GPS-Denied environments using deep cross-modality matching with google Earth imagery,21,11,11,1.0,True,15446,PASS,
REC_1018,True,OPsCV: A Robust Framework for Aerial Navigation under Global Positioning System Denied Conditions,24,9,9,1.0,True,13210,PASS,
REC_1025,True,A Survey on Radio Frequency based Precise Localisation Technology for UAV in GPS-denied Environment,44,8,8,1.0,True,8900,PASS,
REC_1028,True,Integrated navigation for autonomous drone in GPS and GPS-denied environments,7,6,6,1.0,True,13570,PASS,
REC_1034,True,Uavs enhanced navigation in outdoor gnss denied environment using UWB and monocular camera systems,8,9,9,1.0,True,16772,PASS,
REC_1049,True,"UAV tracking of mobile target in occluded, cluttered and GPS-denied environments",8,7,7,1.0,True,11800,PASS,
REC_1103,True,Integrated navigation of aerial robot for GPS and GPS-denied environment,10,6,6,1.0,True,7389,PASS,
REC_1105,True,3D SCENE RECONSTRUCTION AND PATH PLANNING METHOD FOR UAV IN GNSS-DENIED ENVIRONMENT,7,7,7,1.0,True,15347,PASS,
REC_1132,True,Minimalistic approach for monocular SLAM system applied to micro aerial vehicles in GPS-denied environments,13,8,8,1.0,True,15222,PASS,
REC_1137,True,"Integrated guidance, navigation, and control system for a UAV in a GPS denied environment",8,6,6,1.0,True,10953,PASS,
REC_1146,True,Micro-radar and UWB aided UAV navigation in GNSS denied environment,8,6,6,1.0,True,18802,PASS,
REC_1148,True,UAV-Based Structural Health Monitoring Using a Two-Stage CNN Model with Lighthouse Localization in GNSS-Denied Environments,13,10,10,1.0,True,16383,PASS,
REC_1159,True,GPS-Denied Navigation Aided by Synthetic Aperture Radar Using the Range-Doppler Algorithm,29,8,8,1.0,True,10375,PASS,
REC_1192,True,Indoor UAV Localization Using a Tether,6,3,3,1.0,False,13621,PASS,
REC_1207,True,GPS-denied indoor and outdoor monocular vision aided navigation and control of unmanned aircraft,45,10,10,1.0,False,7852,PASS,
REC_1212,True,Autonomous drone hunter operating by deep learning and all-onboard computations in GPS-denied environments,18,10,10,1.0,True,11803,PASS,
REC_1217,True,Vision based UAS navigation for RFI localization,11,3,3,1.0,False,8123,PASS,
REC_1245,True,Fusion of Optical Flow and Dead Reckoning Algorithms for UAV Navigation Without GPS,6,7,7,1.0,True,12949,PASS,
REC_1270,True,Navigation of UAV in GNSS denied area,4,4,4,1.0,True,12669,PASS,
REC_1285,True,Unmanned autonomous aerial navigation in GPS-denied environments,4,6,6,1.0,True,13870,PASS,
REC_1298,True,Cooperative Localization for GNSS-Denied Subterranean Navigation: A UAV–UGV Team Approach,26,6,6,1.0,True,10179,PASS,
REC_1306,True,UAV Visual Localization in GNSS-Denied Environments,7,4,4,1.0,True,15463,PASS,
REC_1307,True,An architecture for robust UAV navigation in GPS-denied areas,38,5,5,1.0,False,10679,PASS,
REC_1308,True,Multi-sensor Data Fusion for Autonomous Unmanned Aerial Vehicle Navigation in GPS Denied Environments,12,9,9,1.0,True,18478,PASS,
REC_1313,True,A smart hybrid vision aided inertial navigation system approach for UAVs in a GNSS denied environment,15,10,10,1.0,True,14770,PASS,
REC_1330,True,UAV VISUAL AUTOLOCALIZATON BASED on AUTOMATIC LANDMARK RECOGNITION,6,5,5,1.0,True,18838,PASS,
REC_1358,True,An experimental analysis of outdoor UAV localisation through diverse estimators and crowd-sensed data fusion,18,10,10,1.0,False,15743,PASS,
REC_1366,True,Cooperative Localisation of a GPS-Denied UAV in 3-Dimensional Space Using Direction of Arrival Measurements,7,8,8,1.0,False,15802,PASS,
REC_1378,True,Optical Flow Sensor/INS/Magnetometer Integrated Navigation System for MAV in GPS-Denied Environment,10,8,8,1.0,True,12442,PASS,
REC_1405,True,Angle Robustness Unmanned Aerial Vehicle Navigation in GNSS-Denied Scenarios,9,7,7,1.0,False,14588,PASS,
REC_1417,True,Cellular Communication-Based Autonomous UAV Navigation with Obstacle Avoidance for Unknown Indoor Environments,9,9,9,1.0,True,13107,PASS,
REC_1451,True,Vision Model-Based Real-Time Localization of Unmanned Aerial Vehicle for Autonomous Structure Inspection under GPS-Denied Environment,8,11,11,1.0,False,7671,PASS,
REC_1463,True,Decentralised Multi-UAV Cooperative Searching Multi-Target in Cluttered and GPS-Denied Environments,11,8,8,1.0,True,12931,PASS,
REC_1480,True,Pose estimation for an autonomous vehicle using monocular vision,8,5,5,1.0,False,16490,PASS,
REC_1561,True,Characterization of mountain drainage patterns for GPS-denied UAS navigation augmentation,15,7,7,1.0,True,15200,PASS,
REC_1564,True,Ultra-wideband based cooperative relative localization algorithm and experiments for multiple unmanned aerial vehicles in GPS denied environments,18,11,11,1.0,True,14303,PASS,
REC_1573,True,Visual-based localization methods for unmanned aerial vehicles in landing operation on maritime vessel,13,9,9,1.0,True,16624,PASS,
REC_1582,True,Overview of Mutual Localization Techniques Between Unmanned Aerial Vehicles in Swarm,7,7,7,1.0,False,13554,PASS,
REC_1612,True,Visual GPS-denied multi-agent localization & terrain classification,12,6,5,0.833,False,17516,PASS,classification
REC_1619,True,Robust Autonomous Flight in Constrained and Visually Degraded Shipboard Environments,28,8,8,1.0,True,14015,PASS,
REC_1640,True,Automatic landing of a low-cost quadrotor using monocular vision and Kalman filter in GPS-denied environments,19,10,10,1.0,True,9029,PASS,
REC_1642,True,UAV based target finding and tracking in GPS-denied and cluttered environments,8,6,6,1.0,True,13302,PASS,
REC_1667,True,Autonomous Mapping and Navigation Unit for Aerial Robots,25,6,4,0.667,False,7433,PASS,unit;robots
REC_1678,True,Position and Orientation from Asynchronous Lidar in GNSS Denied Environments,8,7,7,1.0,True,18881,PASS,
REC_1688,True,Pose estimation based on laser range finder for a quadrotor unmanned aerial vehicle in GPS-denied environment,63,10,6,0.6,True,13212,PASS,estimation;finder;quadrotor;gps-denied
REC_1715,True,"Autonomous targeted flight of a rotary-wing micro aerial vehicle in indoor, GPS-denied environments",63,9,1,0.111,True,13212,PASS,autonomous;targeted;flight;rotary-wing;micro;indoor;gps-denied;environments
