id,pdf_exists,title,master_year,master_doi,pdf_pages,detected_headline,doi_match,surnames_tested,surnames_found,surnames_hit,title_tokens,title_ratio,verdict
REC_0028,True,UAV Waypoint Opportunistic Navigation in GNSS-Denied Environments,2022,10.1109/TAES.2021.3103140,16,UAV Waypoint Opportunistic,True,4,4,kassas;khalife;morales;yang,5,1.0,DOI_MATCH
REC_0035,True,State Estimation and Control for Micro Aerial Vehicles in GPS-denied Environments,2020,10.1109/WCSP49889.2020.9299710,6,Robust Autonomous Flight and Mission Management for MAVs in,False,4,1,zhang,8,1.0,SURNAME_MATCH
REC_0037,True,Deep Visual Localization for UAVs in GNSS-Denied Environments Using Satellite Imagery,2026,10.1109/SIU71813.2026.11636724,4,GNSS Eri¸siminin Olmadı˘gı Ortamlarda Uydu,True,2,2,demirdal;yalc,8,1.0,DOI_MATCH
REC_0041,True,UAV Navigation With Monocular Visual Inertial Odometry Under GNSS-Denied Environment,2023,10.1109/TGRS.2023.3323519,15,"IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING, VOL. 61, 2023",True,1,1,yang,7,1.0,DOI_MATCH
REC_0043,True,Robust Sensor Fusion for Autonomous UAV Navigation in GPS denied Forest Environment,2022,10.1109/ROMA55875.2022.9915682,6,XXX-X-XXXX-XXXX-X/XX/$XX.00 ©20XX IEEE,False,5,5,abdullah;faudzi;islam;saad;shithil,8,1.0,SURNAME_MATCH
REC_0053,True,Vision-based Navigation of Unmanned Aerial Vehicles,2024,10.1109/ICACCM61117.2024.11059131,22,A Survey of Deep Learning Techniques and,False,3,0,,5,1.0,TITLE_ONLY
REC_0057,True,ROS+unity: An efficient high-fidelity 3D multi-UAV navigation and control simulator in GPS-denied environments,2015,10.1109/IECON.2015.7392488,6,ROS+Unity: An Eﬃcient High-ﬁdelity 3D,False,1,1,meng,9,1.0,SURNAME_MATCH
REC_0064,True,Positioning and Navigation Approaches Using Packet Loss-Based Multilateration for UAVs in GPS-Denied Environments,2024,10.1109/ACCESS.2024.3357148,15,"Date of publication xxxx 00, 0000, date of current version xxxx 00, 0000.",True,1,1,srisomboon,9,1.0,DOI_MATCH
REC_0065,True,Autonomous Drones in GNSS-Denied Environments: Results from the Leonardo Drone Contest,2023,10.1109/MetroAeroSpace57412.2023.10190003,6,978-1-6654-5690-6/23/$31.00 ©2023 IEEE,True,6,6,chiaberge;godio;guglieri;marino;minervini;primatesta,8,1.0,DOI_MATCH
REC_0066,True,Real Time Vision Based Obstacle Avoidance for UAV using YOLO in GPS Denied Environment,2023,10.1109/OCIT59427.2023.10431039,6,Real Time Vision Based Obstacle Avoidance for,True,2,2,duba;rajalakshmi,8,1.0,DOI_MATCH
REC_0071,True,Radar-Based High-Accuracy 3D Localization of UAVs for Landing in GNSS-Denied Environments,2018,10.1109/ICMIM.2018.8443483,4,Tiltwing UAV Maverix,False,6,6,dobrev;gulden;lipka;moormann;pavlenko;vossiek,7,1.0,SURNAME_MATCH
REC_0077,True,3D Path Planning for Autonomous UAV Navigation in GPS-Denied Environments,2026,10.1109/ICUAS69441.2026.11598675,8,3D Path Planning for Autonomous UAV Navigation,True,5,5,bhandari;raheja;ramirez;thakkar;tsui,6,1.0,DOI_MATCH
REC_0080,True,Enabling Computer Vision-Based Autonomous Navigation for Unmanned Aerial Vehicles in Cluttered GPS-Denied Environments,2018,10.1109/ITSC.2018.8569695,6,Enabling computer vision-based autonomous navigation for Unmanned,False,6,6,bertozzi;broggi;giaquinto;musto;valenti;zinelli,11,1.0,SURNAME_MATCH
REC_0084,True,Simulating GPS-denied Autonomous UAV Navigation for Detection of Surface Water Bodies,2020,10.1109/ICUAS48674.2020.9213927,10,This may be the author’s version of a work that was submitted/accepted,True,2,2,alvarez;singh,8,1.0,DOI_MATCH
REC_0095,True,Cooperative Relative Localization for UAV Swarm in GNSS-Denied Environment: A Coalition Formation Game Approach,2022,10.1109/JIOT.2021.3130000,18,"IEEE INTERNET OF THINGS JOURNAL, VOL. 9, NO. 13, JULY 1, 2022",True,3,3,ruan;tian;wang,9,1.0,DOI_MATCH
REC_0096,True,Cooperative UWB-Based Localization for Outdoors Positioning and Navigation of UAVs aided by Ground Robots,2021,10.1109/ICAS49788.2021.9551177,5,Cooperative UWB-Based Localization for Outdoors,True,5,5,heikkonen;qingqing;queralta;westerlund;xianjia,10,1.0,DOI_MATCH
REC_0102,True,Quantum-Enhanced Multi-Sensor Fusion for UAV Navigation in GPS-Denied Environments,2026,10.1109/FET68771.2026.11601505,6,Quantum-Enhanced Multi-Sensor Fusion for,True,3,3,chawqi;moussa;salih-alj,6,1.0,DOI_MATCH
REC_0107,True,Augmented Radar Odometry by Nested Optimal Filter Aided Navigation for UAVS in GNSS Denied Environment,2021,10.1109/ITC-Egypt52936.2021.9513978,5,Augmented Radar Odometry by Nested Optimal,True,5,5,el-sheimy;mostafa;moussa;salib;zahran,12,1.0,DOI_MATCH
REC_0111,True,Position Estimation for Drones based on Visual SLAM and IMU in GPS-denied Environment,2019,10.1109/ICRoM48714.2019.9071826,5,Position Estimation for Drones based on Visual,False,4,4,germi;lotfi;motlagh;taghirad,7,1.0,SURNAME_MATCH
REC_0115,True,Low Computational Data Fusion Approach Using INS and UWB for UAV Navigation Tasks in GPS-Denied Environments,2019,10.1109/PDCAT46702.2019.00080,5,/RZ&RPSXWDWLRQDO'DWD)XVLRQ$SSURDFK8VLQJ,False,3,0,,7,0.429,NO_EVIDENCE
REC_0118,True,A Vision-Aided Navigation System by Ground-Aerial Vehicle Cooperation for UAV in GNSS-Denied Environments,2018,10.1109/GNCC42960.2018.9019191,6,A Vision-Aided Navigation System by,False,2,2,wang;zhang,7,1.0,SURNAME_MATCH
REC_0123,True,Visual-based landing system of a multirotor UAV in GNSS denied environment,2023,10.1109/MetroAeroSpace57412.2023.10190013,6,978-1-6654-5690-6/23/$31.00 ©2023 IEEE,True,4,4,falkowski;marut;wojciechowski;wojtowicz,6,1.0,DOI_MATCH
REC_0131,True,Digital Twin for Drone Indoor Autonomous Navigation,2026,10.1109/LSENS.2025.3642424,4,"VOL. 10, NO. 2, FEBRUARY 2026",True,4,4,kumar;saneen;singh;thomas,6,1.0,DOI_MATCH
REC_0138,True,Autonomous Exploration and Mapping System Using Heterogeneous UAVs and UGVs in GPS-Denied Environments,2019,10.1109/TVT.2018.2890416,12,"IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY, VOL. 68, NO. 2, FEBRUARY 2019",True,2,2,chen;meng,8,1.0,DOI_MATCH
REC_0149,True,Vision-Based Global Localization for UAVs Using Deep Convolutional Neural Networks,2026,10.1109/IPCS69631.2026.11604264,6,Vision-Based Global Localization for UAVs Using,True,3,3,elbalshy;kamel;mostafa,8,1.0,DOI_MATCH
REC_0155,True,Cooperative Navigation and Guidance of a Micro-Scale Aerial Vehicle by an Accompanying UAV using 3D LiDAR Relative Localization,2022,10.1109/ICUAS54217.2022.9836116,10,© 2022 IEEE. Personal use of this material is permitted. Permission from IEEE must be obtained for all other u,False,3,3,pritzl;saska;vrba,10,1.0,SURNAME_MATCH
REC_0161,True,Sensor Fusion for Autonomous Indoor UAV Navigation in Confined Spaces,2023,10.1109/ICST59744.2023.10460820,6,Sensor Fusion for Autonomous Indoor UAV,True,4,4,james;kuantama;mukhopadhyay;seth,7,1.0,DOI_MATCH
REC_0165,True,UAV Cross-View Image Retrieval and Visual Geo-Localization in GNSS-Denied Environments,2026,10.1109/ICCE-Taiwan71481.2026.11652687,2,UAV Cross-View Image Retrieval and Visual,True,1,1,shen,7,1.0,DOI_MATCH
REC_0179,True,Wireless Local Positioning System for Controlled UAV Landing in GNSS-Denied Environment,2019,10.1109/MetroAeroSpace.2019.8869587,5,978-1-7281-1344-9/19/$31.00 ©2019 IEEE,False,4,4,montenegro;pavlenko;vossiek;walter,7,1.0,SURNAME_MATCH
REC_0195,True,An Autonomous Continuous Positioning Method for Low-Altitude UAVs Based on Image Recognition in GNSS-Denied Environments,2026,10.1109/RAITS68656.2026.11580149,9,An Autonomous Continuous Positioning Method for,True,0,0,,10,1.0,DOI_MATCH
REC_0196,True,Navigation of Simultaneous Localization and Mapping by Fusing RGB-D Camera and IMU on UAV,2019,10.1109/SAFEPROCESS45799.2019.9213339,6,Navigation of Simultaneous Localization and Mapping by Fusing,False,1,1,huang,7,1.0,SURNAME_MATCH
REC_0202,True,Design of A Positioning System for UAV in GPS-denied Environment,2022,10.1109/ISCIT55906.2022.9931225,4,2022 21st International Symposium on Communications and Information Technologies,True,1,1,wang,4,1.0,DOI_MATCH
REC_0208,True,UAV Pose Estimation in GNSS-Denied Environment Assisted by Satellite Imagery Deep Learning Features,2021,10.1109/ACCESS.2020.3048342,10,"date of current version January 12, 2021.",True,1,1,zhang,10,1.0,DOI_MATCH
REC_0211,True,SIA-KalmanNet: A Structurally Integrated Attention Kalman Filter for Multi-UAV Localization in Partially GNSS-Denied Environments,2026,10.1109/JIOT.2025.3650118,12,"IEEE INTERNET OF THINGS JOURNAL, VOL. 13, NO. 7, 1 APRIL 2026",False,3,3,feng;wang;zhou,11,1.0,SURNAME_MATCH
REC_0213,True,A Multi-UAV System for Exploration and Target Finding in Cluttered and GPS-Denied Environments,2021,10.1109/ICUAS51884.2021.9476820,9,A Multi-UAV System for Exploration and Target Finding in Cluttered and,True,3,3,gonzalez;sanderson;vanegas,7,1.0,DOI_MATCH
REC_0215,True,GPS-Denied UAV-UGV Relative Positioning System via Vision-UWB Fusion,2023,10.1109/ICIEA58696.2023.10241577,6,GPS-Denied UAV-UGV Relative Positioning,True,3,3,mingyang;ning;sagar,6,1.0,DOI_MATCH
REC_0218,True,A Unified Error-State Kalman Filtering Framework for Multi-Sensor Navigation of Fixed-Wing UAVS in GNSS-Denied Scenarios,2026,10.1109/ICUAS69441.2026.11598562,10,A Unified Error-State Kalman Filtering Framework for Multi-Sensor,True,5,5,fernandes;hernandez;korimi;silva;sorokin,11,1.0,DOI_MATCH
REC_0239,True,Autonomous Flight Control Design Based on Multi-Sensor Fusion for a Low-Cost Quadrotor in GPS-Denied Environments,2022,10.1109/ACIRS55390.2022.9845557,5,Autonomous Flight Control Design Based on,True,2,2,huang;zhang,10,1.0,DOI_MATCH
REC_0246,True,UAV Platforms for Autonomous Navigation in GPS-Denied Environments for Search and Rescue Missions,2022,10.1109/ICUAS54217.2022.9836181,8,"development,",True,5,5,bhandari;dirksen;medina-soto;ramirez;victoriano,8,1.0,DOI_MATCH
REC_0255,True,A stereo and rotating laser framework for UAV navigation in GPS denied environment,2016,10.1109/IECON.2016.7793246,6,A Stereo and Rotating Laser Framework for UAV Navigation,False,2,2,shan;wang,7,1.0,SURNAME_MATCH
REC_0264,True,Autonomous UAV Navigation for Target Detection in Visually Degraded and GPS Denied Environments,2023,10.1109/AERO55745.2023.10115544,10,Autonomous UAV Navigation for Target Detection in,True,5,5,boiteau;galvez-serna;gonzalez;sandino;vanegas,8,1.0,DOI_MATCH
REC_0271,True,Hybrid IMU-Aided Approach for Optimized Visual Odometry,2019,10.1109/GlobalSIP45357.2019.8969460,5,Hybrid IMU-Aided Approach for Optimized Visual,False,2,2,atia;mahmoud,5,1.0,SURNAME_MATCH
REC_0274,True,Navigation and control of unmanned aerial vehicles in GPS-denied environments,2014,10.1109/ICARCV.2014.7064483,7,1 INTRODUCTION,False,1,0,,7,0.857,TITLE_ONLY
REC_0278,True,Navigation Methods for UAVs in GNSS-Denied Environments Using Artificial Intelligence,2026,10.1109/ICCE70609.2026.11658445,6,Navigation Methods for UAVs in GNSS-Denied,True,2,2,han-trong;quynh,7,1.0,DOI_MATCH
REC_0281,True,UAV Tracking with Lidar as a Camera Sensor in GNSS-Denied Environments,2023,10.1109/ICL-GNSS57829.2023.10148919,7,UAV Tracking with Lidar as a Camera Sensor in,True,4,4,catalano;queralta;sier;westerlund,6,1.0,DOI_MATCH
REC_0289,True,Development of a Simulated UAV Platform for Sensor-Fusion-Based SLAM,2026,10.1109/ICAIIC68212.2026.11454340,5,Development of a Simulated UAV Platform for,True,4,4,jang;mummtaz;utama;zaini,5,1.0,DOI_MATCH
REC_0294,True,A Novel Approach to Computationally Lighter GNSS-Denied UAV Navigation Using Monocular Camera,2021,10.1109/ICARA51699.2021.9376502,8,A Novel Approach to Computationally Lighter,True,4,4,bhowmick;gupta;nallanthighal;singh,6,1.0,DOI_MATCH
REC_0296,True,Optical flow sensor integrated navigation system for quadrotor in GPS-denied environment,2016,10.1109/ICRAE.2016.7738795,5,Optical Flow Sensor Integrated Navigation System for Quadrotor in GPS-Denied,False,2,2,tsai;zhuang,8,1.0,SURNAME_MATCH
REC_0305,True,A method based on CNN-BiLSTM for UAV navigation error compensation in GNSS denied environment,2023,10.1109/ICCC59590.2023.10507546,6,A method based on CNN-BiLSTM for UAV,True,1,1,shao,8,1.0,DOI_MATCH
REC_0318,True,Cooperative Navigation Method Based on Adaptive CKF for UAVs In GPS Denied Areas,2018,10.1109/GNCC42960.2018.9018972,6,"Abstract—Unmanned Aerial Vehicles (UAVs), when used in a",False,2,2,dong;peng,7,1.0,SURNAME_MATCH
REC_0332,True,Thermal-Inertial Localization for Autonomous Navigation of Aerial Robots through Obscurants,2018,10.1109/ICUAS.2018.8453447,6,Thermal–Inertial Localization for Autonomous Navigation of Aerial,False,3,3,alexis;mascarich;papachristos,8,1.0,SURNAME_MATCH
REC_0343,True,Vision-Aided Multi-UAV Autonomous Flocking in GPS-Denied Environment,2019,10.1109/TIE.2018.2824766,11,"IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS, VOL. 66, NO. 1, JANUARY 2019",True,2,2,liao;tang,6,1.0,DOI_MATCH
REC_0345,True,Distance function based 6DOF localization for unmanned aerial vehicles in GPS denied environments,2017,10.1109/IROS.2017.8206421,7,© 2017 IEEE. Personal use of this material is permitted. Permission from IEEE must be obtained for,False,6,6,arukgoda;dantanarayana;dissanayake;furukawa;ranasinghe;unicomb,8,1.0,SURNAME_MATCH
REC_0346,True,Autonomous Flight in Unknown GNSS-denied Environments for Disaster Examination,2021,10.1109/ICUAS51884.2021.9476790,8,Autonomous Flight in Unknown GNSS-denied Environments for,True,4,4,behnke;beul;quenzel;schleich,7,1.0,DOI_MATCH
REC_0363,True,Enhanced UAV navigation in GNSS denied environment using repeated dynamics pattern recognition,2018,10.1109/PLANS.2018.8373497,8,Department of Geomatics Engineering,False,3,3,el-sheimy;moussa;zahran,9,1.0,SURNAME_MATCH
REC_0369,True,Autonomous Flight Control of a Nano Quadrotor Helicopter in a GPS-Denied Environment Using On-Board Vision,2015,10.1109/TIE.2015.2420036,12,"IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS, VOL. 62, NO. 10, OCTOBER 2015",True,3,3,xian;zhang;zhao,10,1.0,DOI_MATCH
REC_0388,True,Multi-UAV Cooperative Navigation Based on Multisource Information Fusion: A Review,2026,10.1109/JSEN.2025.3646302,31,"IEEE SENSORS JOURNAL, VOL. 26, NO. 3, 1 FEBRUARY 2026",True,3,3,song;zeng;zhang,7,1.0,DOI_MATCH
REC_0391,True,Multi-UAV Collaboration and IMU Fusion Localization Method in Partial GNSS-Denied Scenarios,2023,10.1109/ACCESS.2023.3315870,14,"Date of publication xxxx 00, 0000, date of current version xxxx 00, 0000.",True,1,1,zheng,8,1.0,DOI_MATCH
REC_0409,True,Dust-Resilient Autonomous Navigation and Mapping for UAVs in GNSS-Denied Underground Tunnels,2026,10.1109/ICUAS69441.2026.11598747,6,Dust-Resilient Autonomous Navigation and Mapping for UAVs in,True,4,3,montes-grova;rez-grau;viguria,8,1.0,DOI_MATCH
REC_0426,True,Leonardo Drone Contest 2021: Politecnico di Milano team architecture,2022,10.1109/ICUAS54217.2022.9836103,6,Leonardo Drone Contest 2021: Politecnico di Milano team architecture,True,3,3,lovera;meraglia;roggi,7,1.0,DOI_MATCH
REC_0438,True,Vision-based object path following on a quadcopter for GPS-denied environments,2017,10.1109/ICUAS.2017.7991500,6,Abstract— This paper presents the development of an object,False,3,3,eastwood;mills;stol,7,1.0,SURNAME_MATCH
REC_0444,True,Autonomous Aerial Swarming in GNSS-denied Environments with High Obstacle Density,2021,10.1109/ICRA48506.2021.9561284,7,Autonomous Aerial Swarming in GNSS-denied Environments,True,5,5,ahmad;aitli;petrli;saska;walter,8,1.0,DOI_MATCH
REC_0455,True,Airborne-Relay-based Algorithm for Locating Crashed UAVs in GPS-Denied Environments,2019,10.1109/UEMCON47517.2019.8993065,6,978-1-7281-3885-5/19/$31.00 ©2019 IEEE,False,1,1,baek,7,1.0,SURNAME_MATCH
REC_0459,True,Safe Tightly-Constrained UAV Swarming in GNSS-denied Environments,2021,10.1109/ICUAS51884.2021.9476794,9,Safe Tightly-Constrained UAV Swarming in,True,4,4,ahmad;dmytruk;nascimento;saska,5,1.0,DOI_MATCH
REC_0464,True,Relative visual-inertial odometry for fixed-wing aircraft in GPS-denied environments,2018,10.1109/PLANS.2018.8373454,7,Relative Visual-Inertial Odometry for Fixed-Wing,False,3,3,brink;ellingson;mclain,7,1.0,SURNAME_MATCH
REC_0469,True,Design and Flight Test of an Aerial Manipulator for Applications in GPS-Denied Environments,2022,10.1109/ICUAS54217.2022.9836060,11,This may be the author’s version of a work that was submitted/accepted,True,4,4,gonzalez;morton;sandino;vanegas,8,1.0,DOI_MATCH
REC_0475,True,P2P-DroneLoc: Peer-to-Peer Localization for GPS-Denied Drones using Camera and WiFi Fine Time Measurement,2022,10.1109/ANTS56424.2022.10227756,6,P2P-DroneLoc: Peer-to-Peer Localization for,True,2,2,ashok;ashraf,10,1.0,DOI_MATCH
REC_0481,True,An Onboard Transformer-Based Physics-Informed System for UAV Trajectory Prediction and State Classification in GNSS-Denied Environments,2026,10.1109/ICUAS69441.2026.11598599,8,An Onboard Transformer-Based Physics-Informed System for UAV,True,5,5,chrysanthou;ellinas;grigoriou;kolios;souli,9,1.0,DOI_MATCH
REC_0485,True,Multi-Sensor 6-DoF Localization For Aerial Robots In Complex GNSS-Denied Environments,2019,10.1109/IROS40897.2019.8967686,7,Multi-Sensor 6-DoF Localization For Aerial Robots In Complex,False,3,3,dios;ollero;paneque,7,1.0,SURNAME_MATCH
REC_0489,True,UAV Vision Aided INS/Odometer Integration for Land Vehicle Autonomous Navigation,2022,10.1109/TVT.2022.3151729,16,"IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY, VOL. 71, NO. 5, MAY 2022",True,1,1,dong,8,1.0,DOI_MATCH
REC_0502,True,LD3DGS-SLAM: Long-Distance Monocular SLAM With 3-D Gaussian Splatting and GNSS-Aided Localization for UAVs,2026,10.1109/JIOT.2025.3638876,21,"IEEE INTERNET OF THINGS JOURNAL, VOL. 13, NO. 4, 15 FEBRUARY 2026",True,3,3,wang;yang;zhang,9,1.0,DOI_MATCH
REC_0503,True,Decimeter-Accuracy Positioning for Drones Using Two-Stage Trilateration in a GPS-Denied Environment,2023,10.1109/JIOT.2022.3231704,8,"IEEE INTERNET OF THINGS JOURNAL, VOL. 10, NO. 9, 1 MAY 2023",True,3,3,chao;chen;liew,7,1.0,DOI_MATCH
REC_0534,True,Integrated UWB-Vision Approach for Autonomous Docking of UAVs in GPS-denied Environments,2019,10.1109/ICRA.2019.8793851,7,Integrated UWB-Vision Approach for Autonomous Docking,False,1,1,nguyen,7,1.0,SURNAME_MATCH
REC_0537,True,Indoor Navigation and Attitude Estimation for Uas Using Inertial Sensors and Extended Kalman Filtering,2026,10.1109/MetroAeroSpace69299.2026.11646697,6,Indoor Navigation and Attitude Estimation for UAS,True,5,5,ariante;core;menichino;ponte;vito,9,1.0,DOI_MATCH
REC_0544,True,Season-Invariant GNSS-Denied Visual Localization for UAVs,2022,10.1109/LRA.2022.3191038,8,"IEEE ROBOTICS AND AUTOMATION LETTERS, VOL. 7, NO. 4, OCTOBER 2022",True,3,3,kinnari;kyrki;verdoja,5,1.0,DOI_MATCH
REC_0572,True,GNSS-Independent Navigation of UAV through Utilization of Sensor Fusion and Intelligence System,2022,10.1109/ICT4DA56482.2022.9971437,6,GNSS-Independent Navigation of UAV through,True,3,3,hailesilassie;meheretu;nigussie,7,1.0,DOI_MATCH
REC_0594,True,Google map aided visual navigation for UAVs in GPS-denied environment,2015,10.1109/ROBIO.2015.7418753,6,Google Map Aided Visual Navigation for UAVs in GPS-denied,False,4,4,chen;shan;tang;wang,7,1.0,SURNAME_MATCH
REC_0598,True,Compact Passive Millimeter Wave Imager for Degraded Visual and GPS-Denied Navigation,2019,10.1109/RAPID.2019.8864251,4,Compact Passive Millimeter Wave Imager for,False,7,7,dillon;el-azom;kozacik;prather;rutkowski;schuetz,9,1.0,SURNAME_MATCH
REC_0617,True,Visual-Inertial Fusion for Indoor Autonomous Navigation of a Quadrotor Using ORB-SLAM,2018,10.1109/LARS/SBR/WRE.2018.00028,6,Visual-Inertial Fusion for Indoor Autonomous Navigation of a Quadrotor,True,2,2,castelan;haddadi,7,1.0,DOI_MATCH
REC_0620,True,Terrain Aided Planetary UAV Localization Based on Geo-referencing,2022,10.1109/TGRS.2022.3198745,18,"IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING, VOL. 60, 2022",True,2,2,shao;zhang,5,1.0,DOI_MATCH
REC_0622,True,Micro-Drone Ego-Velocity and Height Estimation in GPS-Denied Environments Using an FMCW MIMO Radar,2023,10.1109/JSEN.2022.3229421,9,"IEEE SENSORS JOURNAL, VOL. 23, NO. 3, 1 FEBRUARY 2023",True,6,6,barra;blanco;creuzet;lesecq;scorletti;zarudniev,9,1.0,DOI_MATCH
REC_0631,True,Invited Speaker 1: Navigation without GPS for Unmanned Aerial Vehicles,2019,10.1109/IConDA47345.2019.9034681,1,Invited Speaker,False,1,1,feng,6,1.0,SURNAME_MATCH
REC_0639,True,A Vision-Based Approach to Autonomous Landing of an eVTOL Aircraft in GPS-Denied Environments,2023,10.1109/DASC58513.2023.10311329,6,A Vision-Based Approach to Autonomous Landing,True,6,6,babcock;benitez;hilst;markussen;rutherford;schlief,7,1.0,DOI_MATCH
REC_0644,True,Autonomous Localization and Navigation for Drones Over Rivers,2026,10.1109/ACCESS.2025.3650454,19,Digital Object Identifier 10.1109/ACCESS.2025.3650454,True,2,2,chen;wang,5,1.0,DOI_MATCH
REC_0647,True,Radiation Source Localization in GPS-Denied Environments Using Aerial Robots,2018,10.1109/ICRA.2018.8460760,8,Radiation Source Localization in GPS–denied Environments,False,4,4,alexis;mascarich;papachristos;wilson,7,1.0,SURNAME_MATCH
REC_0652,True,Reinforcement Learning-Based Autonomous UAV Navigation in Indoor Environments Towards Human Detection,2026,10.1109/ICIPRoB69625.2026.11497788,6,Reinforcement Learning-Based Autonomous UAV,True,5,5,gamage;geeganage;premachandra;sudantha;weerathunga,8,1.0,DOI_MATCH
REC_0656,True,Vision-Based UAV Localization by Aerial and Satellite Image Matching,2026,10.1109/ACCESS.2026.3684630,10,Digital Object Identifier 10.1109/ACCESS.2026.3684630,True,1,1,chen,6,1.0,DOI_MATCH
REC_0687,True,On the scalability of experimentally determined aerodynamic model for model-based navigation on a delta-wing UAV,2023,10.1109/MetroAeroSpace57412.2023.10189996,6,978-1-6654-5690-6/23/$31.00 ©2023 IEEE,True,2,2,longobardi;skaloud,8,1.0,DOI_MATCH
REC_0688,True,Single Vehicle Localization and Routing in GPS-Denied Environments Using Range-Only Measurements,2020,10.1109/ACCESS.2019.2963286,14,"date of current version February 19, 2020.",True,5,5,misra;rathinam;sharma;sundar;wang,8,1.0,DOI_MATCH
REC_0701,True,Vision-Based Autonomous Drone Navigation Using Deep Reinforcement Learning,2026,10.1109/ESCI68015.2026.11493377,6,Vision-Based Autonomous Drone Navigation Using,True,6,6,badhiye;gaikwad;jolad;nadaf;narole;prasad,7,1.0,DOI_MATCH
REC_0705,True,Recursive Extended Finite-Memory Positioning Algorithm for Robust UAV Positioning in GNSS-Denied Environment,2026,10.1109/JIOT.2025.3629868,13,"IEEE INTERNET OF THINGS JOURNAL, VOL. 13, NO. 2, 15 JANUARY 2026",True,0,0,,9,1.0,DOI_MATCH
REC_0706,True,Towards Robust UAV Tracking in GNSS-Denied Environments: A Multi-LiDAR Multi-UAV Dataset,2023,10.1109/ROBIO58561.2023.10354788,7,Towards Robust UAV Tracking in GNSS-Denied,True,2,2,catalano;queralta,7,1.0,DOI_MATCH
REC_0713,True,Autonomous UAV Pipeline Landing via Depth-LiDAR Fusion in GNSS-Denied Refineries,2026,10.1109/LRA.2026.3662655,8,"IEEE ROBOTICS AND AUTOMATION LETTERS, VOL. 11, NO. 3, MARCH 2026",True,5,5,montes-grova;ollero;rez-grau;tejero-ruiz;viguria,7,1.0,DOI_MATCH
REC_0716,True,Cooperative Search Area optimization using Multiple Unmanned Aerial Vehicles in a GPS-denied Environment,2019,10.1109/ICUAS.2019.8798332,8,Cooperative Search Area Optimization using Multiple,False,4,4,biswas;minai;misra;sharma,10,1.0,SURNAME_MATCH
REC_0719,True,Autonomous landing of small unmanned aerial rotorcraft based on monocular vision in GPS-denied area,2015,10.1109/JAS.2015.7032912,6,"IEEE/CAA JOURNAL OF AUTOMATICA SINICA, VOL. 2, NO. 1, JANUARY 2015",False,1,1,miao,10,1.0,SURNAME_MATCH
